"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 03, 2020","1,215.90","1,299.00","1,300.40","1,196.40","1.31M","-6.27%"
"Apr 01, 2020","1,297.30","1,355.00","1,374.40","1,290.00","641.31K","-4.36%"
"Mar 31, 2020","1,356.40","1,320.00","1,368.05","1,277.95","1.15M","5.70%"
"Mar 30, 2020","1,283.20","1,275.00","1,298.95","1,229.30","660.02K","-1.23%"
"Mar 27, 2020","1,299.15","1,314.00","1,324.95","1,261.15","1.04M","2.46%"
"Mar 26, 2020","1,267.90","1,314.95","1,328.80","1,252.60","1.05M","-0.25%"
"Mar 25, 2020","1,271.10","1,265.00","1,316.30","1,185.55","1.06M","-0.31%"
"Mar 24, 2020","1,275.10","1,258.50","1,349.70","1,234.10","901.94K","0.31%"
"Mar 23, 2020","1,271.20","1,356.00","1,463.00","1,214.00","1.00M","-15.34%"
"Mar 20, 2020","1,501.55","1,459.00","1,543.95","1,423.10","998.27K","3.86%"
"Mar 19, 2020","1,445.70","1,440.30","1,497.90","1,328.00","1.55M","-3.38%"
"Mar 18, 2020","1,496.30","1,565.05","1,597.95","1,475.00","1.34M","-4.02%"
"Mar 17, 2020","1,558.95","1,474.70","1,592.00","1,469.80","1.38M","5.29%"
"Mar 16, 2020","1,480.60","1,502.00","1,515.00","1,457.80","1.16M","-2.84%"
"Mar 13, 2020","1,523.80","1,475.00","1,569.20","1,355.05","2.48M","-4.29%"
"Mar 12, 2020","1,592.15","1,670.10","1,675.00","1,586.75","1.83M","-6.33%"
"Mar 11, 2020","1,699.75","1,622.25","1,709.90","1,620.95","1.82M","3.68%"
"Mar 09, 2020","1,639.45","1,669.00","1,690.00","1,608.10","1.68M","-0.87%"
"Mar 06, 2020","1,653.80","1,569.10","1,661.20","1,569.10","1.59M","1.48%"
"Mar 05, 2020","1,629.70","1,608.00","1,645.00","1,592.10","1.52M","3.02%"
"Mar 04, 2020","1,581.85","1,540.10","1,587.00","1,533.55","1.64M","2.81%"
"Mar 03, 2020","1,538.60","1,533.10","1,554.95","1,517.05","421.05K","0.38%"
"Mar 02, 2020","1,532.75","1,530.00","1,560.00","1,511.10","512.15K","1.30%"
"Feb 28, 2020","1,513.10","1,550.00","1,550.00","1,495.60","870.57K","-2.57%"
"Feb 27, 2020","1,553.05","1,536.00","1,563.80","1,525.00","694.16K","1.13%"
"Feb 26, 2020","1,535.70","1,550.00","1,562.95","1,526.20","333.65K","-1.31%"
"Feb 25, 2020","1,556.15","1,550.10","1,577.00","1,550.10","306.94K","0.04%"
"Feb 24, 2020","1,555.50","1,576.00","1,583.95","1,551.50","292.19K","-1.26%"
"Feb 20, 2020","1,575.30","1,590.10","1,597.80","1,571.70","269.02K","-1.16%"
"Feb 19, 2020","1,593.75","1,582.90","1,598.80","1,576.60","230.13K","0.88%"
"Feb 18, 2020","1,579.85","1,605.00","1,605.00","1,567.50","372.39K","0.09%"
"Feb 17, 2020","1,578.40","1,582.10","1,606.00","1,575.10","361.95K","-0.31%"
"Feb 14, 2020","1,583.35","1,582.10","1,607.00","1,578.60","492.10K","0.34%"
"Feb 13, 2020","1,578.00","1,590.00","1,593.00","1,575.10","245.97K","-0.71%"
"Feb 12, 2020","1,589.25","1,583.35","1,598.00","1,580.40","330.06K","0.37%"
"Feb 11, 2020","1,583.35","1,586.00","1,599.00","1,574.05","553.41K","0.47%"
"Feb 10, 2020","1,575.95","1,558.90","1,581.80","1,547.00","400.88K","1.09%"
"Feb 07, 2020","1,558.90","1,541.00","1,579.90","1,541.00","532.13K","0.55%"
"Feb 06, 2020","1,550.40","1,551.30","1,558.75","1,523.50","734.42K","-0.04%"
"Feb 05, 2020","1,550.95","1,558.65","1,562.00","1,542.10","453.16K","-0.39%"
"Feb 04, 2020","1,557.00","1,570.00","1,574.00","1,545.90","602.33K","-0.44%"
"Feb 03, 2020","1,563.85","1,485.50","1,574.40","1,485.50","1.15M","5.27%"
"Feb 01, 2020","1,485.50","1,506.00","1,524.80","1,476.20","316.43K","-1.76%"
"Jan 31, 2020","1,512.05","1,529.80","1,538.00","1,505.25","769.67K","-0.58%"
"Jan 30, 2020","1,520.85","1,535.00","1,545.00","1,495.00","2.56M","1.61%"
"Jan 29, 2020","1,496.70","1,466.20","1,509.90","1,466.20","634.98K","2.40%"
"Jan 28, 2020","1,461.60","1,474.00","1,479.10","1,452.10","306.01K","-1.02%"
"Jan 27, 2020","1,476.70","1,458.20","1,481.70","1,451.00","767.09K","1.31%"
"Jan 24, 2020","1,457.60","1,440.00","1,461.50","1,436.10","502.00K","0.91%"
"Jan 23, 2020","1,444.40","1,429.05","1,447.00","1,420.00","208.57K","1.11%"
