"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"03-Apr-2020","EQ","18,410.00","18,650.00","17,175.00","18,469.55","17,400.05","17,490.10","17,514.14","25,439.95","15,700.00",7588,"132,897,327.60",3561
"01-Apr-2020","EQ","19,080.05","19,080.05","18,100.00","18,827.95","18,350.00","18,469.55","18,448.34","25,439.95","15,700.00",2822,"52,061,227.20",1802
"31-Mar-2020","EQ","17,799.90","19,400.00","17,764.90","17,436.35","19,080.05","18,827.95","18,512.77","25,439.95","15,700.00",6663,"123,350,573.20",3088
"30-Mar-2020","EQ","17,210.00","17,490.00","17,000.00","17,648.60","17,480.00","17,436.35","17,325.74","25,439.95","15,700.00",2764,"47,888,348.90",1422
"27-Mar-2020","EQ","18,500.00","18,500.00","17,416.05","17,939.85","17,650.00","17,648.60","18,290.79","25,439.95","15,700.00",13810,"252,595,786.35",2129
"26-Mar-2020","EQ","16,860.00","18,200.00","16,450.00","16,861.35","17,999.00","17,939.85","17,762.33","25,439.95","15,700.00",8775,"155,864,445.65",4618
"25-Mar-2020","EQ","16,019.00","16,989.90","15,700.00","16,017.50","16,850.00","16,861.35","16,117.75","25,439.95","15,700.00",10888,"175,490,103.10",3258
"24-Mar-2020","EQ","16,350.00","16,600.00","15,890.00","15,887.25","16,017.50","16,017.50","16,289.75","25,439.95","15,701.00",6269,"102,120,456.95",3331
"23-Mar-2020","EQ","16,300.00","16,600.00","15,701.00","17,366.30","15,818.00","15,887.25","16,039.03","25,439.95","15,701.00",14420,"231,282,818.35",4040
"20-Mar-2020","EQ","17,000.00","17,500.00","16,900.00","16,931.15","17,396.00","17,366.30","17,195.68","25,439.95","16,317.95",6448,"110,877,746.00",2754
"19-Mar-2020","EQ","17,000.00","17,546.85","16,317.95","17,539.25","16,750.00","16,931.15","16,842.21","25,439.95","16,317.95",12132,"204,329,664.95",5961
"18-Mar-2020","EQ","18,249.00","18,551.85","17,425.05","18,070.95","17,550.00","17,539.25","17,925.01","25,439.95","16,749.95",8048,"144,260,518.75",3744
"17-Mar-2020","EQ","19,100.00","19,100.00","18,000.00","18,654.55","18,058.00","18,070.95","18,503.29","25,439.95","16,749.95",5774,"106,838,015.70",3027
"16-Mar-2020","EQ","19,200.00","19,500.00","18,520.00","19,682.35","18,655.00","18,654.55","18,842.90","25,439.95","16,749.95",7405,"139,531,691.20",3958
"13-Mar-2020","EQ","18,000.00","20,050.00","17,800.00","19,057.80","19,900.00","19,682.35","19,208.37","25,439.95","16,749.95",14994,"288,010,315.95",6810
"12-Mar-2020","EQ","20,000.00","20,000.00","18,550.00","20,683.35","19,101.00","19,057.80","19,039.13","25,439.95","16,749.95",28300,"538,807,238.20",7779
"11-Mar-2020","EQ","21,190.00","21,285.15","20,600.00","21,038.45","20,621.00","20,683.35","20,940.89","25,439.95","16,749.95",7387,"154,690,360.50",3833
"09-Mar-2020","EQ","22,000.00","22,749.00","20,975.00","22,601.85","20,975.00","21,038.45","21,355.10","25,439.95","16,749.95",20648,"440,940,126.40",8740
"06-Mar-2020","EQ","22,380.00","23,638.85","21,717.90","22,885.45","22,480.00","22,601.85","22,929.90","25,439.95","16,749.95",19947,"457,382,700.20",10073
"05-Mar-2020","EQ","22,777.00","24,349.90","22,500.00","22,335.75","22,774.00","22,885.45","23,481.04","25,439.95","16,749.95",51972,"1,220,356,572.55",21851
"04-Mar-2020","EQ","20,790.00","22,599.00","20,430.15","20,632.95","22,140.00","22,335.75","21,901.56","25,439.95","16,749.95",39991,"875,865,179.00",16719
"03-Mar-2020","EQ","20,470.00","20,995.00","20,312.00","20,131.65","20,636.00","20,632.95","20,663.50","25,439.95","16,749.95",7108,"146,876,184.05",2360
"02-Mar-2020","EQ","20,805.00","20,995.00","20,000.00","20,575.25","20,100.00","20,131.65","20,489.82","25,439.95","16,749.95",3958,"81,098,715.15",1484
"28-Feb-2020","EQ","20,350.00","20,999.70","20,300.00","20,565.15","20,551.00","20,575.25","20,699.61","25,439.95","16,749.95",4602,"95,259,617.65",2465
"27-Feb-2020","EQ","20,950.00","20,950.00","20,350.00","20,771.60","20,540.00","20,565.15","20,587.77","25,439.95","16,749.95",2476,"50,975,329.15",1081
"26-Feb-2020","EQ","20,815.00","21,100.00","20,700.00","20,881.25","20,868.00","20,771.60","20,925.39","25,439.95","16,749.95",3205,"67,065,886.30",1112
"25-Feb-2020","EQ","21,180.00","21,350.00","20,800.00","21,287.50","20,815.00","20,881.25","21,034.44","25,439.95","16,749.95",2249,"47,306,451.85",1050
"24-Feb-2020","EQ","21,744.00","21,744.25","20,902.00","21,683.40","21,200.00","21,287.50","21,261.81","25,439.95","16,749.95",5741,"122,064,064.90",1950
"20-Feb-2020","EQ","21,920.00","21,986.50","21,602.65","21,821.00","21,635.00","21,683.40","21,784.33","25,439.95","16,749.95",2057,"44,810,367.95",842
"19-Feb-2020","EQ","22,100.00","22,299.90","21,740.10","22,095.35","21,760.00","21,821.00","21,950.06","25,439.95","16,749.95",3241,"71,140,131.70",1421
"18-Feb-2020","EQ","22,350.00","22,350.00","22,001.00","22,233.10","22,100.00","22,095.35","22,097.11","25,439.95","16,749.95",3707,"81,914,002.65",842
"17-Feb-2020","EQ","22,305.00","22,749.00","22,200.00","22,299.95","22,210.00","22,233.10","22,344.78","25,439.95","16,749.95",2131,"47,616,736.65",1007
