"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"03-Apr-2020","EQ","428.50","442.00","416.20","429.90","422.95","422.30","426.79","646.40","340.00",6997591,"2,986,476,150.15",164793
"01-Apr-2020","EQ","438.10","447.40","424.05","441.35","425.75","429.90","435.61","646.40","340.00",7415298,"3,230,214,507.90",196972
"31-Mar-2020","EQ","429.00","448.20","414.40","412.50","438.10","441.35","430.41","646.40","340.00",5414966,"2,330,641,830.85",87416
"30-Mar-2020","EQ","432.00","443.90","407.00","441.00","409.90","412.50","422.65","646.40","340.00",7106593,"3,003,632,227.35",98929
"27-Mar-2020","EQ","450.20","483.80","440.00","477.45","440.15","441.00","455.95","646.40","340.00",14440644,"6,584,173,433.95",272545
"26-Mar-2020","EQ","448.00","487.00","434.00","434.30","479.70","477.45","473.12","646.40","340.00",6462243,"3,057,392,612.20",168111
"25-Mar-2020","EQ","390.00","440.00","385.60","391.30","430.00","434.30","423.06","646.40","340.00",6175029,"2,612,379,055.15",135841
"24-Mar-2020","EQ","362.00","409.00","345.85","342.30","393.00","391.30","383.33","646.40","340.00",5265165,"2,018,287,778.60",156464
"23-Mar-2020","EQ","377.50","394.40","340.00","418.10","344.00","342.30","361.32","646.40","340.00",4439246,"1,603,987,613.15",146648
"20-Mar-2020","EQ","425.10","442.00","411.30","416.95","415.90","418.10","424.27","646.40","355.40",4857481,"2,060,901,069.45",100815
"19-Mar-2020","EQ","385.35","432.55","385.35","419.45","412.70","416.95","402.98","646.40","355.40",8358755,"3,368,404,916.95",143282
"18-Mar-2020","EQ","465.00","470.00","410.85","464.95","419.20","419.45","435.85","646.40","355.40",4747409,"2,069,148,176.00",113680
"17-Mar-2020","EQ","475.00","486.00","460.00","474.20","465.80","464.95","474.80","646.40","355.40",3292007,"1,563,057,153.15",67562
"16-Mar-2020","EQ","494.00","500.40","471.00","507.15","472.00","474.20","486.01","646.40","355.40",4059856,"1,973,145,907.80",99737
"13-Mar-2020","EQ","435.00","525.00","429.10","472.90","512.45","507.15","498.99","646.40","355.40",7973723,"3,978,779,132.45",132353
"12-Mar-2020","EQ","495.00","498.00","453.30","513.55","485.50","472.90","477.40","646.40","355.40",4798516,"2,290,827,017.45",99309
"11-Mar-2020","EQ","515.00","526.00","508.05","517.65","515.00","513.55","516.53","646.40","355.40",2971154,"1,534,687,789.45",66112
"09-Mar-2020","EQ","538.00","540.30","506.20","548.15","517.65","517.65","518.21","646.40","355.40",4577812,"2,372,267,611.35",101728
"06-Mar-2020","EQ","541.00","556.50","535.00","564.95","549.15","548.15","548.42","646.40","355.40",3494853,"1,916,651,896.25",64502
