"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"03-Apr-2020","EQ","167.90","182.75","167.00","166.40","177.50","177.90","175.12","310.00","134.60",62868085,"11,009,282,014.05",354482
"01-Apr-2020","EQ","171.70","172.75","164.55","171.70","166.65","166.40","167.60","310.00","134.60",18142049,"3,040,521,387.35",180234
"31-Mar-2020","EQ","164.00","173.85","161.55","159.20","169.90","171.70","167.53","310.00","134.60",42630922,"7,141,798,426.45",231840
"30-Mar-2020","EQ","156.05","164.90","156.05","163.20","160.15","159.20","162.40","310.00","134.60",28120394,"4,566,682,077.25",262288
"27-Mar-2020","EQ","162.00","166.00","155.00","156.40","163.25","163.20","160.45","310.00","134.60",32636891,"5,236,588,359.75",209456
"26-Mar-2020","EQ","150.00","159.40","143.25","147.35","156.80","156.40","150.86","310.00","134.60",58443502,"8,816,939,242.70",287956
"25-Mar-2020","EQ","151.00","152.00","139.00","149.70","147.05","147.35","143.99","310.00","134.60",62506221,"9,000,105,590.05",365896
"24-Mar-2020","EQ","162.95","163.70","147.40","154.30","151.00","149.70","151.25","310.00","134.60",52569242,"7,950,911,046.10",348501
"23-Mar-2020","EQ","158.00","162.00","149.20","175.50","155.00","154.30","155.40","310.00","134.60",51354135,"7,980,277,585.00",369765
"20-Mar-2020","EQ","165.10","176.50","165.10","161.85","176.35","175.50","172.02","310.00","134.60",61997991,"10,665,108,502.65",327341
"19-Mar-2020","EQ","150.70","163.55","144.75","150.70","160.90","161.85","154.41","310.00","134.60",89753683,"13,858,883,275.85",386234
"18-Mar-2020","EQ","152.10","154.65","147.35","149.15","151.40","150.70","151.05","310.00","134.60",50248786,"7,590,057,352.85",282399
"17-Mar-2020","EQ","148.00","155.80","146.05","147.25","149.15","149.15","151.60","310.00","134.60",47658462,"7,224,900,485.00",226554
"16-Mar-2020","EQ","158.00","158.10","145.25","162.25","147.55","147.25","150.85","310.00","134.60",33255085,"5,016,491,056.90",215377
"13-Mar-2020","EQ","150.00","164.00","134.60","155.80","163.40","162.25","155.29","310.00","134.60",61592332,"9,564,478,910.75",274571
"12-Mar-2020","EQ","169.00","169.15","150.55","175.65","155.80","155.80","158.13","310.00","150.55",52040944,"8,229,213,336.40",264894
"11-Mar-2020","EQ","174.00","176.75","172.35","177.20","176.25","175.65","174.50","310.00","172.35",27957737,"4,878,568,815.10",179482
"09-Mar-2020","EQ","179.00","179.00","174.50","181.75","176.75","177.20","177.16","310.00","174.50",21795899,"3,861,308,623.15",156489
"06-Mar-2020","EQ","184.85","184.85","179.75","188.05","181.40","181.75","181.99","310.00","179.75",26764504,"4,870,964,712.15",199706
"05-Mar-2020","EQ","187.55","191.20","186.55","187.50","187.60","188.05","188.87","310.00","186.55",20025924,"3,782,197,171.45",151318
"04-Mar-2020","EQ","194.95","195.55","186.55","193.85","187.35","187.50","189.12","310.00","186.55",27664076,"5,231,908,412.85",138723
"03-Mar-2020","EQ","197.00","197.45","192.55","195.30","194.05","193.85","194.56","310.00","192.05",17947416,"3,491,906,049.60",148060
"02-Mar-2020","EQ","199.50","203.45","193.65","197.55","195.50","195.30","199.65","310.00","192.05",18560049,"3,705,536,591.05",114142
"28-Feb-2020","EQ","195.00","199.90","192.05","197.55","196.60","197.55","196.04","310.00","192.05",32628444,"6,396,355,835.10",240164
