"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"03-Apr-2020","EQ","2,152.00","2,220.00","2,152.00","2,151.25","2,199.95","2,209.50","2,203.97","3,484.40","1,470.00",3510,"7,735,918.95",706
"01-Apr-2020","EQ","2,189.00","2,286.05","2,070.00","2,140.15","2,170.00","2,151.25","2,208.93","3,484.40","1,470.00",15620,"34,503,411.85",1493
"31-Mar-2020","EQ","2,098.00","2,223.00","2,060.00","2,016.10","2,124.00","2,140.15","2,137.02","3,484.40","1,470.00",5598,"11,963,043.75",1370
"30-Mar-2020","EQ","2,109.10","2,162.00","1,973.60","2,189.65","2,050.00","2,016.10","2,052.08","3,484.40","1,470.00",5497,"11,280,297.70",1595
"27-Mar-2020","EQ","2,220.00","2,389.00","2,130.00","2,210.65","2,140.00","2,189.65","2,290.81","3,484.40","1,470.00",11659,"26,708,580.55",3465
"26-Mar-2020","EQ","1,900.00","2,239.95","1,900.00","1,900.80","2,199.00","2,210.65","2,099.76","3,484.40","1,470.00",10695,"22,456,885.05",2905
"25-Mar-2020","EQ","1,811.10","1,948.50","1,811.05","1,867.30","1,925.00","1,900.80","1,864.43","3,484.40","1,470.00",14373,"26,797,403.10",2434
"24-Mar-2020","EQ","2,012.00","2,148.95","1,822.20","1,998.75","1,882.45","1,867.30","1,915.34","3,484.40","1,470.00",9492,"18,180,443.20",2310
"23-Mar-2020","EQ","2,275.00","2,390.00","1,960.00","2,442.85","1,980.00","1,998.75","2,083.16","3,484.40","1,470.00",7849,"16,350,717.60",1814
"20-Mar-2020","EQ","2,210.00","2,530.00","2,181.10","2,216.35","2,441.00","2,442.85","2,356.50","3,484.40","1,470.00",10275,"24,212,997.95",2431
"19-Mar-2020","EQ","2,236.00","2,330.00","2,100.05","2,385.55","2,170.10","2,216.35","2,195.78","3,484.40","1,470.00",10611,"23,299,452.05",2527
"18-Mar-2020","EQ","2,569.75","2,954.90","2,190.00","2,569.50","2,399.00","2,385.55","2,410.71","3,484.40","1,470.00",8590,"20,707,983.25",2177
"17-Mar-2020","EQ","2,544.00","2,642.15","2,416.05","2,570.50","2,565.00","2,569.50","2,529.70","3,484.40","1,470.00",19639,"49,680,744.15",2925
"16-Mar-2020","EQ","2,807.00","2,807.00","2,500.00","2,888.65","2,501.00","2,570.50","2,684.75","3,484.40","1,470.00",11111,"29,830,240.80",2761
"13-Mar-2020","EQ","2,655.00","3,484.40","2,511.00","2,960.40","2,853.00","2,888.65","2,946.13","3,484.40","1,470.00",13970,"41,157,367.55",2803
"12-Mar-2020","EQ","2,801.10","3,096.00","2,510.00","2,960.55","3,030.00","2,960.40","2,779.11","3,437.90","1,470.00",42549,"118,248,466.10",9971
"11-Mar-2020","EQ","2,999.00","3,052.95","2,858.70","2,996.20","2,970.10","2,960.55","2,958.30","3,437.90","1,470.00",5985,"17,705,414.10",1378
"09-Mar-2020","EQ","3,065.15","3,148.95","2,856.40","3,159.85","2,911.00","2,996.20","2,994.48","3,437.90","1,470.00",10920,"32,699,741.30",2770
"06-Mar-2020","EQ","3,029.00","3,219.00","3,029.00","3,219.25","3,111.00","3,159.85","3,124.72","3,437.90","1,470.00",10564,"33,009,521.00",2688
"05-Mar-2020","EQ","3,170.00","3,339.00","3,166.10","3,045.30","3,200.20","3,219.25","3,223.84","3,437.90","1,470.00",24071,"77,600,936.95",7909
"04-Mar-2020","EQ","3,000.00","3,437.90","2,826.05","2,989.50","3,350.00","3,045.30","3,005.98","3,437.90","1,470.00",15328,"46,075,630.45",2339
"03-Mar-2020","EQ","2,989.00","3,011.00","2,856.85","2,929.60","3,011.00","2,989.50","2,970.59","3,049.00","1,470.00",4006,"11,900,196.80",1010
"02-Mar-2020","EQ","2,836.25","2,999.00","2,820.00","2,836.25","2,930.10","2,929.60","2,921.17","3,049.00","1,470.00",13195,"38,544,779.65",2302
"28-Feb-2020","EQ","2,840.00","2,892.75","2,711.25","2,871.75","2,850.00","2,836.25","2,822.99","3,049.00","1,470.00",10536,"29,742,975.50",1752
"27-Feb-2020","EQ","2,860.10","2,889.95","2,778.35","2,851.40","2,841.30","2,871.75","2,817.17","3,049.00","1,470.00",5464,"15,393,008.50",1250
"26-Feb-2020","EQ","2,800.00","2,869.90","2,771.55","2,845.25","2,850.10","2,851.40","2,839.80","3,049.00","1,470.00",6195,"17,592,539.25",1021
"25-Feb-2020","EQ","2,925.00","2,925.00","2,749.75","2,793.45","2,850.00","2,845.25","2,824.47","3,049.00","1,470.00",6059,"17,113,480.35",1420
"24-Feb-2020","EQ","2,985.40","2,985.40","2,704.05","2,963.90","2,825.05","2,793.45","2,812.63","3,049.00","1,470.00",15380,"43,258,227.30",2941
"20-Feb-2020","EQ","2,958.95","3,049.00","2,930.10","2,952.20","2,950.00","2,963.90","2,996.59","3,049.00","1,470.00",11008,"32,986,462.40",1681
"19-Feb-2020","EQ","2,940.00","2,980.00","2,883.05","2,909.60","2,945.00","2,952.20","2,931.41","2,980.00","1,470.00",32439,"95,091,983.00",2019
"18-Feb-2020","EQ","2,875.00","2,939.90","2,755.00","2,874.10","2,924.00","2,909.60","2,850.54","2,945.00","1,470.00",7171,"20,441,190.10",1833
