"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"03-Apr-2020","EQ","465.00","490.00","463.20","462.85","471.00","465.80","476.73","742.70","442.65",2828163,"1,348,260,542.05",77073
"01-Apr-2020","EQ","489.00","503.80","458.40","484.60","466.00","462.85","477.51","742.70","442.65",2390621,"1,141,548,012.00",66750
"31-Mar-2020","EQ","478.00","493.45","471.00","467.30","484.60","484.60","480.58","742.70","442.65",1847553,"887,890,963.85",50134
"30-Mar-2020","EQ","465.00","494.80","459.95","470.40","465.00","467.30","477.80","742.70","442.65",2142061,"1,023,466,986.65",57690
"27-Mar-2020","EQ","504.00","506.00","467.00","490.65","470.85","470.40","485.79","742.70","442.65",1360538,"660,936,792.05",52124
"26-Mar-2020","EQ","476.00","501.00","463.55","465.55","484.20","490.65","490.30","742.70","442.65",2963377,"1,452,955,500.45",101617
"25-Mar-2020","EQ","450.85","518.95","442.65","451.70","467.30","465.55","473.82","742.70","442.65",5317306,"2,519,463,906.20",91917
"24-Mar-2020","EQ","443.65","479.90","443.65","448.10","452.70","451.70","465.04","742.70","443.65",2198012,"1,022,166,010.70",56023
"23-Mar-2020","EQ","485.00","489.70","445.80","517.15","449.85","448.10","455.89","742.70","445.80",1548756,"706,058,934.95",29657
"20-Mar-2020","EQ","500.00","529.95","499.10","499.45","519.00","517.15","513.77","742.70","476.45",1771536,"910,159,437.65",74667
"19-Mar-2020","EQ","490.50","520.55","476.45","505.10","496.00","499.45","501.86","742.70","476.45",1726998,"866,704,485.95",60661
"18-Mar-2020","EQ","525.00","530.35","494.60","525.20","506.00","505.10","510.34","742.70","494.60",2109389,"1,076,513,230.60",67253
"17-Mar-2020","EQ","527.15","541.30","518.60","524.75","522.30","525.20","531.03","742.70","506.00",2243559,"1,191,400,260.60",73501
"16-Mar-2020","EQ","539.90","561.00","521.80","564.90","523.00","524.75","542.52","742.70","506.00",2210731,"1,199,364,028.40",63654
"13-Mar-2020","EQ","506.00","584.55","506.00","543.35","569.70","564.90","558.55","742.70","506.00",3091151,"1,726,551,617.85",52654
"12-Mar-2020","EQ","600.00","601.00","532.25","608.20","547.65","543.35","554.60","742.70","511.25",2858789,"1,585,485,161.15",57759
"11-Mar-2020","EQ","623.00","631.80","605.30","619.85","610.95","608.20","616.16","742.70","511.25",1471198,"906,490,815.30",41979
"09-Mar-2020","EQ","638.00","640.35","612.50","645.10","619.65","619.85","624.98","742.70","511.25",1337135,"835,678,944.30",26598
"06-Mar-2020","EQ","643.00","651.15","629.95","662.15","645.15","645.10","644.11","742.70","511.25",1588183,"1,022,957,325.05",51465
"05-Mar-2020","EQ","667.90","677.10","657.00","664.70","659.15","662.15","667.41","742.70","511.25",1377480,"919,341,159.00",32373
"04-Mar-2020","EQ","673.80","677.00","646.60","667.45","663.30","664.70","663.39","742.70","511.25",1628869,"1,080,578,312.00",36322
"03-Mar-2020","EQ","666.95","687.00","663.05","657.45","670.05","667.45","673.10","742.70","511.25",2133475,"1,436,032,701.15",70857
"02-Mar-2020","EQ","696.90","702.75","647.45","686.35","660.20","657.45","680.46","742.70","511.25",2311007,"1,572,539,809.30",53543
"28-Feb-2020","EQ","680.00","693.75","657.05","686.40","692.00","686.35","678.42","742.70","511.25",4245730,"2,880,391,555.70",90624
"27-Feb-2020","EQ","686.00","697.35","675.50","687.95","692.00","686.40","684.45","742.70","511.25",2800806,"1,917,008,379.15",56980
"26-Feb-2020","EQ","700.00","701.30","684.00","703.30","684.20","687.95","693.62","742.70","511.25",1913508,"1,327,242,691.55",37115
"25-Feb-2020","EQ","704.65","715.00","696.05","702.85","702.90","703.30","703.29","742.70","511.25",2090631,"1,470,320,844.00",49116
"24-Feb-2020","EQ","719.95","723.90","698.05","723.15","704.10","702.85","711.98","742.70","511.25",1852203,"1,318,722,716.00",44481
"20-Feb-2020","EQ","726.00","742.70","720.70","730.10","722.55","723.15","731.31","742.70","496.80",1945097,"1,422,470,554.45",31115
"19-Feb-2020","EQ","730.30","734.85","718.55","722.10","727.35","730.10","728.40","734.85","496.80",2695032,"1,963,049,569.60",38050
"18-Feb-2020","EQ","699.95","729.90","690.00","700.20","727.00","722.10","711.36","729.90","496.80",2267917,"1,613,309,374.15",48422
"17-Feb-2020","EQ","703.65","713.80","695.80","703.55","702.75","700.20","704.78","715.45","496.80",1275171,"898,710,094.20",23187
"14-Feb-2020","EQ","711.90","715.45","699.00","710.40","703.50","703.55","707.32","715.45","496.80",1477021,"1,044,723,462.30",35118
