"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"03-Apr-2020","EQ","15,939.70","15,939.70","15,005.00","15,654.55","15,070.00","15,104.65","15,288.60","16,835.15","10,120.05",190780,"2,916,760,035.70",57967
"01-Apr-2020","EQ","16,300.25","16,456.00","15,500.00","16,300.60","15,670.00","15,654.55","15,843.66","16,835.15","10,120.05",127512,"2,020,256,192.75",37981
"31-Mar-2020","EQ","15,849.00","16,424.95","15,701.25","15,658.65","16,272.95","16,300.60","16,227.50","16,835.15","10,120.05",183919,"2,984,545,166.50",48104
"30-Mar-2020","EQ","14,990.00","15,890.00","14,687.70","15,108.60","15,679.55","15,658.65","15,391.92","16,835.15","10,120.05",201470,"3,101,011,026.90",54640
"27-Mar-2020","EQ","15,400.00","15,534.00","14,800.00","14,919.65","15,270.00","15,108.60","15,184.48","16,835.15","10,120.05",175247,"2,661,034,490.60",55836
"26-Mar-2020","EQ","14,699.70","15,100.00","14,051.55","14,444.10","15,000.00","14,919.65","14,697.94","16,835.15","10,120.05",205344,"3,018,133,078.40",63037
"25-Mar-2020","EQ","12,800.00","14,520.00","12,800.00","13,478.35","14,380.00","14,444.10","14,206.55","16,835.15","10,120.05",198759,"2,823,680,500.90",71040
"24-Mar-2020","EQ","13,889.00","13,889.00","12,200.00","12,944.65","13,639.95","13,478.35","13,492.50","16,835.15","10,120.05",258686,"3,490,320,282.25",63166
"23-Mar-2020","EQ","12,750.40","13,999.80","12,750.05","14,145.50","12,970.00","12,944.65","13,213.74","16,835.15","10,120.05",195927,"2,588,929,339.00",58848
"20-Mar-2020","EQ","13,198.00","14,433.10","13,150.00","13,120.30","14,100.00","14,145.50","13,983.38","16,835.15","10,120.05",204925,"2,865,544,053.00",58515
"19-Mar-2020","EQ","13,000.50","13,448.40","12,577.05","13,536.80","13,050.00","13,120.30","13,042.13","16,835.15","10,120.05",214710,"2,800,276,092.15",57775
"18-Mar-2020","EQ","14,550.00","14,738.00","13,400.00","14,541.00","13,611.00","13,536.80","13,920.86","16,835.15","10,120.05",212942,"2,964,335,090.55",55787
"17-Mar-2020","EQ","14,500.00","14,777.00","14,250.00","14,397.20","14,573.95","14,541.00","14,533.35","16,835.15","10,120.05",176980,"2,572,111,642.95",45215
"16-Mar-2020","EQ","14,800.00","14,931.05","13,492.65","14,991.80","14,800.00","14,397.20","14,236.89","16,835.15","10,120.05",221228,"3,149,599,749.55",42386
"13-Mar-2020","EQ","15,341.00","15,855.00","14,050.00","15,565.55","14,990.15","14,991.80","14,908.82","16,835.15","10,031.65",261670,"3,901,189,856.40",56332
"12-Mar-2020","EQ","15,869.45","15,882.75","15,045.00","16,048.55","15,690.00","15,565.55","15,412.40","16,835.15","10,031.65",222866,"3,434,900,706.65",52161
