"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"03-Apr-2020","EQ","10,321.00","10,500.00","9,990.05","10,410.65","10,500.00","10,363.05","10,315.63","12,774.90","8,400.00",10634,"109,696,426.35",2962
"01-Apr-2020","EQ","10,161.30","10,499.35","10,125.00","10,269.35","10,414.00","10,410.65","10,214.97","12,774.90","8,400.00",5079,"51,881,851.70",1247
"31-Mar-2020","EQ","10,319.95","10,550.00","10,009.95","10,081.25","10,299.95","10,269.35","10,262.72","12,774.90","8,400.00",16275,"167,025,810.60",2490
"30-Mar-2020","EQ","9,927.00","10,261.75","9,703.50","9,873.45","10,100.00","10,081.25","9,976.03","12,774.90","8,400.00",3710,"37,011,066.80",1535
"27-Mar-2020","EQ","9,550.00","10,688.00","9,501.00","9,429.45","9,800.05","9,873.45","10,059.74","12,774.90","8,400.00",13342,"134,217,053.65",3948
"26-Mar-2020","EQ","9,124.00","9,712.55","8,950.00","9,128.05","9,490.00","9,429.45","9,266.78","12,774.90","8,400.00",12295,"113,935,070.35",1732
"25-Mar-2020","EQ","9,299.90","9,480.00","8,755.50","9,035.35","9,075.10","9,128.05","9,166.43","12,774.90","8,400.00",5453,"49,984,552.70",1759
"24-Mar-2020","EQ","8,627.00","9,199.75","8,627.00","8,917.65","9,000.00","9,035.35","8,932.04","12,774.90","8,400.00",5268,"47,053,966.95",1546
"23-Mar-2020","EQ","8,626.00","9,800.00","8,626.00","9,826.80","8,875.15","8,917.65","9,058.65","12,774.90","8,400.00",6148,"55,692,582.95",2517
"20-Mar-2020","EQ","9,750.00","10,000.00","9,478.80","9,507.00","9,999.00","9,826.80","9,677.71","12,774.90","8,400.00",7086,"68,576,273.15",2529
"19-Mar-2020","EQ","9,904.45","10,200.00","8,576.05","10,039.20","9,750.00","9,507.00","9,431.14","12,774.90","8,400.00",12781,"120,539,345.85",4741
"18-Mar-2020","EQ","10,169.95","10,248.15","9,815.45","10,003.95","10,069.00","10,039.20","10,037.82","12,774.90","8,400.00",10373,"104,122,290.75",3923
