"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"03-Apr-2020","EQ","1,299.00","1,300.40","1,196.40","1,297.30","1,219.00","1,215.90","1,223.81","1,709.90","1,095.00",1310167,"1,603,397,448.00",111585
"01-Apr-2020","EQ","1,355.00","1,374.40","1,290.00","1,356.40","1,298.00","1,297.30","1,319.49","1,709.90","1,095.00",641314,"846,206,715.00",48553
"31-Mar-2020","EQ","1,320.00","1,368.05","1,277.95","1,283.20","1,355.45","1,356.40","1,331.87","1,709.90","1,095.00",1146704,"1,527,265,622.15",62929
"30-Mar-2020","EQ","1,275.00","1,298.95","1,229.30","1,299.15","1,285.00","1,283.20","1,275.79","1,709.90","1,095.00",660018,"842,044,863.35",35429
"27-Mar-2020","EQ","1,314.00","1,324.95","1,261.15","1,267.90","1,305.00","1,299.15","1,295.38","1,709.90","1,095.00",1044845,"1,353,475,971.15",72772
"26-Mar-2020","EQ","1,314.95","1,328.80","1,252.60","1,271.10","1,265.10","1,267.90","1,284.91","1,709.90","1,095.00",1049414,"1,348,404,765.15",61227
"25-Mar-2020","EQ","1,265.00","1,316.30","1,185.55","1,275.10","1,256.00","1,271.10","1,254.02","1,709.90","1,095.00",1056223,"1,324,523,663.65",68578
"24-Mar-2020","EQ","1,258.50","1,349.70","1,234.10","1,271.20","1,272.00","1,275.10","1,287.63","1,709.90","1,095.00",901937,"1,161,362,307.75",59936
"23-Mar-2020","EQ","1,356.00","1,463.00","1,214.00","1,501.55","1,274.00","1,271.20","1,351.84","1,709.90","1,095.00",1000516,"1,352,533,656.00",78187
"20-Mar-2020","EQ","1,459.00","1,543.95","1,423.10","1,445.70","1,499.95","1,501.55","1,488.96","1,709.90","1,095.00",998268,"1,486,380,616.65",56094
"19-Mar-2020","EQ","1,440.30","1,497.90","1,328.00","1,496.30","1,438.45","1,445.70","1,401.41","1,709.90","1,095.00",1545813,"2,166,321,557.40",102123
"18-Mar-2020","EQ","1,565.05","1,597.95","1,475.00","1,558.95","1,505.00","1,496.30","1,528.23","1,709.90","1,095.00",1335464,"2,040,899,706.55",77066
"17-Mar-2020","EQ","1,474.70","1,592.00","1,469.80","1,480.60","1,560.00","1,558.95","1,557.68","1,709.90","1,095.00",1379568,"2,148,918,944.20",87001
"16-Mar-2020","EQ","1,502.00","1,515.00","1,457.80","1,523.80","1,509.00","1,480.60","1,482.49","1,709.90","1,095.00",1162178,"1,722,916,271.60",60861
"13-Mar-2020","EQ","1,475.00","1,569.20","1,355.05","1,592.15","1,532.95","1,523.80","1,507.30","1,709.90","1,095.00",2482379,"3,741,681,335.40",94179
"12-Mar-2020","EQ","1,670.10","1,675.00","1,586.75","1,699.75","1,597.00","1,592.15","1,611.51","1,709.90","1,095.00",1831680,"2,951,767,493.90",74559
"11-Mar-2020","EQ","1,622.25","1,709.90","1,620.95","1,639.45","1,705.00","1,699.75","1,670.69","1,709.90","1,095.00",1821511,"3,043,178,708.80",72178
"09-Mar-2020","EQ","1,669.00","1,690.00","1,608.10","1,653.80","1,635.05","1,639.45","1,636.32","1,690.00","1,095.00",1681937,"2,752,183,332.15",68631
"06-Mar-2020","EQ","1,569.10","1,661.20","1,569.10","1,629.70","1,649.00","1,653.80","1,632.52","1,661.20","1,095.00",1594839,"2,603,599,358.90",53962
"05-Mar-2020","EQ","1,608.00","1,645.00","1,592.10","1,581.85","1,626.00","1,629.70","1,628.21","1,645.00","1,095.00",1515933,"2,468,252,216.45",58097
"04-Mar-2020","EQ","1,540.10","1,587.00","1,533.55","1,538.60","1,581.85","1,581.85","1,565.34","1,607.00","1,095.00",1637076,"2,562,576,349.40",52303
"03-Mar-2020","EQ","1,533.10","1,554.95","1,517.05","1,532.75","1,537.70","1,538.60","1,534.52","1,607.00","1,095.00",421051,"646,110,569.85",36867
"02-Mar-2020","EQ","1,530.00","1,560.00","1,511.10","1,513.10","1,540.60","1,532.75","1,541.45","1,607.00","1,095.00",512147,"789,451,163.25",25772
