"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"03-Apr-2020","EQ","930.00","930.05","855.95","936.05","870.00","862.80","884.64","1,389.95","720.90",4951957,"4,380,689,877.45",188938
"01-Apr-2020","EQ","929.70","950.00","902.00","933.70","934.90","936.05","919.67","1,389.95","720.90",2935941,"2,700,108,893.60",134267
"31-Mar-2020","EQ","967.00","971.70","923.75","943.65","935.00","933.70","944.29","1,389.95","720.90",3811980,"3,599,614,579.75",136845
"30-Mar-2020","EQ","861.00","959.00","861.00","937.05","951.65","943.65","923.90","1,389.95","720.90",2901443,"2,680,629,802.10",122396
"27-Mar-2020","EQ","960.00","965.00","896.00","928.30","940.00","937.05","933.55","1,389.95","720.90",2999839,"2,800,497,296.35",126638
"26-Mar-2020","EQ","895.00","947.80","872.30","880.80","937.00","928.30","912.12","1,389.95","720.90",3635282,"3,315,814,159.55",163897
"25-Mar-2020","EQ","799.00","897.70","784.80","816.10","881.90","880.80","837.36","1,389.95","720.90",3564864,"2,985,087,258.70",237409
"24-Mar-2020","EQ","805.25","857.85","720.90","800.95","828.00","816.10","792.11","1,389.95","720.90",5404961,"4,281,322,186.50",298325
"23-Mar-2020","EQ","839.65","841.05","771.25","904.90","779.65","800.95","806.34","1,389.95","771.25",4960949,"4,000,189,754.00",184527
"20-Mar-2020","EQ","906.10","934.00","866.00","903.50","905.00","904.90","898.55","1,389.95","839.75",4407659,"3,960,515,855.55",189761
"19-Mar-2020","EQ","879.95","924.40","839.75","930.75","902.00","903.50","888.36","1,389.95","839.75",4838553,"4,298,381,820.15",196393
"18-Mar-2020","EQ","1,028.00","1,028.00","921.00","1,001.00","927.85","930.75","944.16","1,389.95","921.00",5508581,"5,200,966,372.70",230234
"17-Mar-2020","EQ","1,005.00","1,038.00","977.80","1,011.35","1,006.75","1,001.00","1,011.90","1,389.95","946.05",2985174,"3,020,709,979.45",161370
"16-Mar-2020","EQ","1,049.95","1,049.95","983.00","1,084.35","1,008.00","1,011.35","1,013.13","1,389.95","946.05",3443945,"3,489,176,561.10",151290
"13-Mar-2020","EQ","1,055.60","1,134.70","946.05","1,076.75","1,085.00","1,084.35","1,059.81","1,389.95","946.05",4337351,"4,596,748,334.80",155540
"12-Mar-2020","EQ","1,150.00","1,153.95","1,064.65","1,187.65","1,090.00","1,076.75","1,093.38","1,389.95","998.00",3609158,"3,946,165,098.50",144034
"11-Mar-2020","EQ","1,197.95","1,213.35","1,177.55","1,203.45","1,185.95","1,187.65","1,189.93","1,389.95","998.00",2314388,"2,753,952,055.10",101381
"09-Mar-2020","EQ","1,225.00","1,241.85","1,175.00","1,242.60","1,208.00","1,203.45","1,204.74","1,389.95","998.00",2285790,"2,753,789,238.00",96508
"06-Mar-2020","EQ","1,229.00","1,246.95","1,219.70","1,259.15","1,241.90","1,242.60","1,235.55","1,389.95","998.00",1678642,"2,074,039,141.60",81570
"05-Mar-2020","EQ","1,253.50","1,265.15","1,242.20","1,250.95","1,255.50","1,259.15","1,256.04","1,389.95","998.00",1555538,"1,953,813,106.05",85503
"04-Mar-2020","EQ","1,251.95","1,265.65","1,217.30","1,247.00","1,252.90","1,250.95","1,239.73","1,389.95","998.00",3007393,"3,728,343,836.75",119632
"03-Mar-2020","EQ","1,248.20","1,272.00","1,225.00","1,244.15","1,250.00","1,247.00","1,242.58","1,389.95","998.00",2660100,"3,305,389,926.90",123087
"02-Mar-2020","EQ","1,275.00","1,294.00","1,228.00","1,254.50","1,248.15","1,244.15","1,275.35","1,389.95","998.00",2773593,"3,537,295,737.10",105276
"28-Feb-2020","EQ","1,255.00","1,270.70","1,235.65","1,277.90","1,254.90","1,254.50","1,255.00","1,389.95","998.00",2728105,"3,423,764,571.60",99872
"27-Feb-2020","EQ","1,250.00","1,286.00","1,250.00","1,255.10","1,278.50","1,277.90","1,272.70","1,389.95","998.00",4569014,"5,814,967,876.85",140554
"26-Feb-2020","EQ","1,256.00","1,267.00","1,245.10","1,260.10","1,259.90","1,255.10","1,255.20","1,389.95","998.00",1506693,"1,891,203,076.45",64939
"25-Feb-2020","EQ","1,285.00","1,286.75","1,256.80","1,279.90","1,265.00","1,260.10","1,269.75","1,389.95","998.00",1358874,"1,725,436,457.80",69450
"24-Feb-2020","EQ","1,310.00","1,317.80","1,273.85","1,322.85","1,278.00","1,279.90","1,297.39","1,389.95","998.00",1341317,"1,740,213,678.25",64257
"20-Feb-2020","EQ","1,330.00","1,341.05","1,320.00","1,329.60","1,322.70","1,322.85","1,329.48","1,389.95","998.00",1513648,"2,012,365,274.25",62941
"19-Feb-2020","EQ","1,317.00","1,332.90","1,312.05","1,311.00","1,330.20","1,329.60","1,322.69","1,389.95","998.00",1445826,"1,912,385,285.00",44803
"18-Feb-2020","EQ","1,314.00","1,318.90","1,301.25","1,316.05","1,311.00","1,311.00","1,310.65","1,389.95","998.00",1761012,"2,308,077,439.50",45020
"17-Feb-2020","EQ","1,293.05","1,321.60","1,288.35","1,293.45","1,315.80","1,316.05","1,314.28","1,389.95","998.00",2347399,"3,085,142,572.10",70254
"14-Feb-2020","EQ","1,306.95","1,310.70","1,290.00","1,298.10","1,291.00","1,293.45","1,300.22","1,389.95","998.00",1416212,"1,841,391,437.10",38783
"13-Feb-2020","EQ","1,270.00","1,308.00","1,270.00","1,269.00","1,297.55","1,298.10","1,297.81","1,389.95","998.00",4458645,"5,786,480,653.30",102681
"12-Feb-2020","EQ","1,276.95","1,288.95","1,265.85","1,270.70","1,268.10","1,269.00","1,271.57","1,389.95","998.00",1195516,"1,520,188,244.80",47039
"11-Feb-2020","EQ","1,263.00","1,278.90","1,258.55","1,257.20","1,269.80","1,270.70","1,271.20","1,389.95","998.00",1351413,"1,717,917,647.25",68623
"10-Feb-2020","EQ","1,270.90","1,275.00","1,253.35","1,275.00","1,257.20","1,257.20","1,258.62","1,389.95","998.00",1021943,"1,286,236,082.30",80696
"07-Feb-2020","EQ","1,264.05","1,279.50","1,258.40","1,259.30","1,271.85","1,275.00","1,271.49","1,389.95","998.00",2277867,"2,896,287,369.00",102527
"06-Feb-2020","EQ","1,284.95","1,294.20","1,252.05","1,279.85","1,259.30","1,259.30","1,266.66","1,389.95","998.00",2463971,"3,121,003,493.15",96125
"05-Feb-2020","EQ","1,284.75","1,297.70","1,255.00","1,275.80","1,276.75","1,279.85","1,278.35","1,389.95","998.00",5459816,"6,979,574,229.10",239396
"04-Feb-2020","EQ","1,195.00","1,287.80","1,185.00","1,186.40","1,273.00","1,275.80","1,245.90","1,389.95","998.00",7875930,"9,812,610,022.05",212243
