"Date","Price","Open","High","Low","Vol.","Change %"
"May 12, 2020","10.48","11.74","11.75","10.19","4.15M","-8.15%"
"May 11, 2020","11.41","11.14","11.96","10.88","4.65M","1.92%"
"May 08, 2020","11.19","10.30","11.47","9.82","7.38M","13.31%"
"May 07, 2020","9.88","9.77","9.91","9.47","5.11M","3.02%"
"May 06, 2020","9.59","9.55","10.07","9.43","7.06M","0.84%"
"May 05, 2020","9.51","9.65","10.03","9.04","16.12M","-8.73%"
"May 04, 2020","10.42","10.06","10.68","9.63","2.31M","-1.33%"
"May 01, 2020","10.56","11.52","11.70","10.45","2.94M","-12.37%"
"Apr 30, 2020","12.05","13.11","13.44","12.02","3.69M","-10.94%"
"Apr 29, 2020","13.53","12.32","13.62","12.06","5.40M","19.52%"
"Apr 28, 2020","11.32","11.28","11.47","10.60","3.50M","8.22%"
"Apr 27, 2020","10.46","9.64","10.80","9.60","3.40M","11.40%"
"Apr 24, 2020","9.39","9.67","9.69","9.10","1.89M","0.00%"
"Apr 23, 2020","9.39","9.33","9.98","9.24","2.61M","1.73%"
"Apr 22, 2020","9.23","9.06","9.46","8.95","3.30M","6.09%"
"Apr 21, 2020","8.70","8.56","9.20","8.56","2.29M","-2.58%"
"Apr 20, 2020","8.93","9.00","9.45","8.79","3.39M","-3.77%"
"Apr 17, 2020","9.28","9.55","9.62","8.66","4.09M","11.40%"
"Apr 16, 2020","8.33","8.51","8.70","8.01","2.15M","3.35%"
"Apr 15, 2020","8.06","8.55","8.65","8.05","2.31M","-10.54%"
"Apr 14, 2020","9.01","9.00","9.76","8.62","2.86M","5.88%"
"Apr 13, 2020","8.51","9.25","9.26","8.22","2.62M","-6.69%"
"Apr 09, 2020","9.12","8.59","9.89","8.27","5.36M","18.75%"
"Apr 08, 2020","7.68","7.14","7.91","6.90","2.46M","13.44%"
"Apr 07, 2020","6.77","8.25","8.52","6.46","4.45M","-2.17%"
"Apr 06, 2020","6.92","6.41","6.93","6.33","2.93M","18.70%"
"Apr 03, 2020","5.83","6.27","6.27","5.35","2.43M","-3.00%"
"Apr 02, 2020","6.01","6.24","6.54","5.93","1.74M","-1.96%"
"Apr 01, 2020","6.13","6.67","6.70","6.04","2.42M","-14.15%"
"Mar 31, 2020","7.14","6.85","7.54","6.83","2.14M","5.31%"
"Mar 30, 2020","6.78","6.75","6.83","6.18","2.03M","1.80%"
"Mar 27, 2020","6.66","7.30","7.38","6.16","3.38M","-15.05%"
"Mar 26, 2020","7.84","8.00","8.29","7.13","3.45M","1.55%"
"Mar 25, 2020","7.72","7.73","9.10","7.38","7.37M","8.27%"
"Mar 24, 2020","7.13","6.27","7.77","6.21","5.02M","29.64%"
"Mar 23, 2020","5.50","5.47","5.74","4.65","4.40M","13.87%"
"Mar 20, 2020","4.83","6.31","6.44","4.76","4.58M","-18.14%"
"Mar 19, 2020","5.90","5.54","6.76","4.90","4.15M","6.50%"
"Mar 18, 2020","5.54","5.66","5.98","5.00","3.26M","-11.22%"
"Mar 17, 2020","6.24","7.95","7.95","4.54","6.08M","-16.69%"
"Mar 16, 2020","7.49","9.34","9.50","7.32","2.75M","-30.58%"
"Mar 13, 2020","10.79","10.53","10.97","9.11","2.40M","9.99%"
"Mar 12, 2020","9.81","10.63","10.63","9.12","2.59M","-16.51%"
"Mar 11, 2020","11.75","13.34","13.34","11.49","2.38M","-14.98%"
"Mar 10, 2020","13.82","14.14","14.14","12.62","2.45M","2.45%"
"Mar 09, 2020","13.49","14.91","15.10","13.41","1.89M","-15.00%"
"Mar 06, 2020","15.87","16.00","16.29","15.53","2.14M","-4.80%"
"Mar 05, 2020","16.67","17.61","17.66","16.50","1.90M","-7.70%"
"Mar 04, 2020","18.06","18.08","18.23","17.32","1.78M","1.01%"
"Mar 03, 2020","17.88","18.40","18.74","17.77","1.25M","-3.09%"
"Mar 02, 2020","18.45","18.10","18.49","17.16","1.75M","2.56%"
"Feb 28, 2020","17.99","17.95","18.28","17.49","1.72M","-2.39%"
"Feb 27, 2020","18.43","18.80","19.27","17.70","2.36M","-4.95%"
"Feb 26, 2020","19.39","21.60","21.60","19.35","1.91M","-9.81%"
"Feb 25, 2020","21.50","22.92","23.27","21.44","1.49M","-6.24%"
"Feb 24, 2020","22.93","23.02","23.37","22.73","1.10M","-2.26%"
"Feb 21, 2020","23.46","23.01","23.54","22.86","973.59K","2.22%"
"Feb 20, 2020","22.95","23.12","23.27","22.37","1.45M","-0.43%"
"Feb 19, 2020","23.05","22.59","23.65","22.35","2.25M","3.32%"
"Feb 18, 2020","22.31","21.01","22.50","20.82","2.12M","3.57%"
"Feb 14, 2020","21.54","21.19","21.65","21.12","1.19M","1.46%"
"Feb 13, 2020","21.23","20.95","21.46","20.80","857.12K","0.62%"
"Feb 12, 2020","21.10","21.06","21.34","20.82","675.10K","0.48%"
"Feb 11, 2020","21.00","20.45","21.14","20.44","573.09K","2.89%"
