"Date","Price","Open","High","Low","Vol.","Change %"
"May 12, 2020","178.77","182.98","182.99","177.41","4.60M","-2.13%"
"May 11, 2020","182.67","175.54","183.30","174.22","8.70M","3.85%"
"May 08, 2020","175.90","172.95","176.08","171.15","5.41M","3.53%"
"May 07, 2020","169.90","166.57","171.24","166.02","6.46M","3.81%"
"May 06, 2020","163.67","164.50","165.70","163.00","4.11M","0.26%"
"May 05, 2020","163.25","162.80","164.10","160.32","5.26M","1.10%"
"May 04, 2020","161.47","155.61","162.02","155.14","5.97M","3.26%"
"May 01, 2020","156.37","158.49","160.17","155.26","4.28M","-3.45%"
"Apr 30, 2020","161.95","161.10","165.28","160.01","6.83M","0.95%"
"Apr 29, 2020","160.43","157.86","161.77","156.58","5.26M","3.87%"
"Apr 28, 2020","154.46","159.55","160.78","154.18","4.73M","-2.01%"
"Apr 27, 2020","157.63","155.36","158.42","154.20","5.04M","2.37%"
"Apr 24, 2020","153.98","153.59","154.50","151.30","6.71M","1.49%"
"Apr 23, 2020","151.72","154.79","156.41","151.58","6.28M","-1.57%"
"Apr 22, 2020","154.14","154.00","155.59","150.68","6.67M","2.38%"
"Apr 21, 2020","150.56","160.04","160.04","148.03","13.74M","-7.50%"
"Apr 20, 2020","162.76","160.57","164.30","160.57","4.69M","0.09%"
"Apr 17, 2020","162.62","160.00","163.25","157.71","7.31M","3.54%"
"Apr 16, 2020","157.06","156.93","157.98","154.28","4.39M","0.92%"
"Apr 15, 2020","155.63","155.00","157.25","154.00","4.04M","-1.32%"
"Apr 14, 2020","157.71","155.55","158.76","155.36","7.33M","3.42%"
"Apr 13, 2020","152.50","154.00","155.22","150.00","5.14M","-1.33%"
"Apr 09, 2020","154.55","153.54","155.99","151.77","7.09M","2.27%"
"Apr 08, 2020","151.12","146.30","152.15","145.00","7.67M","4.17%"
"Apr 07, 2020","145.07","150.49","150.71","144.58","7.86M","-1.68%"
"Apr 06, 2020","147.55","138.94","148.51","138.41","12.30M","9.86%"
"Apr 03, 2020","134.31","134.88","136.12","131.70","6.00M","-0.01%"
"Apr 02, 2020","134.32","133.76","135.39","130.04","8.15M","0.19%"
"Apr 01, 2020","134.06","136.22","138.99","133.27","8.74M","-6.89%"
"Mar 31, 2020","143.98","148.59","151.94","142.79","10.43M","-3.92%"
"Mar 30, 2020","149.85","147.72","153.00","146.56","7.65M","2.64%"
"Mar 27, 2020","146.00","150.63","151.45","144.94","8.27M","-5.64%"
"Mar 26, 2020","154.73","148.94","154.99","147.75","8.58M","5.22%"
"Mar 25, 2020","147.06","153.00","158.00","147.01","10.64M","-4.28%"
"Mar 24, 2020","153.64","144.01","153.99","143.20","11.83M","9.34%"
"Mar 23, 2020","140.52","138.76","143.72","134.09","11.90M","0.84%"
"Mar 20, 2020","139.35","140.42","146.20","134.60","12.45M","-0.08%"
"Mar 19, 2020","139.46","131.21","143.98","128.91","10.44M","5.46%"
"Mar 18, 2020","132.24","125.50","133.34","115.30","12.99M","-2.35%"
"Mar 17, 2020","135.42","127.00","138.01","122.92","12.19M","8.95%"
"Mar 16, 2020","124.30","134.01","141.55","123.39","13.85M","-15.89%"
"Mar 13, 2020","147.78","149.47","149.50","135.32","13.77M","5.11%"
"Mar 12, 2020","140.59","144.34","151.23","140.10","13.21M","-9.04%"
"Mar 11, 2020","154.57","157.68","159.62","150.15","10.35M","-4.20%"
"Mar 10, 2020","161.34","157.23","161.47","151.00","11.44M","6.70%"
"Mar 09, 2020","151.21","151.70","157.71","150.64","9.66M","-7.84%"
"Mar 06, 2020","164.08","165.67","167.57","158.54","9.76M","-3.25%"
"Mar 05, 2020","169.60","172.57","173.75","168.10","5.80M","-3.47%"
"Mar 04, 2020","175.69","172.25","175.81","169.63","5.85M","3.73%"
"Mar 03, 2020","169.37","178.41","178.42","167.09","8.32M","-4.18%"
"Mar 02, 2020","176.76","172.20","176.79","168.59","7.76M","3.73%"
"Feb 28, 2020","170.40","164.99","171.77","163.12","12.64M","-1.02%"
"Feb 27, 2020","172.15","172.21","178.33","170.05","9.93M","-3.76%"
"Feb 26, 2020","178.87","176.54","182.66","174.25","13.93M","-1.32%"
"Feb 25, 2020","181.27","188.47","189.98","179.43","11.36M","-2.51%"
"Feb 24, 2020","185.94","178.79","187.15","178.79","8.46M","-1.88%"
"Feb 21, 2020","189.50","191.84","192.04","186.72","5.24M","-2.00%"
"Feb 20, 2020","193.36","194.00","195.72","189.77","5.45M","0.25%"
"Feb 19, 2020","192.87","192.00","193.92","191.80","3.90M","0.93%"
"Feb 18, 2020","191.09","190.95","191.50","188.92","4.96M","0.60%"
"Feb 14, 2020","189.95","189.35","190.25","188.10","3.60M","0.69%"
"Feb 13, 2020","188.64","188.50","191.05","188.42","3.13M","-0.43%"
"Feb 12, 2020","189.46","189.71","190.52","186.77","4.54M","0.19%"
"Feb 11, 2020","189.11","191.48","192.60","188.65","4.30M","-0.01%"
"Feb 10, 2020","189.12","186.17","189.27","185.56","3.87M","1.83%"
"Feb 07, 2020","185.72","186.85","188.65","185.65","3.71M","-0.54%"
"Feb 06, 2020","186.73","186.83","187.56","184.24","4.10M","0.67%"
"Feb 05, 2020","185.49","190.40","190.55","182.86","6.16M","-1.51%"
"Feb 04, 2020","188.34","188.00","189.69","186.65","3.98M","1.57%"
"Feb 03, 2020","185.42","183.26","185.87","181.85","4.76M","1.71%"
"Jan 31, 2020","182.31","184.86","186.03","180.79","4.19M","-1.81%"
"Jan 30, 2020","185.67","180.90","185.94","180.54","3.72M","2.15%"
"Jan 29, 2020","181.77","184.00","184.10","181.62","2.79M","-0.59%"
"Jan 28, 2020","182.85","181.14","183.85","180.35","3.45M","1.18%"
"Jan 27, 2020","180.71","178.77","181.73","177.30","4.24M","-0.77%"
"Jan 24, 2020","182.11","185.00","186.13","181.13","4.65M","-1.02%"
"Jan 23, 2020","183.98","183.21","184.30","181.30","4.37M","0.67%"
"Jan 22, 2020","182.75","185.39","186.44","182.69","4.78M","-1.36%"
"Jan 21, 2020","185.27","181.51","186.00","181.50","6.30M","1.67%"
"Jan 17, 2020","182.23","183.23","183.34","181.36","4.58M","-0.25%"
"Jan 16, 2020","182.69","182.23","183.11","180.96","3.49M","0.90%"
"Jan 15, 2020","181.06","181.68","183.09","180.62","3.89M","-0.58%"
"Jan 14, 2020","182.12","183.50","183.85","182.04","4.35M","-0.94%"
"Jan 13, 2020","183.85","181.26","184.45","181.13","6.21M","2.03%"
"Jan 10, 2020","180.20","179.84","180.68","178.69","5.11M","0.33%"
"Jan 09, 2020","179.60","178.84","179.90","177.29","5.95M","1.28%"
"Jan 08, 2020","177.33","175.23","178.85","174.75","7.23M","0.76%"
"Jan 07, 2020","176.00","173.23","176.87","172.09","8.31M","1.47%"
"Jan 06, 2020","173.45","165.00","173.67","164.45","8.84M","4.38%"
"Jan 03, 2020","166.17","165.06","166.77","165.00","3.21M","-0.49%"
"Jan 02, 2020","166.99","163.92","167.07","163.58","5.09M","2.67%"
"Dec 31, 2019","162.64","162.04","163.26","161.80","3.27M","0.12%"
"Dec 30, 2019","162.44","164.86","164.94","161.20","3.20M","-1.54%"
"Dec 27, 2019","164.98","164.86","165.46","163.90","3.41M","0.29%"
"Dec 26, 2019","164.51","163.40","164.53","163.27","2.16M","0.77%"
"Dec 24, 2019","163.25","163.31","163.84","162.88","1.24M","-0.30%"
"Dec 23, 2019","163.74","164.04","164.87","163.35","4.37M","-0.49%"
"Dec 20, 2019","164.55","164.73","165.17","163.63","8.59M","0.75%"
"Dec 19, 2019","163.33","161.59","163.34","160.83","4.19M","1.15%"
"Dec 18, 2019","161.48","161.80","163.28","161.48","4.15M","-0.09%"
"Dec 17, 2019","161.63","162.00","162.37","159.74","4.79M","-0.20%"
"Dec 16, 2019","161.96","160.85","162.74","160.82","5.37M","0.52%"
"Dec 13, 2019","161.13","158.86","161.49","158.55","5.74M","1.60%"
"Dec 12, 2019","158.59","155.77","158.99","155.31","5.36M","1.41%"
"Dec 11, 2019","156.39","156.84","156.88","155.48","4.87M","-0.01%"
"Dec 10, 2019","156.40","157.01","157.67","156.17","4.08M","-0.69%"
"Dec 09, 2019","157.48","157.38","158.90","157.06","3.75M","-0.34%"
"Dec 06, 2019","158.01","158.10","159.50","157.59","4.75M","-0.13%"
"Dec 05, 2019","158.22","155.74","158.92","155.25","7.13M","1.14%"
"Dec 04, 2019","156.43","160.38","160.69","154.50","17.81M","-3.18%"
"Dec 03, 2019","161.57","156.96","161.85","156.19","6.62M","0.35%"
"Dec 02, 2019","161.00","163.10","163.21","158.10","5.14M","-1.16%"
"Nov 29, 2019","162.89","161.61","163.41","161.32","2.43M","0.85%"
"Nov 27, 2019","161.51","161.92","162.83","161.11","4.02M","-0.63%"
"Nov 26, 2019","162.54","161.56","162.61","161.31","5.88M","0.51%"
"Nov 25, 2019","161.71","163.78","164.65","161.45","5.51M","-0.68%"
"Nov 22, 2019","162.81","162.98","163.49","161.38","3.76M","-0.04%"
"Nov 21, 2019","162.88","165.32","165.91","162.21","5.72M","-0.80%"
"Nov 20, 2019","164.20","163.44","166.34","162.25","8.45M","0.15%"
"Nov 19, 2019","163.96","163.64","164.45","161.84","4.96M","0.73%"
"Nov 18, 2019","162.77","164.00","164.00","161.89","5.56M","-0.27%"
"Nov 15, 2019","163.21","163.72","163.93","160.99","3.69M","0.10%"
"Nov 14, 2019","163.05","163.03","163.58","162.39","3.82M","0.28%"
"Nov 13, 2019","162.60","163.05","164.42","162.02","5.50M","-0.16%"
"Nov 12, 2019","162.86","162.00","164.37","161.59","3.71M","0.67%"
"Nov 11, 2019","161.78","161.22","162.23","160.25","3.54M","0.42%"
