"Date","Price","Open","High","Low","Vol.","Change %"
"May 12, 2020","94.73","97.08","97.08","94.53","338.28K","-2.33%"
"May 11, 2020","96.99","96.89","98.91","95.67","661.00K","-0.26%"
"May 08, 2020","97.24","97.00","97.65","96.22","370.81K","1.61%"
"May 07, 2020","95.70","95.31","96.22","93.90","440.29K","2.93%"
"May 06, 2020","92.98","92.84","93.78","91.46","466.56K","1.42%"
"May 05, 2020","91.68","89.99","92.04","89.66","376.99K","3.28%"
"May 04, 2020","88.77","86.96","89.00","86.96","322.38K","2.49%"
"May 01, 2020","86.61","89.15","89.43","85.59","526.23K","-4.66%"
"Apr 30, 2020","90.84","91.31","91.90","89.06","868.02K","0.13%"
"Apr 29, 2020","90.72","89.93","92.10","89.71","497.19K","3.13%"
"Apr 28, 2020","87.97","90.40","91.05","87.31","428.12K","-2.30%"
"Apr 27, 2020","90.04","88.28","90.75","88.04","475.53K","3.29%"
"Apr 24, 2020","87.17","87.53","88.08","86.27","262.05K","0.35%"
"Apr 23, 2020","86.87","88.03","89.45","86.43","410.55K","-1.66%"
"Apr 22, 2020","88.34","86.26","88.93","85.58","349.77K","3.61%"
"Apr 21, 2020","85.26","87.79","88.73","83.78","605.36K","-5.00%"
"Apr 20, 2020","89.75","87.58","90.37","87.57","412.05K","1.10%"
"Apr 17, 2020","88.77","87.14","88.84","85.54","507.63K","1.68%"
"Apr 16, 2020","87.30","86.50","87.71","85.18","647.69K","2.78%"
"Apr 15, 2020","84.94","84.51","85.60","84.51","460.99K","-1.81%"
"Apr 14, 2020","86.51","86.12","87.88","85.85","859.67K","2.21%"
"Apr 13, 2020","84.64","82.04","85.35","82.00","590.79K","1.47%"
"Apr 09, 2020","83.41","84.06","84.71","81.84","1.10M","0.04%"
"Apr 08, 2020","83.38","80.66","83.98","80.02","450.59K","4.11%"
"Apr 07, 2020","80.09","81.79","82.28","79.85","446.99K","-0.47%"
"Apr 06, 2020","80.47","76.28","80.79","76.02","682.88K","8.74%"
"Apr 03, 2020","74.00","72.99","74.28","71.73","1.11M","0.03%"
"Apr 02, 2020","73.98","74.21","77.09","72.47","791.96K","-2.12%"
"Apr 01, 2020","75.58","78.26","79.16","75.02","905.05K","-4.70%"
"Mar 31, 2020","79.31","81.50","82.91","78.61","1.23M","-4.54%"
"Mar 30, 2020","83.08","82.20","84.05","82.15","968.30K","2.77%"
"Mar 27, 2020","80.84","82.07","83.42","79.92","596.66K","-3.72%"
"Mar 26, 2020","83.96","81.56","84.77","81.56","977.27K","4.54%"
"Mar 25, 2020","80.31","78.01","83.96","76.08","1.55M","3.15%"
"Mar 24, 2020","77.86","78.21","80.31","77.27","1.26M","2.37%"
"Mar 23, 2020","76.06","80.58","81.25","74.17","1.48M","-6.98%"
"Mar 20, 2020","81.77","85.00","85.86","80.36","1.41M","-3.73%"
"Mar 19, 2020","84.94","79.99","87.06","78.90","1.49M","5.75%"
"Mar 18, 2020","80.32","80.84","83.45","76.92","1.37M","-6.70%"
"Mar 17, 2020","86.09","79.05","86.29","75.58","1.76M","10.71%"
"Mar 16, 2020","77.76","73.00","82.16","72.40","1.61M","-3.80%"
"Mar 13, 2020","80.83","81.55","81.81","73.95","1.54M","4.31%"
"Mar 12, 2020","77.49","76.03","81.91","73.83","1.58M","-4.18%"
"Mar 11, 2020","80.87","81.78","84.23","79.44","1.75M","-3.40%"
"Mar 10, 2020","83.72","85.78","85.78","81.30","2.11M","0.43%"
"Mar 09, 2020","83.36","85.14","86.39","83.05","1.67M","-8.65%"
"Mar 06, 2020","91.25","91.02","91.62","89.24","1.87M","-2.47%"
"Mar 05, 2020","93.56","94.78","98.67","91.06","4.91M","-16.82%"
"Mar 04, 2020","112.48","107.49","112.59","107.43","1.37M","6.11%"
"Mar 03, 2020","106.00","112.28","113.21","103.79","1.31M","-5.31%"
"Mar 02, 2020","111.94","110.30","112.03","107.89","983.13K","2.13%"
"Feb 28, 2020","109.61","105.91","109.83","105.80","1.16M","1.00%"
"Feb 27, 2020","108.53","108.98","112.53","108.13","991.59K","-2.52%"
"Feb 26, 2020","111.33","111.46","112.92","110.80","676.14K","0.41%"
"Feb 25, 2020","110.87","115.92","116.17","110.01","661.09K","-3.62%"
"Feb 24, 2020","115.03","116.82","117.84","114.33","629.10K","-3.74%"
"Feb 21, 2020","119.50","121.97","121.97","118.85","610.63K","-2.11%"
"Feb 20, 2020","122.07","122.45","123.84","120.53","375.26K","-0.43%"
"Feb 19, 2020","122.60","123.51","124.16","122.24","350.06K","0.31%"
"Feb 18, 2020","122.22","122.22","122.58","121.36","340.04K","-0.16%"
"Feb 14, 2020","122.42","121.28","122.53","120.69","349.32K","0.96%"
"Feb 13, 2020","121.26","120.45","122.00","120.31","390.09K","0.26%"
"Feb 12, 2020","120.95","121.15","121.41","119.40","338.68K","-0.04%"
"Feb 11, 2020","121.00","121.00","121.40","120.34","411.32K","0.32%"
