"Date","Price","Open","High","Low","Vol.","Change %"
"May 12, 2020","184.87","186.81","186.99","184.70","20.32M","-1.00%"
"May 11, 2020","186.74","183.07","187.50","182.90","30.89M","1.12%"
"May 08, 2020","184.68","184.98","185.00","183.36","30.91M","0.59%"
"May 07, 2020","183.60","184.22","184.51","182.60","28.32M","0.58%"
"May 06, 2020","182.54","182.08","184.16","181.72","32.14M","0.98%"
"May 05, 2020","180.76","180.59","183.65","179.95","36.84M","1.07%"
"May 04, 2020","178.84","174.51","178.98","173.93","30.37M","2.45%"
"May 01, 2020","174.57","175.74","178.61","174.04","39.37M","-2.59%"
"Apr 30, 2020","179.21","179.91","180.39","176.28","53.88M","1.00%"
"Apr 29, 2020","177.43","173.10","177.62","171.89","51.29M","4.49%"
"Apr 28, 2020","169.81","175.58","175.58","169.42","34.39M","-2.44%"
"Apr 27, 2020","174.05","176.65","176.65","173.43","33.19M","-0.29%"
"Apr 24, 2020","174.55","172.18","174.55","170.75","34.31M","1.83%"
"Apr 23, 2020","171.42","174.11","175.03","171.09","32.79M","-1.21%"
"Apr 22, 2020","173.52","171.46","173.96","170.88","34.65M","3.40%"
"Apr 21, 2020","167.82","172.85","173.53","166.14","56.20M","-4.14%"
"Apr 20, 2020","175.06","176.40","178.70","175.00","36.67M","-1.98%"
"Apr 17, 2020","178.60","179.53","179.93","175.92","52.77M","0.88%"
"Apr 16, 2020","177.04","174.48","177.25","172.94","50.48M","3.00%"
"Apr 15, 2020","171.88","170.69","173.55","169.26","40.94M","-1.05%"
"Apr 14, 2020","173.70","168.86","173.73","168.01","52.87M","4.95%"
"Apr 13, 2020","165.51","164.19","165.51","162.31","41.91M","0.22%"
"Apr 09, 2020","165.14","166.50","167.30","163.39","51.43M","0.01%"
"Apr 08, 2020","165.13","165.86","166.62","163.73","48.32M","1.00%"
"Apr 07, 2020","163.49","169.91","169.91","163.42","62.77M","-1.08%"
"Apr 06, 2020","165.27","160.57","166.49","157.63","67.11M","7.44%"
"Apr 03, 2020","153.83","155.20","157.35","152.22","41.24M","-0.92%"
"Apr 02, 2020","155.26","151.80","155.45","150.37","49.63M","2.07%"
"Apr 01, 2020","152.11","153.01","157.75","150.82","57.97M","-3.55%"
"Mar 31, 2020","157.71","159.75","164.75","156.63","77.93M","-1.57%"
"Mar 30, 2020","160.23","152.44","160.60","150.01","63.42M","7.03%"
"Mar 27, 2020","149.70","151.75","154.88","149.24","57.04M","-4.11%"
"Mar 26, 2020","156.11","149.00","156.60","149.00","64.69M","6.26%"
