"Date","Price","Open","High","Low","Vol.","Change %"
"May 12, 2020","88.77","91.65","91.65","88.65","3.94M","-2.38%"
"May 11, 2020","90.93","89.36","91.42","89.16","4.94M","0.52%"
"May 08, 2020","90.46","90.11","90.64","89.59","5.49M","2.15%"
"May 07, 2020","88.56","89.64","90.24","88.38","4.57M","0.14%"
"May 06, 2020","88.44","88.04","88.64","87.44","7.34M","1.42%"
"May 05, 2020","87.20","86.45","88.51","86.03","6.32M","1.69%"
"May 04, 2020","85.75","84.77","85.77","84.31","6.35M","0.25%"
"May 01, 2020","85.54","85.67","86.11","84.81","6.15M","-1.88%"
"Apr 30, 2020","87.18","86.79","88.00","86.51","9.37M","-1.01%"
"Apr 29, 2020","88.07","89.88","91.38","87.90","9.46M","-0.82%"
"Apr 28, 2020","88.80","90.68","90.68","88.64","5.15M","-0.64%"
"Apr 27, 2020","89.37","89.04","89.86","87.33","6.88M","1.13%"
"Apr 24, 2020","88.37","88.89","89.12","87.64","4.45M","1.17%"
"Apr 23, 2020","87.35","88.85","89.52","87.27","5.34M","-1.60%"
"Apr 22, 2020","88.77","87.06","89.34","86.47","6.46M","4.19%"
"Apr 21, 2020","85.20","85.98","86.88","85.11","6.60M","-3.07%"
"Apr 20, 2020","87.90","88.26","89.44","87.52","7.24M","-2.24%"
"Apr 17, 2020","89.91","89.00","90.22","88.36","8.11M","4.18%"
"Apr 16, 2020","86.30","85.43","86.49","84.58","9.37M","1.48%"
"Apr 15, 2020","85.04","84.76","85.85","83.72","8.05M","-2.78%"
"Apr 14, 2020","87.47","85.84","87.68","85.49","6.40M","3.56%"
"Apr 13, 2020","84.46","85.58","85.98","84.17","5.08M","-2.68%"
"Apr 09, 2020","86.79","85.67","87.38","85.51","7.77M","1.75%"
"Apr 08, 2020","85.30","84.53","85.75","83.62","6.64M","1.35%"
"Apr 07, 2020","84.16","88.74","88.74","84.05","10.47M","-0.56%"
"Apr 06, 2020","84.63","82.05","84.97","81.56","11.27M","7.32%"
"Apr 03, 2020","78.86","79.41","79.78","77.91","8.48M","-1.60%"
"Apr 02, 2020","80.14","79.30","81.58","77.19","12.73M","1.15%"
"Apr 01, 2020","79.23","79.23","81.15","78.65","9.77M","-4.24%"
"Mar 31, 2020","82.74","85.13","85.71","82.45","9.62M","-3.09%"
"Mar 30, 2020","85.38","84.00","85.96","81.50","10.96M","2.58%"
"Mar 27, 2020","83.23","81.69","85.73","79.53","14.18M","-1.27%"
"Mar 26, 2020","84.30","80.26","86.86","80.26","17.20M","6.70%"
"Mar 25, 2020","79.01","79.76","83.48","76.28","27.05M","9.24%"
"Mar 24, 2020","72.33","65.81","72.56","64.15","18.85M","15.18%"
"Mar 23, 2020","62.80","65.00","66.88","60.58","17.69M","-6.89%"
"Mar 20, 2020","67.45","71.51","74.06","67.20","15.76M","-4.11%"
"Mar 19, 2020","70.34","67.06","72.69","64.18","16.18M","3.38%"
"Mar 18, 2020","68.04","64.89","68.25","60.01","19.50M","-2.58%"
