"Date","Price","Open","High","Low","Vol.","Change %"
"May 12, 2020","11.70","12.00","12.38","11.65","1.04M","1.47%"
"May 11, 2020","11.53","11.17","11.83","11.00","1.39M","2.40%"
"May 08, 2020","11.26","11.00","11.44","10.71","1.15M","2.46%"
"May 07, 2020","10.99","10.65","11.00","10.59","1.42M","5.07%"
"May 06, 2020","10.46","10.25","10.57","10.12","1.03M","4.29%"
"May 05, 2020","10.03","10.46","10.57","9.96","1.57M","-1.76%"
"May 04, 2020","10.21","10.03","10.48","9.93","1.54M","-0.20%"
"May 01, 2020","10.23","10.30","10.33","9.96","832.40K","-3.22%"
"Apr 30, 2020","10.57","10.75","10.96","10.53","1.56M","-2.94%"
"Apr 29, 2020","10.89","10.68","10.97","10.54","1.20M","4.41%"
"Apr 28, 2020","10.43","10.97","11.09","10.12","1.23M","0.58%"
"Apr 27, 2020","10.37","9.88","10.49","9.87","2.16M","7.35%"
"Apr 24, 2020","9.66","9.63","9.72","9.38","1.74M","0.94%"
"Apr 23, 2020","9.57","9.47","9.92","9.34","968.69K","1.27%"
"Apr 22, 2020","9.45","9.36","9.52","9.08","1.05M","2.05%"
"Apr 21, 2020","9.26","9.75","9.78","8.97","1.15M","-5.99%"
"Apr 20, 2020","9.85","9.92","10.22","9.79","898.13K","0.00%"
"Apr 17, 2020","9.85","10.58","10.69","9.85","1.39M","-5.11%"
"Apr 16, 2020","10.38","9.93","10.60","9.43","3.31M","6.46%"
"Apr 15, 2020","9.75","9.35","10.15","9.25","2.34M","1.35%"
"Apr 14, 2020","9.62","9.30","9.80","9.30","1.83M","1.58%"
"Apr 13, 2020","9.47","9.15","9.56","9.00","1.57M","3.84%"
"Apr 09, 2020","9.12","8.95","9.26","8.77","1.96M","4.35%"
"Apr 08, 2020","8.74","8.60","8.88","8.35","1.68M","3.43%"
"Apr 07, 2020","8.45","8.91","9.00","8.40","1.88M","-3.76%"
"Apr 06, 2020","8.78","8.51","8.87","8.34","1.46M","6.68%"
"Apr 03, 2020","8.23","8.08","8.39","7.99","1.22M","-0.24%"
"Apr 02, 2020","8.25","7.42","8.28","7.42","2.52M","5.50%"
"Apr 01, 2020","7.82","7.94","8.16","7.72","1.43M","-2.86%"
"Mar 31, 2020","8.05","8.37","8.65","8.01","1.76M","-4.51%"
"Mar 30, 2020","8.43","8.33","8.45","8.02","1.35M","4.20%"
"Mar 27, 2020","8.09","8.75","8.85","7.96","2.26M","-10.31%"
"Mar 26, 2020","9.02","8.77","9.15","8.38","2.14M","6.75%"
"Mar 25, 2020","8.45","8.45","9.25","8.36","2.65M","-0.59%"
"Mar 24, 2020","8.50","8.50","8.68","8.12","1.76M","6.12%"
"Mar 23, 2020","8.01","8.21","8.33","7.70","2.44M","-1.11%"
"Mar 20, 2020","8.10","8.58","8.78","7.97","2.51M","-3.57%"
"Mar 19, 2020","8.40","8.79","9.27","8.22","2.38M","-3.67%"
"Mar 18, 2020","8.72","7.38","9.00","7.38","2.64M","10.52%"
"Mar 17, 2020","7.89","7.46","7.91","7.30","3.63M","9.74%"
"Mar 16, 2020","7.19","6.67","7.65","6.53","5.72M","-6.50%"
"Mar 13, 2020","7.69","7.08","7.80","6.21","6.34M","-10.48%"
"Mar 12, 2020","8.59","9.24","9.45","8.50","2.20M","-13.76%"
"Mar 11, 2020","9.96","10.66","10.85","9.82","1.17M","-9.70%"
"Mar 10, 2020","11.03","10.73","11.05","10.21","1.74M","6.98%"
"Mar 09, 2020","10.31","10.42","11.14","10.29","1.32M","-10.27%"
"Mar 06, 2020","11.49","11.67","11.89","11.20","1.41M","-4.65%"
"Mar 05, 2020","12.05","12.23","12.48","11.73","1.20M","-3.75%"
"Mar 04, 2020","12.52","12.55","12.68","12.25","913.09K","1.62%"
