"Date","Price","Open","High","Low","Vol.","Change %"
"May 12, 2020","367.95","371.41","372.72","365.70","1.41M","-0.93%"
"May 11, 2020","371.42","365.92","373.63","364.63","2.27M","1.06%"
"May 08, 2020","367.51","370.00","371.10","365.41","2.55M","0.20%"
"May 07, 2020","366.78","368.82","369.43","365.60","2.47M","1.18%"
"May 06, 2020","362.52","358.40","366.79","357.29","2.32M","1.79%"
"May 05, 2020","356.13","353.26","359.64","352.50","2.38M","2.01%"
"May 04, 2020","349.11","341.97","350.57","340.00","2.37M","1.53%"
"May 01, 2020","343.84","347.16","350.26","340.29","2.58M","-2.77%"
"Apr 30, 2020","353.64","348.14","356.18","346.98","3.90M","1.28%"
"Apr 29, 2020","349.17","339.53","351.17","335.55","5.01M","4.71%"
"Apr 28, 2020","333.45","353.26","353.26","332.61","3.90M","-4.32%"
"Apr 27, 2020","348.50","349.09","349.94","345.20","2.38M","1.28%"
"Apr 24, 2020","344.10","338.00","344.70","333.50","2.15M","2.60%"
"Apr 23, 2020","335.37","338.21","341.69","334.80","2.12M","-0.42%"
"Apr 22, 2020","336.77","336.69","339.08","333.07","2.23M","2.36%"
"Apr 21, 2020","328.99","340.00","342.47","325.39","3.55M","-4.61%"
"Apr 20, 2020","344.88","341.83","348.50","339.98","2.77M","0.22%"
"Apr 17, 2020","344.11","349.28","350.28","340.53","3.34M","0.41%"
"Apr 16, 2020","342.70","339.71","345.50","336.32","3.92M","3.05%"
"Apr 15, 2020","332.55","334.05","339.13","329.86","2.82M","-2.41%"
"Apr 14, 2020","340.76","328.53","342.05","328.53","3.86M","6.27%"
"Apr 13, 2020","320.65","315.96","320.81","313.81","1.84M","0.61%"
"Apr 09, 2020","318.70","319.14","320.68","311.02","3.30M","0.48%"
"Apr 08, 2020","317.18","313.19","317.67","308.33","4.00M","2.67%"
"Apr 07, 2020","308.93","326.29","326.69","306.30","5.42M","-3.20%"
"Apr 06, 2020","319.13","305.87","320.40","300.00","5.15M","8.69%"
"Apr 03, 2020","293.61","299.75","302.92","289.87","3.93M","-3.41%"
"Apr 02, 2020","303.96","297.65","306.50","293.26","3.59M","0.91%"
"Apr 01, 2020","301.21","306.04","309.46","298.32","3.90M","-5.35%"
"Mar 31, 2020","318.24","316.10","326.10","312.88","6.41M","-0.05%"
"Mar 30, 2020","318.39","308.89","322.97","308.01","4.34M","4.11%"
"Mar 27, 2020","305.83","311.15","314.09","300.76","4.86M","-5.22%"
"Mar 26, 2020","322.67","307.50","324.22","307.50","4.53M","5.48%"
"Mar 25, 2020","305.91","308.00","317.60","298.42","4.83M","-1.32%"
"Mar 24, 2020","310.00","322.40","326.63","301.72","6.59M","0.89%"
"Mar 23, 2020","307.27","296.67","312.49","287.78","6.02M","4.04%"
"Mar 20, 2020","295.34","312.92","324.80","293.77","7.46M","-3.96%"
"Mar 19, 2020","307.51","291.92","318.63","281.54","6.02M","4.38%"
"Mar 18, 2020","294.61","287.69","296.82","255.25","7.29M","-5.52%"
"Mar 17, 2020","311.81","291.20","312.95","278.35","6.19M","9.01%"
"Mar 16, 2020","286.03","288.36","307.11","283.25","7.14M","-14.75%"
"Mar 13, 2020","335.50","312.88","336.00","298.00","8.94M","17.72%"
"Mar 12, 2020","285.00","290.41","310.13","283.00","7.23M","-9.59%"
"Mar 11, 2020","315.23","324.32","326.36","309.00","4.87M","-5.16%"
"Mar 10, 2020","332.38","318.98","332.94","309.31","5.97M","8.70%"
"Mar 09, 2020","305.79","311.68","322.44","305.33","5.29M","-9.20%"
"Mar 06, 2020","336.77","340.45","344.16","326.60","5.62M","-4.06%"
"Mar 05, 2020","351.03","355.06","360.45","347.19","3.20M","-3.52%"
"Mar 04, 2020","363.85","354.38","364.27","350.08","4.15M","4.45%"
"Mar 03, 2020","348.34","361.76","364.95","344.04","4.20M","-3.31%"
"Mar 02, 2020","360.28","349.81","360.75","342.61","5.40M","4.39%"
"Feb 28, 2020","345.12","324.42","345.46","324.00","6.47M","2.25%"
"Feb 27, 2020","337.52","340.00","352.24","337.27","4.74M","-3.93%"
"Feb 26, 2020","351.34","349.40","360.07","348.60","3.49M","1.02%"
"Feb 25, 2020","347.80","361.00","363.97","346.28","4.19M","-2.69%"
"Feb 24, 2020","357.41","355.39","363.46","349.00","3.92M","-4.17%"
"Feb 21, 2020","372.95","378.02","378.34","368.75","2.74M","-1.59%"
"Feb 20, 2020","378.96","384.00","386.75","373.48","3.79M","-1.13%"
"Feb 19, 2020","383.28","383.83","385.00","381.48","2.58M","1.17%"
"Feb 18, 2020","378.85","380.20","382.59","378.59","2.07M","-0.22%"
"Feb 14, 2020","379.67","376.28","379.83","375.85","1.69M","1.29%"
"Feb 13, 2020","374.84","372.56","377.71","372.39","1.92M","0.15%"
"Feb 12, 2020","374.29","370.64","374.43","367.15","2.36M","1.36%"
"Feb 11, 2020","369.28","373.03","373.70","367.25","2.01M","-0.19%"
"Feb 10, 2020","370.00","365.44","370.81","365.22","2.43M","1.07%"
"Feb 07, 2020","366.09","366.00","369.34","364.38","2.09M","-0.37%"
"Feb 06, 2020","367.46","366.16","368.25","363.01","2.22M","0.52%"
"Feb 05, 2020","365.55","373.99","374.48","362.31","2.46M","-0.32%"
"Feb 04, 2020","366.74","363.43","367.44","360.45","3.05M","2.44%"
"Feb 03, 2020","358.00","353.41","358.67","352.29","2.69M","1.95%"
"Jan 31, 2020","351.14","355.84","355.84","348.30","3.69M","-1.57%"
"Jan 30, 2020","356.74","349.69","356.82","349.69","1.83M","1.44%"
"Jan 29, 2020","351.66","356.70","356.70","351.36","1.52M","-0.84%"
