"Date","Price","Open","High","Low","Vol.","Change %"
"May 12, 2020","127.81","130.23","133.35","125.57","1.72M","-0.46%"
"May 11, 2020","128.40","127.50","133.18","127.33","2.09M","-1.72%"
"May 08, 2020","130.65","118.10","131.31","114.00","3.40M","9.83%"
"May 07, 2020","118.96","114.75","120.14","110.22","6.40M","-2.89%"
"May 06, 2020","122.50","117.88","125.40","117.86","3.09M","5.55%"
"May 05, 2020","116.06","112.02","118.22","112.01","1.46M","4.79%"
"May 04, 2020","110.76","103.94","111.30","103.94","1.54M","4.74%"
"May 01, 2020","105.75","109.24","111.84","103.65","2.33M","-6.56%"
"Apr 30, 2020","113.18","113.00","118.35","112.45","1.34M","-0.15%"
"Apr 29, 2020","113.35","111.00","115.43","106.93","1.86M","4.63%"
"Apr 28, 2020","108.33","116.42","116.42","108.31","1.58M","-4.99%"
"Apr 27, 2020","114.02","114.00","115.81","113.11","1.01M","1.32%"
"Apr 24, 2020","112.54","113.36","114.00","109.06","1.29M","0.58%"
"Apr 23, 2020","111.89","110.01","115.71","109.00","1.68M","-3.58%"
"Apr 22, 2020","116.05","115.46","118.85","114.53","1.10M","4.33%"
"Apr 21, 2020","111.23","122.95","124.50","108.35","2.84M","-10.92%"
"Apr 20, 2020","124.86","120.25","128.78","120.24","1.40M","2.92%"
"Apr 17, 2020","121.32","122.13","122.13","117.69","1.11M","3.25%"
"Apr 16, 2020","117.50","122.63","124.47","115.86","1.56M","-0.85%"
"Apr 15, 2020","118.51","115.00","119.22","113.58","1.30M","-0.88%"
"Apr 14, 2020","119.56","115.08","122.22","115.08","2.52M","9.39%"
"Apr 13, 2020","109.30","109.80","110.77","105.38","1.66M","1.28%"
"Apr 09, 2020","107.92","101.49","112.87","101.02","3.45M","11.33%"
"Apr 08, 2020","96.94","91.00","98.50","89.55","1.75M","8.64%"
"Apr 07, 2020","89.23","95.30","96.23","89.08","2.59M","-0.75%"
"Apr 06, 2020","89.90","86.62","90.68","85.65","2.14M","9.98%"
"Apr 03, 2020","81.74","84.62","85.82","79.91","2.34M","-2.11%"
"Apr 02, 2020","83.50","87.78","89.77","80.69","3.24M","-5.71%"
"Apr 01, 2020","88.56","88.59","92.58","87.00","1.82M","-6.95%"
"Mar 31, 2020","95.17","94.04","100.35","93.66","2.36M","-0.76%"
"Mar 30, 2020","95.90","93.59","96.24","91.33","1.74M","2.74%"
"Mar 27, 2020","93.34","95.50","96.33","90.90","2.42M","-7.63%"
"Mar 26, 2020","101.05","98.23","104.35","94.10","2.03M","5.02%"
"Mar 25, 2020","96.22","104.59","106.65","95.71","2.20M","-6.81%"
"Mar 24, 2020","103.25","99.02","107.09","98.07","2.53M","11.37%"
"Mar 23, 2020","92.71","96.41","96.78","86.00","2.13M","-3.21%"
"Mar 20, 2020","95.78","101.00","108.20","93.53","2.82M","-2.49%"
"Mar 19, 2020","98.23","86.28","99.41","84.86","2.35M","13.38%"
"Mar 18, 2020","86.64","78.26","90.43","78.26","2.98M","2.07%"
"Mar 17, 2020","84.88","84.00","92.40","75.17","3.08M","4.82%"
"Mar 16, 2020","80.98","85.00","97.17","80.00","3.17M","-21.52%"
"Mar 13, 2020","103.19","101.13","103.57","87.87","3.41M","8.22%"
"Mar 12, 2020","95.35","99.00","101.43","90.00","2.69M","-12.15%"
"Mar 11, 2020","108.54","114.68","117.45","105.02","2.62M","-8.29%"
"Mar 10, 2020","118.35","116.00","118.56","111.00","2.37M","7.09%"
"Mar 09, 2020","110.51","120.77","126.01","109.41","4.55M","-17.65%"
"Mar 06, 2020","134.19","146.00","147.12","131.22","2.48M","-10.35%"
"Mar 05, 2020","149.68","142.75","150.40","142.38","2.23M","3.40%"
"Mar 04, 2020","144.76","145.75","147.22","141.43","1.31M","2.13%"
"Mar 03, 2020","141.74","146.00","148.42","136.23","2.09M","-2.36%"
"Mar 02, 2020","145.17","142.61","145.24","137.55","2.16M","3.98%"
"Feb 28, 2020","139.62","127.53","139.76","127.53","2.31M","5.02%"
"Feb 27, 2020","132.94","129.50","139.24","126.74","2.01M","-2.81%"
"Feb 26, 2020","136.78","133.05","140.10","132.81","1.88M","3.08%"
"Feb 25, 2020","132.69","135.59","138.15","129.52","2.02M","-0.71%"
"Feb 24, 2020","133.64","125.92","136.00","124.67","2.78M","-3.00%"
"Feb 21, 2020","137.77","146.01","146.94","136.91","2.85M","-6.33%"
"Feb 20, 2020","147.08","153.15","154.95","143.30","2.50M","-4.03%"
"Feb 19, 2020","153.26","156.63","157.89","150.75","2.14M","-2.16%"
"Feb 18, 2020","156.64","157.22","160.11","153.66","1.67M","-0.86%"
"Feb 14, 2020","158.00","148.00","158.62","146.25","3.98M","9.49%"
"Feb 13, 2020","144.30","145.61","147.95","143.62","2.57M","-1.52%"
"Feb 12, 2020","146.52","143.10","146.54","140.10","1.28M","2.94%"
"Feb 11, 2020","142.33","143.68","144.49","141.22","1.25M","-0.43%"
"Feb 10, 2020","142.94","137.27","143.10","137.27","942.43K","3.82%"
"Feb 07, 2020","137.68","137.07","139.23","135.45","697.79K","1.06%"
