"Date","Price","Open","High","Low","Vol.","Change %"
"May 12, 2020","142.97","149.28","149.28","142.93","520.30K","-3.70%"
"May 11, 2020","148.47","147.83","149.23","147.22","614.29K","-0.37%"
"May 08, 2020","149.02","143.84","149.10","143.43","847.10K","4.42%"
"May 07, 2020","142.71","142.17","143.89","141.39","582.29K","0.64%"
"May 06, 2020","141.80","137.27","143.03","136.88","1.06M","3.87%"
"May 05, 2020","136.52","135.73","137.35","135.64","939.67K","0.83%"
"May 04, 2020","135.40","132.08","135.46","132.08","849.98K","0.07%"
"May 01, 2020","135.30","134.43","137.98","134.24","874.22K","-2.84%"
"Apr 30, 2020","139.26","141.95","143.29","139.23","1.03M","-2.40%"
"Apr 29, 2020","142.69","141.99","145.88","141.59","1.56M","1.30%"
"Apr 28, 2020","140.86","147.63","153.33","140.10","4.58M","7.59%"
"Apr 27, 2020","130.92","128.71","132.08","127.53","1.39M","2.83%"
"Apr 24, 2020","127.32","124.99","127.56","124.02","843.76K","2.66%"
"Apr 23, 2020","124.02","123.03","125.54","122.67","889.64K","0.66%"
"Apr 22, 2020","123.21","122.30","123.69","120.39","655.28K","2.81%"
"Apr 21, 2020","119.84","120.62","121.22","118.63","676.37K","-2.30%"
"Apr 20, 2020","122.66","122.08","124.40","120.68","856.27K","-1.17%"
"Apr 17, 2020","124.11","124.65","127.83","123.43","2.13M","1.47%"
"Apr 16, 2020","122.31","118.71","123.13","117.89","784.81K","1.57%"
"Apr 15, 2020","120.42","120.72","121.81","120.00","571.14K","-2.08%"
"Apr 14, 2020","122.98","122.54","124.24","121.96","765.62K","1.89%"
"Apr 13, 2020","120.70","122.64","125.13","120.48","691.67K","-3.74%"
"Apr 09, 2020","125.39","123.04","126.95","122.03","873.13K","3.71%"
"Apr 08, 2020","120.90","118.74","121.64","117.92","648.79K","3.55%"
"Apr 07, 2020","116.76","116.55","119.70","115.29","1.29M","3.61%"
"Apr 06, 2020","112.69","110.22","113.81","109.71","952.33K","5.02%"
"Apr 03, 2020","107.30","107.05","108.22","105.48","745.48K","0.17%"
"Apr 02, 2020","107.12","103.88","108.23","103.27","930.88K","3.27%"
"Apr 01, 2020","103.73","104.33","104.72","102.42","666.01K","-2.72%"
"Mar 31, 2020","106.63","108.15","111.37","106.21","692.79K","-2.90%"
"Mar 30, 2020","109.81","111.71","113.10","107.63","782.01K","-0.89%"
"Mar 27, 2020","110.80","107.57","113.79","106.83","926.39K","-2.85%"
"Mar 26, 2020","114.05","105.00","115.26","104.02","1.04M","8.32%"
"Mar 25, 2020","105.29","101.56","108.30","99.84","1.12M","2.51%"
"Mar 24, 2020","102.71","102.02","104.24","96.82","1.31M","4.12%"
"Mar 23, 2020","98.65","100.77","105.36","97.63","1.10M","-1.49%"
"Mar 20, 2020","100.14","99.49","104.99","96.68","1.19M","1.84%"
"Mar 19, 2020","98.33","88.67","100.89","86.90","1.13M","8.59%"
