"Date","Price","Open","High","Low","Vol.","Change %"
"May 12, 2020","106.08","105.17","107.02","102.62","835.75K","0.86%"
"May 11, 2020","105.18","104.75","106.94","104.05","897.95K","0.62%"
"May 08, 2020","104.53","103.85","104.87","101.69","737.36K","0.65%"
"May 07, 2020","103.86","104.81","105.49","102.22","1.21M","-1.18%"
"May 06, 2020","105.10","96.52","106.06","96.41","2.01M","9.46%"
"May 05, 2020","96.02","89.11","96.23","89.00","3.44M","0.15%"
"May 04, 2020","95.88","91.93","96.23","91.93","1.70M","4.41%"
"May 01, 2020","91.83","91.73","93.48","89.64","1.04M","-0.91%"
"Apr 30, 2020","92.67","94.30","94.98","92.57","1.01M","-1.53%"
"Apr 29, 2020","94.11","96.46","97.49","93.69","1.72M","-2.19%"
"Apr 28, 2020","96.22","99.96","99.96","93.16","1.15M","-1.58%"
"Apr 27, 2020","97.76","98.01","99.07","96.82","595.50K","0.48%"
"Apr 24, 2020","97.29","96.66","98.71","94.65","565.37K","1.28%"
"Apr 23, 2020","96.06","96.14","97.67","94.51","968.05K","0.44%"
"Apr 22, 2020","95.64","94.02","95.96","93.15","859.97K","2.10%"
"Apr 21, 2020","93.67","94.64","94.64","87.94","1.77M","-1.15%"
"Apr 20, 2020","94.76","91.20","96.14","91.17","1.23M","2.67%"
"Apr 17, 2020","92.30","91.01","93.86","88.77","1.99M","1.55%"
"Apr 16, 2020","90.89","87.63","91.47","87.34","1.97M","5.71%"
"Apr 15, 2020","85.98","81.35","86.10","80.01","1.11M","3.58%"
"Apr 14, 2020","83.01","82.10","83.90","82.10","655.64K","3.81%"
"Apr 13, 2020","79.96","78.15","80.57","78.15","684.74K","2.05%"
"Apr 09, 2020","78.35","79.66","82.59","77.91","1.65M","-1.82%"
"Apr 08, 2020","79.80","77.74","80.82","77.72","811.93K","3.93%"
"Apr 07, 2020","76.78","79.13","80.51","74.56","1.18M","-1.53%"
"Apr 06, 2020","77.97","75.66","78.24","74.34","952.86K","5.51%"
"Apr 03, 2020","73.90","75.42","75.90","72.42","908.46K","-2.20%"
"Apr 02, 2020","75.56","73.17","76.52","71.83","1.01M","2.47%"
"Apr 01, 2020","73.74","74.00","74.50","71.83","1.36M","-3.56%"
"Mar 31, 2020","76.46","75.75","81.63","75.23","2.13M","0.24%"
"Mar 30, 2020","76.28","75.37","78.80","73.71","1.85M","3.74%"
"Mar 27, 2020","73.53","73.00","77.32","71.02","885.72K","-0.96%"
"Mar 26, 2020","74.24","71.68","75.14","71.32","883.51K","6.27%"
"Mar 25, 2020","69.86","69.45","73.24","68.72","1.46M","-1.61%"
"Mar 24, 2020","71.00","69.56","75.38","67.92","1.28M","6.30%"
"Mar 23, 2020","66.79","62.94","67.66","60.62","1.33M","6.71%"
"Mar 20, 2020","62.59","64.00","68.03","61.33","1.57M","-0.33%"
"Mar 19, 2020","62.80","61.98","66.15","59.50","1.11M","0.05%"
"Mar 18, 2020","62.77","62.43","65.33","59.82","1.02M","-4.11%"
"Mar 17, 2020","65.46","57.02","66.27","57.02","1.57M","15.96%"
"Mar 16, 2020","56.45","54.37","58.75","52.51","2.11M","-10.89%"
"Mar 13, 2020","63.35","63.40","64.38","56.27","1.13M","3.94%"
"Mar 12, 2020","60.95","62.63","64.30","59.34","1.15M","-9.38%"
"Mar 11, 2020","67.26","68.56","69.75","66.04","673.08K","-3.91%"
"Mar 10, 2020","70.00","68.23","70.00","65.42","996.20K","5.82%"
"Mar 09, 2020","66.15","67.42","69.32","63.15","1.38M","-8.09%"
"Mar 06, 2020","71.97","71.56","73.43","68.79","1.20M","-2.17%"
"Mar 05, 2020","73.57","71.91","73.88","71.71","1.29M","0.49%"
"Mar 04, 2020","73.21","73.55","73.97","72.28","849.40K","0.98%"
"Mar 03, 2020","72.50","73.16","75.40","70.76","1.19M","-0.52%"
"Mar 02, 2020","72.88","74.06","74.26","71.19","1.05M","-0.21%"
"Feb 28, 2020","73.03","69.55","73.18","69.49","1.19M","1.78%"
"Feb 27, 2020","71.75","71.93","73.71","70.90","1.29M","-3.11%"
"Feb 26, 2020","74.05","74.43","76.33","73.31","917.51K","0.03%"
"Feb 25, 2020","74.03","74.05","75.47","73.00","1.08M","2.41%"
"Feb 24, 2020","72.29","69.36","72.93","68.45","868.08K","-1.31%"
"Feb 21, 2020","73.25","74.86","75.36","72.33","803.75K","-2.49%"
"Feb 20, 2020","75.12","77.38","78.50","73.23","1.69M","-4.61%"
