"Date","Price","Open","High","Low","Vol.","Change %"
"May 12, 2020","246.39","246.88","248.70","243.89","1.37M","0.31%"
"May 11, 2020","245.62","237.01","246.79","234.61","1.95M","3.21%"
"May 08, 2020","237.99","229.00","238.32","228.50","2.04M","5.31%"
"May 07, 2020","225.99","225.53","228.49","220.57","1.70M","1.26%"
"May 06, 2020","223.18","218.98","224.95","218.98","1.23M","2.28%"
"May 05, 2020","218.21","221.72","222.00","216.18","1.29M","-0.22%"
"May 04, 2020","218.69","215.08","218.75","214.32","1.06M","0.00%"
"May 01, 2020","218.69","219.11","220.46","216.20","1.74M","-2.14%"
"Apr 30, 2020","223.48","229.47","231.47","223.48","1.59M","-3.85%"
"Apr 29, 2020","232.43","229.54","237.47","227.51","1.39M","3.55%"
"Apr 28, 2020","224.47","231.52","231.52","224.20","1.34M","-1.07%"
"Apr 27, 2020","226.89","217.16","227.79","216.77","2.23M","5.75%"
"Apr 24, 2020","214.55","213.76","216.50","212.10","1.52M","1.37%"
"Apr 23, 2020","211.64","212.27","216.62","210.58","1.10M","-0.21%"
"Apr 22, 2020","212.09","210.98","214.22","210.45","1.35M","2.60%"
"Apr 21, 2020","206.72","214.47","216.39","206.56","2.15M","-5.43%"
"Apr 20, 2020","218.59","222.79","224.51","216.83","2.09M","-3.22%"
"Apr 17, 2020","225.86","214.33","226.41","213.59","3.56M","7.97%"
"Apr 16, 2020","209.19","209.59","214.33","207.76","2.19M","0.60%"
"Apr 15, 2020","207.95","199.99","208.41","199.60","1.89M","1.35%"
"Apr 14, 2020","205.18","202.81","206.71","201.58","1.84M","2.97%"
"Apr 13, 2020","199.27","202.59","202.59","197.66","1.01M","-2.08%"
"Apr 09, 2020","203.51","199.68","205.95","198.70","1.90M","3.83%"
"Apr 08, 2020","196.01","196.51","200.46","194.46","1.24M","0.56%"
"Apr 07, 2020","194.92","202.72","203.44","194.81","2.23M","-0.02%"
"Apr 06, 2020","194.95","188.58","195.59","185.76","2.48M","7.56%"
"Apr 03, 2020","181.25","183.77","184.48","179.10","2.21M","-2.29%"
"Apr 02, 2020","185.49","182.02","185.49","177.90","2.31M","1.08%"
"Apr 01, 2020","183.50","183.06","187.03","182.10","1.77M","-3.19%"
"Mar 31, 2020","189.55","192.94","194.00","188.19","2.03M","-2.26%"
"Mar 30, 2020","193.94","188.50","196.96","183.03","2.20M","2.70%"
"Mar 27, 2020","188.84","192.01","195.43","184.29","3.57M","-5.96%"
"Mar 26, 2020","200.80","195.80","202.71","189.73","4.14M","3.71%"
"Mar 25, 2020","193.62","195.50","202.74","192.56","3.34M","0.46%"
"Mar 24, 2020","192.74","184.64","194.75","180.15","2.91M","11.86%"
"Mar 23, 2020","172.30","165.55","180.36","165.05","4.27M","4.42%"
"Mar 20, 2020","165.01","163.51","182.53","162.60","5.34M","6.55%"
"Mar 19, 2020","154.86","138.00","162.53","137.89","2.99M","10.33%"
"Mar 18, 2020","140.36","135.24","140.50","129.00","3.81M","-3.12%"
"Mar 17, 2020","144.88","141.70","156.80","136.09","3.76M","4.25%"
"Mar 16, 2020","138.98","155.49","155.89","138.29","4.57M","-21.37%"
"Mar 13, 2020","176.75","175.90","176.79","162.32","2.93M","4.51%"
"Mar 12, 2020","169.13","179.45","180.33","167.33","3.91M","-12.70%"
"Mar 11, 2020","193.74","199.39","201.49","191.39","2.12M","-5.09%"
"Mar 10, 2020","204.12","206.37","206.99","197.11","2.27M","2.18%"
"Mar 09, 2020","199.77","202.00","208.33","194.24","2.29M","-8.59%"
"Mar 06, 2020","218.55","213.26","223.35","212.24","2.49M","-1.19%"
"Mar 05, 2020","221.19","225.40","227.38","216.15","2.01M","-4.50%"
"Mar 04, 2020","231.62","231.51","232.88","221.24","1.72M","1.98%"
"Mar 03, 2020","227.13","228.87","235.42","225.96","3.57M","-0.77%"
"Mar 02, 2020","228.90","219.19","229.21","216.49","2.33M","5.28%"
"Feb 28, 2020","217.41","210.00","217.70","208.90","3.75M","-1.49%"
"Feb 27, 2020","220.70","230.44","232.48","220.21","2.83M","-7.49%"
"Feb 26, 2020","238.56","239.15","244.13","237.04","1.22M","-0.10%"
"Feb 25, 2020","238.81","248.38","250.45","237.05","1.55M","-3.01%"
"Feb 24, 2020","246.21","245.39","247.87","235.69","1.87M","-3.79%"
"Feb 21, 2020","255.90","263.00","265.10","253.80","1.59M","-2.95%"
"Feb 20, 2020","263.68","262.93","266.20","258.75","1.52M","0.45%"
"Feb 19, 2020","262.51","261.00","263.50","259.81","907.97K","1.27%"
"Feb 18, 2020","259.23","254.01","259.74","253.66","1.27M","1.89%"
"Feb 14, 2020","254.41","254.68","256.00","253.15","950.97K","0.22%"
"Feb 13, 2020","253.86","253.41","256.80","252.37","905.26K","-0.03%"
"Feb 12, 2020","253.94","252.11","254.16","250.78","658.19K","0.94%"
"Feb 11, 2020","251.58","249.34","252.38","248.34","1.02M","1.22%"
"Feb 10, 2020","248.54","244.02","249.74","244.02","1.19M","2.07%"
"Feb 07, 2020","243.51","243.77","246.89","242.17","1.09M","-0.11%"
"Feb 06, 2020","243.78","244.35","244.53","242.79","1.16M","-0.05%"
"Feb 05, 2020","243.90","249.15","249.71","243.56","1.52M","-1.65%"
"Feb 04, 2020","247.99","249.85","250.10","247.66","1.35M","0.66%"
"Feb 03, 2020","246.37","240.18","247.70","240.18","1.79M","2.92%"
"Jan 31, 2020","239.39","243.48","243.58","239.30","1.39M","-1.80%"
"Jan 30, 2020","243.77","241.84","244.00","240.90","771.00K","0.05%"
"Jan 29, 2020","243.66","240.32","244.33","238.77","998.49K","1.80%"
"Jan 28, 2020","239.35","238.66","240.19","236.33","971.53K","1.10%"
"Jan 27, 2020","236.74","233.80","237.87","231.84","1.29M","-1.50%"
"Jan 24, 2020","240.35","243.74","245.06","239.27","938.34K","-1.11%"
"Jan 23, 2020","243.06","242.62","244.28","241.50","868.69K","-0.51%"
"Jan 22, 2020","244.30","243.30","246.02","243.06","1.21M","0.73%"
"Jan 21, 2020","242.52","241.43","243.47","240.00","1.60M","0.53%"
"Jan 17, 2020","241.25","245.51","245.73","241.15","1.34M","-1.01%"
"Jan 16, 2020","243.71","245.00","245.52","241.79","1.41M","0.09%"
"Jan 15, 2020","243.49","245.15","246.04","243.39","996.89K","-0.11%"
