"Date","Price","Open","High","Low","Vol.","Change %"
"May 12, 2020","178.30","181.78","182.54","178.00","2.24M","-1.43%"
"May 11, 2020","180.88","178.85","182.86","178.74","2.63M","-0.19%"
"May 08, 2020","181.23","183.20","183.43","179.91","3.41M","0.06%"
"May 07, 2020","181.12","179.73","181.54","178.31","3.04M","2.35%"
"May 06, 2020","176.97","180.51","181.11","176.87","3.92M","-1.27%"
"May 05, 2020","179.24","183.52","183.86","179.13","3.83M","-1.45%"
"May 04, 2020","181.87","181.30","182.46","178.97","4.03M","-0.43%"
"May 01, 2020","182.66","183.56","185.39","182.15","3.76M","-2.61%"
"Apr 30, 2020","187.56","182.08","188.23","180.98","7.13M","-0.14%"
"Apr 29, 2020","187.82","188.53","190.35","186.93","3.47M","1.02%"
"Apr 28, 2020","185.93","190.00","190.00","185.65","3.80M","0.02%"
"Apr 27, 2020","185.89","185.45","188.34","184.85","4.05M","1.02%"
"Apr 24, 2020","184.02","183.32","184.26","180.95","3.32M","1.09%"
"Apr 23, 2020","182.04","185.92","187.30","181.34","5.05M","-2.38%"
"Apr 22, 2020","186.48","180.75","187.63","180.75","4.25M","5.01%"
"Apr 21, 2020","177.58","176.63","179.35","176.12","4.76M","-2.24%"
"Apr 20, 2020","181.65","184.11","185.78","181.57","3.86M","-2.39%"
"Apr 17, 2020","186.10","183.01","186.78","180.32","6.47M","3.68%"
"Apr 16, 2020","179.50","176.56","179.85","172.35","7.12M","0.93%"
"Apr 15, 2020","177.84","178.81","180.96","177.28","4.96M","-3.34%"
"Apr 14, 2020","183.99","183.94","184.46","181.84","3.86M","2.15%"
"Apr 13, 2020","180.12","182.61","182.71","176.91","3.18M","-1.95%"
"Apr 09, 2020","183.70","180.50","185.43","179.92","4.90M","3.50%"
"Apr 08, 2020","177.49","175.59","179.39","174.10","5.67M","1.08%"
"Apr 07, 2020","175.59","184.30","184.78","175.16","7.85M","-0.82%"
"Apr 06, 2020","177.04","169.91","177.85","168.24","8.33M","10.42%"
"Apr 03, 2020","160.33","160.96","162.17","156.15","5.05M","-0.72%"
"Apr 02, 2020","161.50","155.00","161.85","155.00","4.80M","2.11%"
"Apr 01, 2020","158.17","159.50","161.39","156.36","4.67M","-4.34%"
"Mar 31, 2020","165.35","166.53","169.47","165.01","4.52M","-1.65%"
"Mar 30, 2020","168.13","164.92","170.31","163.57","5.62M","2.51%"
"Mar 27, 2020","164.01","161.00","169.73","159.26","6.44M","-2.00%"
"Mar 26, 2020","167.35","163.45","170.93","161.39","8.26M","2.68%"
"Mar 25, 2020","162.98","165.00","171.30","159.30","9.71M","0.64%"
"Mar 24, 2020","161.95","148.99","162.63","146.57","11.68M","18.13%"
"Mar 23, 2020","137.10","142.95","153.21","136.50","10.66M","-7.67%"
"Mar 20, 2020","148.49","153.59","161.54","147.77","12.00M","-0.68%"
"Mar 19, 2020","149.50","134.26","154.70","128.23","12.77M","8.89%"
"Mar 18, 2020","137.30","137.50","141.71","124.23","12.55M","-6.99%"
"Mar 17, 2020","147.62","148.02","149.48","135.00","13.71M","-0.93%"
"Mar 16, 2020","149.01","157.10","161.92","147.63","9.34M","-15.88%"
"Mar 13, 2020","177.13","178.26","179.47","168.20","8.04M","4.11%"
"Mar 12, 2020","170.13","174.78","179.84","169.38","9.08M","-9.63%"
"Mar 11, 2020","188.25","192.94","195.74","185.83","5.63M","-5.81%"
"Mar 10, 2020","199.86","190.95","200.00","187.89","5.84M","6.96%"
"Mar 09, 2020","186.86","187.67","194.47","184.10","7.79M","-6.03%"
"Mar 06, 2020","198.86","192.90","199.58","191.21","6.36M","0.27%"
"Mar 05, 2020","198.32","202.64","203.91","196.33","4.11M","-4.20%"
"Mar 04, 2020","207.02","201.93","207.16","200.90","4.26M","3.76%"
"Mar 03, 2020","199.51","202.00","205.67","197.16","5.12M","-1.50%"
"Mar 02, 2020","202.55","193.81","202.55","193.18","6.15M","4.32%"
