"Date","Price","Open","High","Low","Vol.","Change %"
"May 12, 2020","194.45","189.63","198.23","185.62","1.33M","3.74%"
"May 11, 2020","187.44","178.18","189.25","176.19","1.25M","6.20%"
"May 08, 2020","176.49","178.50","179.14","171.24","737.45K","0.60%"
"May 07, 2020","175.43","173.62","179.10","172.37","694.21K","2.83%"
"May 06, 2020","170.61","169.05","172.98","167.88","654.58K","1.66%"
"May 05, 2020","167.82","162.58","170.84","161.24","914.86K","4.92%"
"May 04, 2020","159.95","154.68","160.51","153.61","571.72K","2.58%"
"May 01, 2020","155.92","154.90","159.74","154.41","575.78K","-3.83%"
"Apr 30, 2020","162.13","158.73","165.64","158.70","944.41K","1.92%"
"Apr 29, 2020","159.07","157.03","162.37","154.61","671.26K","2.79%"
"Apr 28, 2020","154.75","162.13","163.16","153.95","704.78K","-3.51%"
"Apr 27, 2020","160.38","162.75","162.75","159.24","646.91K","0.28%"
"Apr 24, 2020","159.94","159.12","162.69","156.50","566.04K","1.17%"
"Apr 23, 2020","158.09","157.21","161.34","155.94","713.92K","-0.15%"
"Apr 22, 2020","158.33","156.98","158.52","153.25","747.30K","4.00%"
"Apr 21, 2020","152.24","159.38","160.45","147.28","756.32K","-5.02%"
"Apr 20, 2020","160.28","153.70","163.64","153.70","1.13M","3.95%"
"Apr 17, 2020","154.19","156.01","156.01","147.74","724.01K","0.14%"
"Apr 16, 2020","153.98","153.85","159.08","152.17","918.16K","2.71%"
"Apr 15, 2020","149.91","145.87","152.71","144.40","908.45K","0.61%"
"Apr 14, 2020","149.00","148.73","156.93","148.73","1.57M","5.00%"
"Apr 13, 2020","141.90","140.35","142.78","138.00","634.37K","1.11%"
"Apr 09, 2020","140.34","139.28","140.83","137.46","1.13M","3.71%"
"Apr 08, 2020","135.32","133.46","137.33","132.11","866.94K","2.66%"
"Apr 07, 2020","131.82","137.70","138.89","129.31","1.07M","-0.48%"
"Apr 06, 2020","132.45","125.60","133.14","123.85","1.05M","9.94%"
"Apr 03, 2020","120.47","124.56","126.59","118.60","1.01M","-3.69%"
"Apr 02, 2020","125.08","122.20","126.30","117.71","1.25M","-0.84%"
"Apr 01, 2020","126.14","129.06","134.50","124.31","1.23M","-7.62%"
"Mar 31, 2020","136.54","136.06","142.74","134.52","1.17M","0.08%"
"Mar 30, 2020","136.43","133.15","139.64","131.80","815.80K","3.27%"
"Mar 27, 2020","132.11","127.33","135.37","126.43","1.44M","-0.75%"
"Mar 26, 2020","133.11","139.24","143.01","131.28","1.23M","-0.89%"
"Mar 25, 2020","134.30","137.90","145.48","131.10","1.47M","-1.56%"
"Mar 24, 2020","136.43","132.99","141.50","132.33","1.56M","8.65%"
"Mar 23, 2020","125.57","120.38","127.47","113.38","1.39M","4.21%"
"Mar 20, 2020","120.50","123.22","135.75","119.38","1.91M","-1.38%"
"Mar 19, 2020","122.18","105.75","127.46","101.80","2.44M","15.56%"
"Mar 18, 2020","105.73","97.51","124.75","96.27","4.88M","-7.68%"
"Mar 17, 2020","114.52","101.68","116.53","94.16","2.15M","15.71%"
"Mar 16, 2020","98.97","100.00","103.92","93.81","1.89M","-14.07%"
"Mar 13, 2020","115.17","120.39","122.00","107.14","1.41M","3.25%"
"Mar 12, 2020","111.55","109.74","115.96","101.00","1.74M","-9.93%"
"Mar 11, 2020","123.85","128.95","130.90","120.33","1.34M","-7.47%"
"Mar 10, 2020","133.85","134.71","137.00","125.12","1.39M","4.69%"
"Mar 09, 2020","127.85","139.65","139.65","125.00","1.52M","-14.83%"
"Mar 06, 2020","150.11","156.43","156.43","144.00","1.42M","-5.63%"
"Mar 05, 2020","159.06","155.59","162.93","155.59","864.36K","-0.16%"
"Mar 04, 2020","159.32","156.75","159.48","154.00","887.48K","2.68%"
"Mar 03, 2020","155.16","155.49","159.97","149.80","1.45M","-0.31%"
"Mar 02, 2020","155.64","152.50","155.87","146.12","1.36M","2.06%"
"Feb 28, 2020","152.50","143.14","152.80","141.51","1.41M","1.54%"
"Feb 27, 2020","150.19","144.67","155.00","141.65","1.50M","-0.71%"
"Feb 26, 2020","151.26","149.49","158.57","149.16","1.24M","1.26%"
"Feb 25, 2020","149.38","156.71","159.79","146.23","1.44M","-2.91%"
"Feb 24, 2020","153.85","153.51","158.30","148.25","1.97M","-6.70%"
"Feb 21, 2020","164.90","176.87","176.87","164.46","1.77M","-7.41%"
"Feb 20, 2020","178.10","180.10","182.57","170.51","1.12M","-1.10%"
"Feb 19, 2020","180.09","178.72","181.97","177.90","1.09M","1.80%"
"Feb 18, 2020","176.90","171.49","177.97","170.22","2.17M","3.25%"
"Feb 14, 2020","171.33","171.09","174.33","168.59","1.32M","0.84%"
"Feb 13, 2020","169.91","169.80","173.40","169.51","1.42M","-0.40%"
"Feb 12, 2020","170.59","168.44","171.03","164.25","707.80K","2.27%"
"Feb 11, 2020","166.81","166.84","168.00","163.90","544.61K","0.34%"
"Feb 10, 2020","166.25","163.65","168.48","162.89","494.83K","1.30%"
"Feb 07, 2020","164.11","164.40","166.30","161.02","522.23K","0.31%"
"Feb 06, 2020","163.61","164.54","167.52","159.00","596.07K","0.25%"
"Feb 05, 2020","163.21","173.80","173.80","160.29","1.26M","-5.19%"
"Feb 04, 2020","172.15","166.73","173.46","164.31","1.27M","5.40%"
"Feb 03, 2020","163.33","163.42","164.72","157.00","838.94K","-0.35%"
"Jan 31, 2020","163.91","168.97","169.00","161.52","1.06M","-2.10%"
"Jan 30, 2020","167.43","157.28","168.10","157.00","2.07M","5.10%"
"Jan 29, 2020","159.31","154.00","162.48","152.70","1.45M","4.42%"
"Jan 28, 2020","152.57","150.23","153.58","149.77","526.41K","2.55%"
"Jan 27, 2020","148.77","146.52","152.28","145.20","890.47K","-2.20%"
"Jan 24, 2020","152.11","150.00","154.45","149.99","962.78K","2.38%"
"Jan 23, 2020","148.57","150.01","150.65","147.54","536.29K","-0.93%"
"Jan 22, 2020","149.96","149.71","154.24","149.36","941.66K","0.86%"
"Jan 21, 2020","148.68","148.73","152.82","147.75","1.07M","-0.48%"
"Jan 17, 2020","149.39","152.91","153.17","149.10","810.36K","-1.65%"
"Jan 16, 2020","151.90","153.26","154.84","149.61","1.03M","-0.32%"
"Jan 15, 2020","152.38","153.29","157.79","151.69","1.39M","-0.29%"
"Jan 14, 2020","152.83","154.50","156.41","151.22","1.82M","-0.05%"
"Jan 13, 2020","152.91","150.57","155.68","150.00","1.47M","2.47%"
"Jan 10, 2020","149.23","149.30","150.76","146.20","2.76M","-0.49%"
"Jan 09, 2020","149.96","142.66","152.01","142.54","4.13M","6.91%"
"Jan 08, 2020","140.27","138.90","141.64","136.23","979.05K","1.02%"
"Jan 07, 2020","138.86","140.50","142.61","138.25","673.60K","-1.17%"
"Jan 06, 2020","140.50","132.88","140.89","132.71","1.25M","3.85%"
"Jan 03, 2020","135.29","132.43","136.22","131.76","598.56K","0.71%"
"Jan 02, 2020","134.33","130.18","134.67","126.08","1.17M","2.07%"
"Dec 31, 2019","131.61","127.91","132.12","127.01","768.50K","2.08%"
"Dec 30, 2019","128.93","133.88","134.66","128.45","904.78K","-3.88%"
"Dec 27, 2019","134.13","135.52","135.85","132.63","441.10K","-0.66%"
"Dec 26, 2019","135.02","132.92","137.44","132.31","710.57K","1.86%"
"Dec 24, 2019","132.55","132.39","133.08","130.47","501.13K","0.14%"
"Dec 23, 2019","132.36","130.75","133.29","130.11","641.72K","1.29%"
"Dec 20, 2019","130.68","131.25","132.69","129.66","836.49K","-0.21%"
"Dec 19, 2019","130.96","130.60","132.90","128.57","861.35K","1.38%"
"Dec 18, 2019","129.18","129.29","132.39","128.56","1.06M","-0.16%"
"Dec 17, 2019","129.39","133.22","133.73","128.19","1.01M","-2.17%"
"Dec 16, 2019","132.26","128.92","132.52","126.52","1.36M","3.00%"
"Dec 13, 2019","128.41","124.97","128.82","124.20","1.23M","2.95%"
"Dec 12, 2019","124.73","127.13","127.91","123.69","1.71M","-2.55%"
"Dec 11, 2019","128.00","128.56","129.75","123.37","2.33M","-0.91%"
"Dec 10, 2019","129.18","144.77","144.80","126.28","7.40M","-1.40%"
"Dec 09, 2019","131.01","130.50","134.15","130.39","2.02M","-0.12%"
"Dec 06, 2019","131.17","132.30","132.87","130.16","1.17M","-0.15%"
"Dec 05, 2019","131.37","136.64","136.64","131.08","1.28M","-3.74%"
"Dec 04, 2019","136.48","142.41","142.49","135.10","1.15M","-4.35%"
"Dec 03, 2019","142.68","132.54","143.16","130.38","1.38M","3.82%"
"Dec 02, 2019","137.43","147.18","147.18","134.98","1.51M","-7.58%"
"Nov 29, 2019","148.70","149.57","150.75","148.38","359.88K","-0.71%"
"Nov 27, 2019","149.77","149.08","150.21","147.13","701.24K","0.09%"
"Nov 26, 2019","149.63","146.71","151.13","146.71","910.57K","1.87%"
"Nov 25, 2019","146.88","148.23","149.75","145.90","791.98K","-0.70%"
"Nov 22, 2019","147.92","148.11","148.75","144.12","718.83K","0.99%"
"Nov 21, 2019","146.47","147.76","152.33","146.27","1.17M","-0.87%"
"Nov 20, 2019","147.75","141.39","149.46","140.00","1.75M","4.79%"
"Nov 19, 2019","140.99","137.92","141.69","136.39","908.27K","2.84%"
"Nov 18, 2019","137.09","134.75","138.16","133.54","886.28K","1.72%"
"Nov 15, 2019","134.77","132.63","135.16","130.74","514.47K","2.26%"
"Nov 14, 2019","131.79","131.00","132.33","129.68","603.86K","0.66%"
"Nov 13, 2019","130.93","128.75","131.20","128.03","696.52K","1.72%"
"Nov 12, 2019","128.72","126.56","129.36","126.00","598.47K","1.51%"
"Nov 11, 2019","126.80","125.75","127.88","124.52","419.98K","0.53%"
"Nov 08, 2019","126.13","123.48","127.78","121.58","690.94K","1.91%"
"Nov 07, 2019","123.76","125.51","128.67","123.60","679.68K","-2.57%"
"Nov 06, 2019","127.03","125.00","128.06","124.50","616.07K","1.58%"
"Nov 05, 2019","125.06","127.59","128.43","123.03","683.15K","-1.43%"
"Nov 04, 2019","126.88","129.48","130.90","125.75","787.24K","-1.00%"
"Nov 01, 2019","128.16","127.01","129.39","124.51","882.98K","0.31%"
"Oct 31, 2019","127.77","133.54","133.54","126.60","837.30K","-3.69%"
"Oct 30, 2019","132.67","134.00","135.39","129.63","1.43M","5.72%"
"Oct 29, 2019","125.49","128.07","128.52","125.05","589.68K","-1.98%"
"Oct 28, 2019","128.02","126.16","129.04","125.34","1.05M","1.78%"
"Oct 25, 2019","125.78","121.65","126.00","118.51","815.46K","2.74%"
"Oct 24, 2019","122.43","118.35","123.99","118.11","1.32M","6.03%"
"Oct 23, 2019","115.47","113.61","121.26","113.44","1.05M","0.61%"
"Oct 22, 2019","114.77","119.06","120.91","113.03","1.20M","-3.13%"
"Oct 21, 2019","118.48","117.50","120.00","115.09","1.33M","1.39%"
"Oct 18, 2019","116.86","120.44","120.50","110.61","2.84M","-2.91%"
"Oct 17, 2019","120.36","122.59","123.70","119.36","1.06M","-0.91%"
"Oct 16, 2019","121.47","130.70","131.04","121.33","2.60M","-9.96%"
"Oct 15, 2019","134.90","138.34","139.16","134.55","788.20K","-1.92%"
"Oct 14, 2019","137.54","136.13","140.32","135.48","1.13M","0.90%"
"Oct 11, 2019","136.31","134.00","137.00","133.62","1.36M","2.90%"
"Oct 10, 2019","132.47","132.65","134.95","130.75","953.37K","-0.75%"
"Oct 09, 2019","133.47","129.09","134.84","126.44","1.49M","4.68%"
"Oct 08, 2019","127.50","135.39","137.59","127.33","1.78M","-6.74%"
"Oct 07, 2019","136.72","130.44","138.84","130.44","1.42M","4.20%"
"Oct 04, 2019","131.21","130.17","132.15","127.48","874.91K","1.67%"
"Oct 03, 2019","129.06","120.98","129.87","119.06","1.97M","6.89%"
"Oct 02, 2019","120.74","116.53","121.36","115.55","1.09M","0.22%"
"Oct 01, 2019","120.47","119.83","123.34","116.50","1.04M","-0.01%"
"Sep 30, 2019","120.48","117.57","121.87","112.31","1.75M","2.68%"
"Sep 27, 2019","117.33","128.01","128.65","115.75","2.36M","-7.37%"
"Sep 26, 2019","126.66","124.89","127.94","121.82","1.58M","1.33%"
"Sep 25, 2019","125.00","123.24","125.58","120.38","1.25M","0.79%"
"Sep 24, 2019","124.02","132.06","132.26","122.19","1.93M","-5.58%"
"Sep 23, 2019","131.35","131.47","132.50","129.99","729.77K","-0.36%"
"Sep 20, 2019","131.82","133.01","134.90","129.52","2.55M","0.27%"
"Sep 19, 2019","131.46","134.21","135.00","130.36","1.03M","-2.10%"
"Sep 18, 2019","134.28","136.06","136.74","131.19","1.62M","-1.26%"
"Sep 17, 2019","136.00","131.56","136.08","129.71","2.46M","3.03%"
"Sep 16, 2019","132.00","121.29","132.12","120.05","2.66M","7.06%"
"Sep 13, 2019","123.29","127.74","128.18","121.12","2.76M","-4.08%"
"Sep 12, 2019","128.53","133.00","135.80","128.30","1.65M","-1.57%"
"Sep 11, 2019","130.58","128.58","132.49","126.45","2.05M","1.21%"
"Sep 10, 2019","129.02","127.43","136.25","126.14","1.79M","-1.79%"
"Sep 09, 2019","131.37","140.62","142.56","125.20","3.79M","-6.58%"
"Sep 06, 2019","140.63","149.66","150.33","140.17","1.93M","-6.52%"
"Sep 05, 2019","150.44","156.66","159.00","142.35","5.01M","-5.18%"
"Sep 04, 2019","158.66","152.98","160.41","152.98","3.16M","5.82%"
"Sep 03, 2019","149.94","150.70","155.00","147.35","1.62M","-1.56%"
"Aug 30, 2019","152.31","155.59","157.19","148.00","1.03M","-1.33%"
"Aug 29, 2019","154.36","150.50","155.91","148.25","1.17M","4.31%"
"Aug 28, 2019","147.98","154.26","156.89","145.36","1.30M","-1.48%"
"Aug 27, 2019","150.21","153.05","158.26","149.15","2.60M","2.43%"
"Aug 26, 2019","146.65","142.36","146.93","140.38","898.64K","5.22%"
"Aug 23, 2019","139.37","141.97","146.00","138.62","1.06M","-2.09%"
"Aug 22, 2019","142.34","148.11","149.27","142.16","894.83K","-3.88%"
"Aug 21, 2019","148.08","141.95","149.51","140.75","1.12M","6.39%"
"Aug 20, 2019","139.19","140.00","140.90","137.34","829.63K","-0.99%"
"Aug 19, 2019","140.58","146.67","147.69","140.34","1.06M","-2.23%"
"Aug 16, 2019","143.79","143.23","146.73","142.51","738.72K","1.51%"
"Aug 15, 2019","141.65","142.70","144.50","139.80","803.19K","-0.44%"
"Aug 14, 2019","142.28","142.92","145.16","138.36","967.55K","-2.70%"
"Aug 13, 2019","146.23","142.02","147.82","142.02","757.48K","1.90%"
"Aug 12, 2019","143.51","148.47","148.47","142.16","804.87K","-3.62%"
"Aug 09, 2019","148.90","148.78","151.37","146.48","556.49K","-0.41%"
"Aug 08, 2019","149.51","144.06","150.79","144.06","993.96K","4.82%"
"Aug 07, 2019","142.63","135.78","143.20","135.41","802.56K","2.61%"
"Aug 06, 2019","139.00","137.98","141.09","137.20","994.08K","2.30%"
"Aug 05, 2019","135.88","135.87","141.15","134.32","1.25M","-3.48%"
"Aug 02, 2019","140.78","142.23","143.50","137.35","830.89K","-2.00%"
"Aug 01, 2019","143.66","142.93","148.78","138.12","1.26M","0.31%"
"Jul 31, 2019","143.22","143.00","146.90","140.88","1.54M","0.84%"
"Jul 30, 2019","142.03","144.01","146.08","140.00","1.43M","-1.97%"
"Jul 29, 2019","144.89","157.90","158.52","143.45","3.53M","-8.33%"
"Jul 26, 2019","158.06","156.73","159.50","155.50","954.99K","1.52%"
"Jul 25, 2019","155.70","156.00","158.58","153.33","970.75K","-0.21%"
"Jul 24, 2019","156.02","155.12","158.00","152.19","2.54M","0.03%"
"Jul 23, 2019","155.97","162.56","163.10","154.34","1.48M","-3.04%"
"Jul 22, 2019","160.86","164.39","166.30","160.23","1.34M","-1.91%"
"Jul 19, 2019","164.00","164.88","166.41","161.00","1.34M","0.66%"
"Jul 18, 2019","162.93","159.77","163.17","157.15","1.49M","1.33%"
"Jul 17, 2019","160.79","152.40","161.77","151.57","1.92M","5.93%"
"Jul 16, 2019","151.79","153.05","155.47","146.65","1.68M","-0.90%"
"Jul 15, 2019","153.17","153.29","157.10","152.40","1.54M","0.05%"
"Jul 12, 2019","153.10","157.24","158.49","151.03","1.30M","-3.13%"
"Jul 11, 2019","158.04","157.26","159.33","154.33","1.06M","0.52%"
"Jul 10, 2019","157.23","159.00","161.38","156.44","1.10M","-0.31%"
"Jul 09, 2019","157.72","156.56","158.07","154.39","790.82K","0.43%"
"Jul 08, 2019","157.04","154.94","158.68","153.01","952.07K","0.73%"
"Jul 05, 2019","155.90","152.42","156.02","151.34","994.13K","0.59%"
"Jul 03, 2019","154.98","155.44","158.45","153.46","1.87M","0.60%"
"Jul 02, 2019","154.05","145.62","154.41","144.38","2.31M","4.32%"
"Jul 01, 2019","147.67","155.32","155.32","143.85","2.67M","-2.91%"
"Jun 28, 2019","152.09","151.91","152.78","145.26","3.85M","0.40%"
"Jun 27, 2019","151.49","150.88","153.35","148.04","2.05M","0.53%"
"Jun 26, 2019","150.69","160.50","161.75","150.29","1.62M","-4.98%"
"Jun 25, 2019","158.59","165.94","165.94","155.64","1.27M","-4.06%"
"Jun 24, 2019","165.30","170.23","170.64","164.12","1.16M","-2.69%"
"Jun 21, 2019","169.87","171.82","172.55","166.34","2.29M","-2.23%"
"Jun 20, 2019","173.74","176.83","177.49","171.54","1.15M","-0.16%"
"Jun 19, 2019","174.01","170.51","174.45","168.01","1.36M","4.60%"
"Jun 18, 2019","166.36","169.00","171.47","166.32","1.53M","0.84%"
"Jun 17, 2019","164.97","165.25","170.54","163.64","1.55M","-0.43%"
"Jun 14, 2019","165.68","166.75","167.76","163.55","520.70K","-0.77%"
"Jun 13, 2019","166.96","166.75","167.90","164.38","791.35K","0.38%"
"Jun 12, 2019","166.32","163.70","167.00","161.51","963.12K","2.02%"
"Jun 11, 2019","163.03","172.00","172.41","159.59","2.20M","-5.41%"
"Jun 10, 2019","172.36","172.26","184.78","168.07","3.39M","1.41%"
"Jun 07, 2019","169.97","147.33","170.99","147.19","3.93M","15.05%"
"Jun 06, 2019","147.74","145.95","148.90","135.00","4.47M","-0.76%"
"Jun 05, 2019","148.87","140.90","149.32","140.10","3.08M","7.71%"
"Jun 04, 2019","138.21","134.57","138.50","131.60","1.21M","5.86%"
"Jun 03, 2019","130.56","140.30","140.83","129.60","1.75M","-6.97%"
"May 31, 2019","140.34","137.75","142.58","136.00","1.19M","0.25%"
"May 30, 2019","139.99","137.83","140.81","137.75","703.74K","1.82%"
"May 29, 2019","137.49","139.90","139.90","135.86","980.76K","-2.77%"
"May 28, 2019","141.40","140.53","146.01","139.60","2.54M","1.17%"
"May 24, 2019","139.77","140.00","143.80","139.62","680.26K","0.68%"
"May 23, 2019","138.82","141.00","141.74","136.51","851.40K","-2.56%"
"May 22, 2019","142.46","143.66","145.82","142.06","579.42K","-1.34%"
"May 21, 2019","144.40","147.21","148.00","143.33","1.05M","-0.45%"
"May 20, 2019","145.05","143.65","145.92","140.27","1.35M","-0.47%"
"May 17, 2019","145.74","144.42","148.00","142.23","1.48M","-0.76%"
"May 16, 2019","146.86","139.25","148.00","139.25","2.96M","6.08%"
"May 15, 2019","138.44","134.37","141.44","131.17","1.71M","3.82%"
"May 14, 2019","133.34","129.40","134.69","129.03","1.19M","4.30%"
"May 13, 2019","127.84","131.80","134.00","127.31","1.01M","-5.79%"
"May 10, 2019","135.70","134.25","137.84","130.28","824.93K","0.61%"
"May 09, 2019","134.88","131.00","136.14","127.14","1.07M","1.34%"
"May 08, 2019","133.10","132.59","135.47","131.61","612.49K","-0.14%"
"May 07, 2019","133.28","134.87","137.71","130.90","759.19K","-2.35%"
"May 06, 2019","136.49","129.81","136.89","129.17","805.29K","1.51%"
"May 03, 2019","134.46","133.10","135.96","129.00","994.85K","1.59%"
"May 02, 2019","132.36","133.12","136.30","129.72","1.53M","-0.94%"
"May 01, 2019","133.62","141.28","141.50","132.16","1.62M","-5.18%"
"Apr 30, 2019","140.92","137.47","141.10","136.47","1.02M","2.49%"
"Apr 29, 2019","137.50","139.76","140.97","136.97","891.40K","-1.06%"
"Apr 26, 2019","138.98","137.44","139.95","134.77","1.03M","0.96%"
"Apr 25, 2019","137.66","136.88","139.95","134.10","1.05M","1.85%"
"Apr 24, 2019","135.16","138.24","141.50","134.24","1.35M","-1.58%"
"Apr 23, 2019","137.33","131.40","138.81","131.40","1.96M","5.31%"
"Apr 22, 2019","130.41","124.69","130.60","123.41","1.38M","4.01%"
"Apr 18, 2019","125.38","131.60","131.80","123.60","3.73M","-5.15%"
"Apr 17, 2019","132.19","139.15","139.38","131.23","1.52M","-4.31%"
"Apr 16, 2019","138.14","145.13","145.40","137.25","1.00M","-4.59%"
"Apr 15, 2019","144.79","142.88","145.99","141.99","884.07K","1.39%"
"Apr 12, 2019","142.81","144.83","145.25","141.38","627.65K","-0.63%"
"Apr 11, 2019","143.71","143.95","145.68","142.52","1.16M","0.09%"
"Apr 10, 2019","143.58","137.01","143.89","136.08","1.62M","5.32%"
"Apr 09, 2019","136.33","131.73","138.60","131.52","1.29M","2.60%"
"Apr 08, 2019","132.87","134.83","137.75","131.51","1.69M","-2.06%"
"Apr 05, 2019","135.66","140.70","142.10","134.85","1.39M","-3.07%"
"Apr 04, 2019","139.95","146.29","146.29","134.38","2.29M","-4.56%"
"Apr 03, 2019","146.63","145.63","147.93","144.16","1.24M","1.33%"
"Apr 02, 2019","144.70","146.47","146.47","140.23","1.60M","-2.20%"
"Apr 01, 2019","147.95","148.75","149.38","144.03","773.36K","0.63%"
"Mar 29, 2019","147.02","147.75","149.77","145.75","777.57K","0.57%"
"Mar 28, 2019","146.18","146.33","149.35","144.14","1.00M","0.01%"
"Mar 27, 2019","146.17","150.64","152.00","143.41","2.08M","-2.74%"
"Mar 26, 2019","150.29","152.63","154.00","147.61","1.94M","-0.48%"
"Mar 25, 2019","151.01","151.00","154.80","148.76","1.37M","-1.15%"
"Mar 22, 2019","152.76","153.25","154.62","147.58","2.55M","-1.22%"
"Mar 21, 2019","154.64","143.34","154.74","143.00","2.49M","7.59%"
"Mar 20, 2019","143.73","138.45","144.75","138.45","1.19M","3.58%"
"Mar 19, 2019","138.76","137.00","140.54","136.03","1.90M","0.57%"
"Mar 18, 2019","137.98","132.32","138.06","132.13","2.66M","2.79%"
"Mar 15, 2019","134.23","130.92","134.78","128.61","2.80M","2.51%"
"Mar 14, 2019","130.94","126.94","134.40","120.46","10.48M","25.59%"
