"Date","Price","Open","High","Low","Vol.","Change %"
"May 12, 2020","369.75","383.39","383.39","368.09","2.74M","-3.62%"
"May 11, 2020","383.65","374.25","388.30","370.32","1.58M","1.69%"
"May 08, 2020","377.26","384.00","387.60","376.13","2.11M","-1.20%"
"May 07, 2020","381.83","369.65","386.37","369.58","2.76M","4.50%"
"May 06, 2020","365.39","374.25","379.69","365.25","2.39M","-1.42%"
"May 05, 2020","370.64","360.84","376.18","356.72","2.98M","4.51%"
"May 04, 2020","354.64","337.77","356.50","336.66","2.54M","4.46%"
"May 01, 2020","339.51","342.09","351.00","336.00","2.45M","-3.42%"
"Apr 30, 2020","351.54","329.49","357.53","329.00","5.39M","9.18%"
"Apr 29, 2020","321.99","302.60","325.39","302.10","3.48M","8.78%"
"Apr 28, 2020","296.00","313.90","313.90","295.83","2.25M","-4.08%"
"Apr 27, 2020","308.60","308.00","311.00","306.43","1.16M","1.87%"
"Apr 24, 2020","302.94","297.53","303.68","292.70","1.48M","1.89%"
"Apr 23, 2020","297.31","300.07","304.32","296.04","1.46M","-0.77%"
"Apr 22, 2020","299.61","296.30","302.58","293.09","1.42M","3.75%"
"Apr 21, 2020","288.77","296.50","303.52","281.58","2.89M","-4.53%"
"Apr 20, 2020","302.46","297.01","308.08","296.72","1.88M","0.96%"
"Apr 17, 2020","299.59","301.23","303.10","296.89","2.13M","2.62%"
"Apr 16, 2020","291.94","300.38","301.25","289.29","2.08M","-1.34%"
"Apr 15, 2020","295.92","297.24","299.25","293.56","1.80M","-2.04%"
"Apr 14, 2020","302.09","297.06","303.12","289.28","2.56M","6.53%"
"Apr 13, 2020","283.56","276.09","284.50","273.94","2.32M","1.98%"
"Apr 09, 2020","278.06","277.75","285.00","274.84","2.75M","1.46%"
"Apr 08, 2020","274.05","267.11","276.24","264.19","1.77M","4.46%"
"Apr 07, 2020","262.35","276.95","276.95","255.29","3.05M","-2.82%"
"Apr 06, 2020","269.95","259.11","272.25","255.56","3.22M","8.17%"
"Apr 03, 2020","249.57","258.11","258.11","246.67","2.85M","-3.64%"
"Apr 02, 2020","259.00","265.00","272.62","249.25","4.40M","-5.15%"
"Apr 01, 2020","273.07","273.52","278.71","268.71","2.42M","-4.71%"
"Mar 31, 2020","286.58","285.10","295.99","281.64","3.39M","0.07%"
"Mar 30, 2020","286.39","277.77","292.70","275.20","2.37M","4.52%"
"Mar 27, 2020","274.00","282.01","283.60","269.53","3.08M","-7.03%"
"Mar 26, 2020","294.73","269.73","295.00","268.00","3.73M","11.36%"
"Mar 25, 2020","264.67","272.04","278.70","257.32","3.09M","-2.69%"
"Mar 24, 2020","272.00","272.95","283.58","268.54","3.37M","6.53%"
"Mar 23, 2020","255.32","254.90","260.39","240.16","2.83M","0.24%"
"Mar 20, 2020","254.70","276.06","284.68","252.25","3.50M","-8.27%"
"Mar 19, 2020","277.66","275.40","289.97","258.44","2.79M","-0.18%"
"Mar 18, 2020","278.16","266.01","279.92","239.00","4.43M","-3.22%"
"Mar 17, 2020","287.42","271.41","302.98","270.02","3.91M","8.28%"
"Mar 16, 2020","265.43","251.01","283.84","250.00","3.39M","-7.73%"
"Mar 13, 2020","287.67","277.41","288.50","264.84","3.04M","9.75%"
"Mar 12, 2020","262.12","270.04","287.13","261.61","3.88M","-9.81%"
"Mar 11, 2020","290.63","304.98","310.26","283.81","2.91M","-7.09%"
"Mar 10, 2020","312.80","302.38","313.00","291.62","3.92M","7.09%"
"Mar 09, 2020","292.09","294.39","306.84","288.00","3.44M","-7.93%"
"Mar 06, 2020","317.24","319.39","323.51","300.80","4.11M","-3.67%"
"Mar 05, 2020","329.33","337.49","343.03","326.27","1.96M","-4.56%"
"Mar 04, 2020","345.07","336.74","345.21","331.63","1.58M","4.68%"
"Mar 03, 2020","329.63","344.39","350.70","325.13","2.95M","-4.29%"
"Mar 02, 2020","344.40","333.83","344.48","326.32","2.70M","5.62%"
"Feb 28, 2020","326.09","310.00","327.00","307.10","3.20M","1.87%"
"Feb 27, 2020","320.10","323.69","331.43","317.77","2.28M","-4.24%"
"Feb 26, 2020","334.27","331.00","342.51","330.25","1.62M","1.38%"
"Feb 25, 2020","329.72","338.56","342.08","327.57","1.84M","-1.15%"
"Feb 24, 2020","333.56","327.34","336.50","324.19","2.02M","-3.17%"
"Feb 21, 2020","344.48","350.48","351.75","338.78","2.35M","-2.40%"
"Feb 20, 2020","352.94","357.72","361.98","345.41","1.95M","-1.34%"
"Feb 19, 2020","357.72","358.75","362.95","357.40","1.31M","0.06%"
"Feb 18, 2020","357.49","356.00","358.76","354.04","1.29M","0.37%"
"Feb 14, 2020","356.16","353.64","356.32","350.88","1.11M","1.24%"
"Feb 13, 2020","351.81","347.50","357.00","347.50","2.49M","0.57%"
"Feb 12, 2020","349.80","345.02","350.43","339.50","1.31M","1.81%"
"Feb 11, 2020","343.57","345.96","346.19","341.04","1.19M","0.23%"
"Feb 10, 2020","342.77","340.72","345.00","338.90","1.78M","0.50%"
"Feb 07, 2020","341.06","341.71","345.77","339.69","1.68M","-0.19%"
"Feb 06, 2020","341.70","340.01","342.82","334.08","1.47M","0.95%"
"Feb 05, 2020","338.50","353.17","355.99","334.81","2.85M","-3.84%"
"Feb 04, 2020","352.03","346.00","354.64","344.52","2.04M","2.57%"
"Feb 03, 2020","343.20","338.41","344.75","337.25","2.12M","1.47%"
"Jan 31, 2020","338.23","339.50","339.91","332.83","2.43M","-0.99%"
"Jan 30, 2020","341.62","333.73","343.89","329.65","4.95M","9.17%"
"Jan 29, 2020","312.93","315.52","315.98","311.06","2.55M","-0.36%"
"Jan 28, 2020","314.05","309.29","315.21","308.40","1.54M","2.09%"
"Jan 27, 2020","307.63","300.45","308.18","298.05","1.72M","-0.57%"
"Jan 24, 2020","309.39","314.58","318.84","307.78","1.79M","-0.66%"
"Jan 23, 2020","311.46","313.00","316.18","310.90","1.59M","-0.44%"
"Jan 22, 2020","312.85","317.03","317.27","312.75","1.77M","-0.04%"
"Jan 21, 2020","312.98","312.00","315.60","311.11","2.56M","0.15%"
"Jan 17, 2020","312.52","310.44","312.79","309.56","2.11M","0.81%"
"Jan 16, 2020","310.02","306.00","310.50","305.35","2.27M","1.69%"
"Jan 15, 2020","304.87","302.00","307.73","301.90","1.49M","1.12%"
"Jan 14, 2020","301.50","303.85","306.00","301.37","1.50M","-0.77%"
"Jan 13, 2020","303.85","302.35","305.86","301.00","1.64M","1.66%"
"Jan 10, 2020","298.88","300.72","303.39","297.45","1.26M","-0.14%"
"Jan 09, 2020","299.31","297.30","299.77","294.23","1.40M","1.24%"
"Jan 08, 2020","295.65","294.56","297.69","293.24","1.74M","0.94%"
"Jan 07, 2020","292.91","293.22","294.58","288.03","1.44M","0.01%"
"Jan 06, 2020","292.87","285.19","293.41","284.60","1.47M","0.61%"
"Jan 03, 2020","291.10","286.90","293.06","286.50","1.14M","-0.05%"
"Jan 02, 2020","291.24","284.96","291.68","284.22","1.77M","3.16%"
"Dec 31, 2019","282.32","280.41","283.85","279.79","970.35K","-0.17%"
"Dec 30, 2019","282.81","286.28","286.42","277.75","1.41M","-1.42%"
"Dec 27, 2019","286.88","288.07","288.07","284.11","997.65K","0.24%"
"Dec 26, 2019","286.20","284.76","288.08","284.76","945.98K","0.70%"
"Dec 24, 2019","284.20","283.90","284.92","282.57","305.73K","0.31%"
"Dec 23, 2019","283.31","283.05","287.44","281.71","1.94M","0.24%"
"Dec 20, 2019","282.63","280.52","282.83","278.76","2.30M","1.49%"
"Dec 19, 2019","278.48","277.45","279.11","275.33","1.43M","0.37%"
"Dec 18, 2019","277.45","277.43","280.18","276.10","1.27M","0.47%"
"Dec 17, 2019","276.14","279.95","281.02","274.39","1.93M","-2.01%"
"Dec 16, 2019","281.79","274.33","281.80","274.11","2.08M","3.23%"
"Dec 13, 2019","272.98","265.64","273.80","263.98","1.87M","2.76%"
"Dec 12, 2019","265.65","266.36","268.59","264.08","2.22M","-0.62%"
"Dec 11, 2019","267.30","266.00","268.19","263.53","1.78M","0.19%"
"Dec 10, 2019","266.78","270.00","272.44","266.20","1.46M","-1.08%"
"Dec 09, 2019","269.70","271.77","272.60","269.62","1.07M","-0.86%"
"Dec 06, 2019","272.04","274.90","275.31","269.62","1.87M","-0.40%"
"Dec 05, 2019","273.13","273.00","277.25","271.86","1.18M","-0.24%"
"Dec 04, 2019","273.80","277.87","278.07","272.80","1.85M","-1.87%"
"Dec 03, 2019","279.01","271.79","280.00","271.06","2.35M","0.60%"
"Dec 02, 2019","277.35","283.00","283.00","269.50","2.34M","-2.01%"
"Nov 29, 2019","283.04","280.97","283.49","280.10","879.90K","0.63%"
"Nov 27, 2019","281.28","279.51","281.49","277.85","1.32M","0.87%"
"Nov 26, 2019","278.86","281.00","281.15","278.62","2.36M","-0.32%"
"Nov 25, 2019","279.75","280.00","284.00","278.41","3.24M","-0.08%"
"Nov 22, 2019","279.98","280.00","280.85","276.89","2.15M","0.31%"
"Nov 21, 2019","279.12","282.32","283.47","277.75","4.07M","-1.37%"
"Nov 20, 2019","283.00","276.88","284.30","276.65","37.94M","1.89%"
"Nov 19, 2019","277.74","277.25","279.90","272.53","9.87M","4.29%"
"Nov 18, 2019","266.31","258.00","268.45","257.30","3.21M","2.44%"
"Nov 15, 2019","259.96","255.50","260.04","254.29","2.23M","2.41%"
"Nov 14, 2019","253.85","252.77","255.41","249.47","1.81M","-0.04%"
"Nov 13, 2019","253.94","250.93","255.11","249.01","1.96M","0.56%"
"Nov 12, 2019","252.53","249.29","253.49","249.20","1.89M","1.60%"
"Nov 11, 2019","248.55","247.31","250.00","245.81","1.70M","0.04%"
"Nov 08, 2019","248.45","239.92","249.20","238.29","1.94M","3.14%"
