"Date","Price","Open","High","Low","Vol.","Change %"
"May 12, 2020","69.67","72.00","72.00","69.65","381.65K","-3.53%"
"May 11, 2020","72.22","71.23","72.82","70.66","1.19M","0.94%"
"May 08, 2020","71.55","71.72","72.26","70.60","647.12K","0.97%"
"May 07, 2020","70.86","71.25","72.35","70.66","872.70K","0.64%"
"May 06, 2020","70.41","70.91","71.54","69.81","812.30K","0.13%"
"May 05, 2020","70.32","68.54","70.70","67.04","961.73K","4.66%"
"May 04, 2020","67.19","64.98","67.47","64.36","852.69K","1.22%"
"May 01, 2020","66.38","68.22","69.16","65.69","1.02M","-4.14%"
"Apr 30, 2020","69.25","70.11","71.28","64.50","2.28M","-1.01%"
"Apr 29, 2020","69.96","68.00","70.56","67.36","1.55M","5.41%"
"Apr 28, 2020","66.37","67.49","68.24","66.11","1.04M","0.14%"
"Apr 27, 2020","66.28","65.77","66.69","65.42","468.82K","1.97%"
"Apr 24, 2020","65.00","64.76","65.32","63.83","596.54K","1.04%"
"Apr 23, 2020","64.33","64.75","66.31","64.22","792.66K","-0.68%"
"Apr 22, 2020","64.77","64.52","65.09","63.01","482.33K","2.86%"
"Apr 21, 2020","62.97","66.02","66.24","62.73","515.09K","-6.00%"
"Apr 20, 2020","66.99","65.92","67.69","64.72","532.23K","0.50%"
"Apr 17, 2020","66.66","67.63","68.69","66.25","768.46K","1.46%"
"Apr 16, 2020","65.70","64.57","65.98","63.64","1.21M","1.91%"
"Apr 15, 2020","64.47","61.89","64.93","61.89","1.38M","-0.05%"
"Apr 14, 2020","64.50","63.75","65.00","63.75","588.57K","3.45%"
"Apr 13, 2020","62.35","62.96","63.34","61.62","375.23K","-2.49%"
"Apr 09, 2020","63.94","63.58","65.18","62.56","884.02K","2.39%"
"Apr 08, 2020","62.45","60.39","62.91","59.35","571.49K","5.29%"
"Apr 07, 2020","59.31","62.38","62.56","58.90","834.66K","-0.47%"
"Apr 06, 2020","59.59","58.74","60.12","58.10","946.77K","8.35%"
"Apr 03, 2020","55.00","54.54","56.38","54.50","744.80K","0.22%"
"Apr 02, 2020","54.88","55.49","56.13","52.98","1.22M","-2.52%"
"Apr 01, 2020","56.30","58.66","60.11","55.52","1.51M","-8.02%"
"Mar 31, 2020","61.21","60.12","62.15","58.56","1.78M","3.27%"
"Mar 30, 2020","59.27","60.15","62.46","58.20","840.44K","0.44%"
"Mar 27, 2020","59.01","59.52","60.06","54.65","1.00M","-3.21%"
"Mar 26, 2020","60.97","59.51","62.72","58.92","1.50M","3.74%"
"Mar 25, 2020","58.77","54.16","60.90","52.74","1.69M","9.26%"
"Mar 24, 2020","53.79","51.00","54.48","50.31","1.85M","10.36%"
"Mar 23, 2020","48.74","47.58","49.30","45.43","1.41M","0.60%"
"Mar 20, 2020","48.45","50.43","52.76","48.27","1.46M","-3.85%"
"Mar 19, 2020","50.39","47.44","50.72","43.91","2.33M","2.71%"
