"Date","Price","Open","High","Low","Vol.","Change %"
"May 12, 2020","127.97","132.78","134.97","127.61","10.08M","-3.19%"
"May 11, 2020","132.18","125.02","132.86","124.67","14.46M","4.36%"
"May 08, 2020","126.66","125.57","133.67","124.35","29.65M","-7.88%"
"May 07, 2020","137.50","131.47","138.78","130.50","22.13M","7.83%"
"May 06, 2020","127.52","122.97","128.95","122.54","10.57M","3.26%"
"May 05, 2020","123.49","126.76","126.76","121.80","9.66M","-0.65%"
"May 04, 2020","124.30","113.69","124.32","112.72","14.55M","9.02%"
"May 01, 2020","114.02","119.55","122.00","111.36","9.72M","-5.95%"
"Apr 30, 2020","121.23","119.61","124.42","119.61","8.03M","1.43%"
"Apr 29, 2020","119.52","119.18","122.86","116.65","8.93M","0.13%"
"Apr 28, 2020","119.36","126.25","127.00","118.57","13.00M","-7.21%"
"Apr 27, 2020","128.63","126.69","130.30","125.50","6.58M","3.04%"
"Apr 24, 2020","124.83","124.86","126.02","121.64","7.64M","1.44%"
"Apr 23, 2020","123.06","123.00","128.34","122.30","11.36M","0.71%"
"Apr 22, 2020","122.19","124.43","125.00","119.35","12.27M","-1.11%"
"Apr 21, 2020","123.56","131.60","132.74","118.30","19.01M","-4.98%"
"Apr 20, 2020","130.04","127.48","135.47","127.48","18.82M","2.56%"
"Apr 17, 2020","126.80","124.00","128.00","118.75","20.69M","-0.94%"
"Apr 16, 2020","128.00","117.71","132.40","115.11","38.29M","13.27%"
"Apr 15, 2020","113.00","102.36","114.24","102.09","18.21M","6.07%"
"Apr 14, 2020","106.53","108.12","108.55","102.80","22.99M","10.33%"
"Apr 13, 2020","96.56","92.76","96.75","91.19","8.65M","4.45%"
"Apr 09, 2020","92.45","90.14","94.10","89.24","7.27M","5.28%"
"Apr 08, 2020","87.81","89.00","92.09","87.52","6.45M","0.01%"
"Apr 07, 2020","87.80","92.99","93.55","86.61","6.19M","-1.89%"
"Apr 06, 2020","89.49","83.99","90.40","83.54","7.15M","9.86%"
"Apr 03, 2020","81.46","82.39","83.17","79.39","4.74M","-1.30%"
"Apr 02, 2020","82.53","81.74","84.56","80.85","5.27M","0.13%"
"Apr 01, 2020","82.42","84.51","86.35","81.64","8.69M","-5.78%"
"Mar 31, 2020","87.48","89.30","94.64","87.13","9.18M","-2.38%"
"Mar 30, 2020","89.61","88.95","90.85","86.15","7.90M","2.47%"
"Mar 27, 2020","87.45","87.19","89.41","83.20","9.82M","-2.56%"
"Mar 26, 2020","89.75","93.20","96.31","87.04","15.25M","-5.38%"
"Mar 25, 2020","94.85","97.76","100.00","88.96","15.63M","-2.42%"
"Mar 24, 2020","97.20","97.45","101.70","92.15","17.77M","8.65%"
"Mar 23, 2020","89.46","77.37","90.44","74.77","18.71M","17.51%"
"Mar 20, 2020","76.13","76.52","80.08","73.16","13.76M","2.71%"
"Mar 19, 2020","74.12","69.40","75.52","67.34","13.20M","9.81%"
"Mar 18, 2020","67.50","64.52","74.84","61.53","19.52M","-2.82%"
"Mar 17, 2020","69.46","60.30","75.79","58.22","24.86M","8.80%"
"Mar 16, 2020","63.84","74.70","76.47","63.59","14.46M","-21.14%"
"Mar 13, 2020","80.95","82.71","83.48","74.25","11.94M","2.72%"
"Mar 12, 2020","78.81","80.65","86.64","78.80","13.58M","-13.04%"
"Mar 11, 2020","90.63","96.38","97.35","89.15","8.76M","-6.86%"
"Mar 10, 2020","97.30","101.06","101.06","92.75","9.69M","1.08%"
"Mar 09, 2020","96.26","91.00","101.95","90.40","10.50M","-5.65%"
"Mar 06, 2020","102.02","104.35","105.30","98.60","11.84M","-4.15%"
"Mar 05, 2020","106.44","108.20","110.08","105.66","8.62M","-2.89%"
"Mar 04, 2020","109.61","110.01","110.45","105.65","8.88M","0.91%"
