"Date","Price","Open","High","Low","Vol.","Change %"
"May 12, 2020","115.13","116.23","116.39","115.06","488.66K","-0.13%"
"May 11, 2020","115.28","114.93","116.04","114.77","408.23K","-1.26%"
"May 08, 2020","116.75","116.19","117.07","115.84","476.21K","1.33%"
"May 07, 2020","115.22","117.07","117.08","115.04","801.89K","1.83%"
"May 06, 2020","113.15","114.83","115.23","113.04","1.05M","-2.93%"
"May 05, 2020","116.57","116.43","118.20","116.20","757.71K","-0.53%"
"May 04, 2020","117.19","115.95","117.21","115.48","552.89K","0.19%"
"May 01, 2020","116.97","116.86","117.85","116.07","654.32K","-1.32%"
"Apr 30, 2020","118.54","120.09","120.09","117.56","651.55K","-0.51%"
"Apr 29, 2020","119.15","117.84","119.69","117.81","571.84K","1.96%"
"Apr 28, 2020","116.86","119.23","119.23","116.76","693.50K","0.00%"
"Apr 27, 2020","116.86","116.41","117.39","116.14","657.32K","0.32%"
"Apr 24, 2020","116.49","116.25","116.56","114.95","715.71K","1.16%"
"Apr 23, 2020","115.15","115.27","118.32","115.15","918.23K","-1.67%"
"Apr 22, 2020","117.10","117.40","117.60","116.40","996.52K","0.95%"
"Apr 21, 2020","116.00","119.01","119.10","114.67","1.67M","-5.35%"
"Apr 20, 2020","122.56","121.26","124.09","121.26","919.44K","-0.69%"
"Apr 17, 2020","123.41","122.95","123.68","122.02","709.30K","3.46%"
"Apr 16, 2020","119.28","120.43","120.57","118.22","693.34K","0.53%"
"Apr 15, 2020","118.65","117.40","120.05","117.15","1.14M","-3.79%"
"Apr 14, 2020","123.33","124.61","126.08","122.91","1.11M","0.78%"
"Apr 13, 2020","122.38","120.35","122.58","120.00","1.06M","0.80%"
"Apr 09, 2020","121.41","119.96","121.79","119.36","1.37M","5.56%"
"Apr 08, 2020","115.02","114.24","115.69","112.97","1.21M","2.85%"
"Apr 07, 2020","111.83","114.18","114.24","111.66","929.41K","-0.16%"
"Apr 06, 2020","112.01","108.75","112.09","108.65","1.25M","6.48%"
"Apr 03, 2020","105.19","104.78","105.55","103.83","954.30K","0.19%"
"Apr 02, 2020","104.99","103.73","105.76","103.23","1.03M","-0.51%"
"Apr 01, 2020","105.53","107.11","107.86","104.88","1.07M","-4.50%"
"Mar 31, 2020","110.50","111.35","113.14","110.25","1.14M","-2.13%"
"Mar 30, 2020","112.90","112.00","113.10","110.88","605.15K","2.38%"
"Mar 27, 2020","110.28","110.51","112.96","108.82","881.30K","-4.31%"
"Mar 26, 2020","115.25","109.75","115.31","109.63","1.98M","8.32%"
"Mar 25, 2020","106.40","104.37","108.96","102.75","1.01M","0.41%"
"Mar 24, 2020","105.97","106.84","107.47","103.92","1.61M","7.78%"
"Mar 23, 2020","98.32","97.82","100.95","97.21","1.97M","4.26%"
"Mar 20, 2020","94.30","96.54","99.02","93.79","1.37M","0.18%"
"Mar 19, 2020","94.13","92.27","96.05","91.00","1.75M","-2.91%"
"Mar 18, 2020","96.95","95.23","98.05","93.61","1.07M","-5.84%"
"Mar 17, 2020","102.96","97.70","102.99","95.34","1.56M","5.61%"
"Mar 16, 2020","97.49","93.43","103.11","93.42","1.34M","-10.02%"
"Mar 13, 2020","108.35","107.71","108.55","100.23","1.82M","6.81%"
"Mar 12, 2020","101.44","105.82","107.75","100.68","1.75M","-9.93%"
"Mar 11, 2020","112.62","115.31","116.02","111.00","1.63M","-4.55%"
"Mar 10, 2020","117.99","117.48","118.57","113.77","1.52M","5.82%"
"Mar 09, 2020","111.50","113.61","116.19","110.55","1.57M","-8.22%"
"Mar 06, 2020","121.49","120.27","122.40","119.68","1.26M","0.17%"
"Mar 05, 2020","121.28","122.54","123.82","120.22","1.40M","-3.49%"
"Mar 04, 2020","125.66","124.98","125.75","123.35","840.18K","1.50%"
"Mar 03, 2020","123.80","127.24","129.14","122.96","907.03K","-2.16%"
"Mar 02, 2020","126.53","124.13","126.65","121.85","931.59K","2.40%"
"Feb 28, 2020","123.57","121.22","124.19","120.39","1.39M","-0.99%"
"Feb 27, 2020","124.81","125.22","128.27","124.53","1.58M","-1.65%"
"Feb 26, 2020","126.90","128.68","129.82","126.70","802.79K","-0.69%"
"Feb 25, 2020","127.78","130.92","131.12","127.56","837.33K","-2.40%"
"Feb 24, 2020","130.92","130.33","131.92","130.24","676.49K","-4.18%"
"Feb 21, 2020","136.63","137.25","137.46","135.94","379.37K","-1.30%"
"Feb 20, 2020","138.43","138.85","139.40","137.63","523.95K","-0.91%"
"Feb 19, 2020","139.70","138.49","139.91","138.45","499.55K","1.41%"
"Feb 18, 2020","137.76","137.04","138.01","137.00","456.99K","0.23%"
"Feb 14, 2020","137.44","137.01","137.87","136.78","289.82K","-0.01%"
"Feb 13, 2020","137.45","136.28","137.70","136.27","365.81K","-0.51%"
"Feb 12, 2020","138.16","138.39","138.51","137.61","464.79K","1.18%"
"Feb 11, 2020","136.55","136.50","137.32","136.19","454.12K","0.98%"
"Feb 10, 2020","135.23","134.68","135.37","134.68","381.24K","0.13%"
"Feb 07, 2020","135.06","135.95","136.02","134.64","511.69K","-1.05%"
"Feb 06, 2020","136.49","136.09","136.91","135.70","497.81K","-0.68%"
"Feb 05, 2020","137.42","137.49","137.50","136.31","663.69K","1.43%"
"Feb 04, 2020","135.48","134.86","136.08","134.68","418.36K","2.14%"
"Feb 03, 2020","132.64","131.82","132.91","131.65","536.27K","1.43%"
"Jan 31, 2020","130.77","132.10","132.18","130.19","1.02M","-0.15%"
"Jan 30, 2020","130.97","130.37","131.31","130.05","1.63M","-0.52%"
"Jan 29, 2020","131.65","131.88","132.40","131.37","1.37M","-0.61%"
"Jan 28, 2020","132.46","132.47","132.71","131.03","2.19M","-2.78%"
"Jan 27, 2020","136.25","134.87","140.45","134.74","1.28M","-2.02%"
"Jan 24, 2020","139.06","139.67","140.10","138.70","595.78K","0.67%"
"Jan 23, 2020","138.14","138.41","138.55","136.69","622.12K","-1.03%"
"Jan 22, 2020","139.58","140.35","140.67","139.41","473.15K","0.03%"
"Jan 21, 2020","139.54","138.90","140.19","138.90","579.51K","-0.30%"
"Jan 17, 2020","139.96","139.04","139.99","138.75","507.49K","1.94%"
"Jan 16, 2020","137.29","136.67","137.33","135.91","1.07M","0.65%"
"Jan 15, 2020","136.40","137.33","137.68","136.19","491.73K","-0.62%"
"Jan 14, 2020","137.25","137.50","137.93","137.03","342.15K","-0.78%"
"Jan 13, 2020","138.33","137.65","138.54","137.33","555.49K","0.99%"
"Jan 10, 2020","136.98","137.55","138.07","136.79","464.04K","-0.11%"
"Jan 09, 2020","137.13","136.49","137.29","136.12","457.81K","1.52%"
"Jan 08, 2020","135.08","133.90","135.52","133.76","513.26K","1.09%"
"Jan 07, 2020","133.62","134.08","134.35","133.44","622.39K","-0.43%"
"Jan 06, 2020","134.20","133.16","134.22","133.13","442.87K","0.16%"
"Jan 03, 2020","133.98","133.30","134.92","133.30","507.80K","-2.07%"
"Jan 02, 2020","136.81","135.42","137.14","135.40","2.97M","2.10%"
"Dec 31, 2019","133.99","133.17","134.08","133.10","299.30K","0.45%"
"Dec 30, 2019","133.39","134.66","134.66","132.97","257.20K","-1.18%"
"Dec 27, 2019","134.98","135.88","135.89","134.74","357.19K","0.30%"
"Dec 26, 2019","134.58","133.92","134.58","133.92","170.00K","0.73%"
"Dec 24, 2019","133.60","134.12","134.36","133.60","117.91K","-0.13%"
"Dec 23, 2019","133.77","133.16","134.33","133.03","296.78K","-0.48%"
"Dec 20, 2019","134.41","133.93","134.44","133.51","474.29K","1.00%"
"Dec 19, 2019","133.08","133.03","133.53","132.77","454.11K","-0.23%"
"Dec 18, 2019","133.39","133.32","133.73","132.61","663.69K","-0.48%"
"Dec 17, 2019","134.04","135.80","135.87","133.91","1.44M","-3.84%"
"Dec 16, 2019","139.39","138.63","139.48","138.56","497.11K","0.64%"
"Dec 13, 2019","138.50","137.03","138.74","136.68","745.38K","1.32%"
"Dec 12, 2019","136.70","135.08","136.89","134.81","680.02K","1.33%"
"Dec 11, 2019","134.91","134.25","135.15","134.10","262.37K","0.16%"
"Dec 10, 2019","134.70","134.25","135.16","134.11","300.59K","-0.12%"
"Dec 09, 2019","134.86","135.12","135.58","134.80","233.34K","-0.10%"
"Dec 06, 2019","135.00","135.51","135.55","134.68","347.10K","0.11%"
"Dec 05, 2019","134.85","135.53","135.58","134.50","486.71K","-0.51%"
"Dec 04, 2019","135.54","135.24","135.62","134.86","354.59K","0.98%"
"Dec 03, 2019","134.22","132.86","134.25","132.59","659.34K","0.58%"
"Dec 02, 2019","133.45","134.93","134.93","132.35","628.18K","-1.84%"
"Nov 29, 2019","135.95","135.46","136.26","135.39","227.73K","0.40%"
"Nov 27, 2019","135.41","134.93","135.62","134.53","443.89K","0.05%"
"Nov 26, 2019","135.34","135.41","135.86","134.87","664.03K","-0.29%"
"Nov 25, 2019","135.74","135.79","136.24","135.40","287.61K","0.24%"
"Nov 22, 2019","135.41","136.23","136.43","135.22","225.77K","-0.01%"
"Nov 21, 2019","135.43","135.44","135.93","135.16","280.89K","0.32%"
"Nov 20, 2019","135.00","135.29","135.96","134.25","303.77K","-0.55%"
"Nov 19, 2019","135.74","137.01","137.02","135.37","431.07K","0.41%"
"Nov 18, 2019","135.18","134.20","135.78","133.67","739.49K","-0.22%"
"Nov 15, 2019","135.48","134.27","135.65","134.08","383.76K","0.80%"
"Nov 14, 2019","134.41","134.15","134.54","133.80","345.42K","0.08%"
"Nov 13, 2019","134.30","134.47","134.81","134.13","452.03K","-0.79%"
"Nov 12, 2019","135.37","135.73","136.25","135.17","582.64K","-1.03%"
"Nov 11, 2019","136.78","135.96","137.12","135.96","456.93K","0.25%"
"Nov 08, 2019","136.44","135.39","136.44","135.11","328.31K","1.01%"
"Nov 07, 2019","135.08","134.70","135.69","134.62","281.35K","-0.02%"
"Nov 06, 2019","135.11","134.86","135.22","134.39","459.51K","1.16%"
"Nov 05, 2019","133.56","133.57","133.72","132.66","490.68K","-0.68%"
"Nov 04, 2019","134.47","134.99","135.23","134.27","468.65K","0.58%"
"Nov 01, 2019","133.69","133.93","134.26","133.30","1.53M","0.84%"
"Oct 31, 2019","132.58","132.73","133.25","132.25","415.12K","-0.49%"
"Oct 30, 2019","133.23","132.26","133.50","131.18","487.42K","1.13%"
