"Date","Price","Open","High","Low","Vol.","Change %"
"May 12, 2020","17.56","18.15","18.27","17.48","13.61M","-2.93%"
"May 11, 2020","18.09","18.11","18.46","18.02","17.92M","-0.77%"
"May 08, 2020","18.23","18.18","18.26","17.76","20.38M","0.44%"
"May 07, 2020","18.15","17.65","18.16","17.55","31.86M","4.73%"
"May 06, 2020","17.33","17.02","17.82","17.01","25.16M","-1.03%"
"May 05, 2020","17.51","17.24","17.75","17.13","25.58M","2.40%"
"May 04, 2020","17.10","16.57","17.17","16.54","17.66M","1.85%"
"May 01, 2020","16.79","17.00","17.30","16.53","27.13M","-4.66%"
"Apr 30, 2020","17.61","17.52","17.99","17.24","30.87M","-1.23%"
"Apr 29, 2020","17.83","16.80","17.87","16.60","41.23M","8.65%"
"Apr 28, 2020","16.41","17.03","17.24","16.17","28.91M","-2.96%"
"Apr 27, 2020","16.91","16.31","17.00","16.11","43.14M","5.69%"
"Apr 24, 2020","16.00","15.94","16.22","15.58","65.43M","-0.37%"
"Apr 23, 2020","16.06","16.50","16.85","16.03","89.40M","-5.58%"
"Apr 22, 2020","17.01","15.18","17.13","14.89","171.23M","36.74%"
"Apr 21, 2020","12.44","12.71","13.04","12.44","35.57M","-3.72%"
"Apr 20, 2020","12.92","12.77","13.34","12.52","25.74M","-0.46%"
"Apr 17, 2020","12.98","13.17","13.46","12.87","21.36M","-0.31%"
"Apr 16, 2020","13.02","13.63","13.65","12.63","32.03M","-4.12%"
"Apr 15, 2020","13.58","13.40","13.68","13.38","17.87M","-1.45%"
"Apr 14, 2020","13.78","13.88","14.08","13.56","18.28M","1.77%"
"Apr 13, 2020","13.54","13.67","13.76","13.17","16.73M","-0.51%"
"Apr 09, 2020","13.61","13.53","13.86","13.21","30.76M","2.95%"
"Apr 08, 2020","13.22","12.64","13.44","12.51","29.90M","9.26%"
"Apr 07, 2020","12.10","12.70","12.73","12.01","26.24M","-0.49%"
"Apr 06, 2020","12.16","11.45","12.25","11.32","23.95M","9.95%"
"Apr 03, 2020","11.06","11.30","11.45","10.85","16.55M","-1.86%"
"Apr 02, 2020","11.27","11.16","11.81","11.03","19.93M","0.54%"
"Apr 01, 2020","11.21","11.24","11.68","11.03","25.55M","-5.72%"
"Mar 31, 2020","11.89","11.70","12.60","11.70","32.33M","0.34%"
"Mar 30, 2020","11.85","11.97","12.27","11.59","32.48M","-2.71%"
"Mar 27, 2020","12.18","11.59","12.41","11.32","30.82M","1.92%"
"Mar 26, 2020","11.95","11.44","12.06","11.28","20.01M","6.41%"
"Mar 25, 2020","11.23","11.14","11.64","10.47","31.72M","2.09%"
"Mar 24, 2020","11.00","11.32","11.58","10.68","27.57M","3.29%"
"Mar 23, 2020","10.65","10.08","10.94","10.07","32.49M","5.55%"
"Mar 20, 2020","10.09","9.98","10.40","9.65","53.85M","6.55%"
"Mar 19, 2020","9.47","8.27","9.68","8.12","39.24M","13.14%"
"Mar 18, 2020","8.37","8.16","9.05","7.89","52.32M","-6.06%"
"Mar 17, 2020","8.91","9.19","9.37","8.21","40.53M","-1.66%"
"Mar 16, 2020","9.06","9.61","10.20","9.03","46.69M","-20.18%"
"Mar 13, 2020","11.35","11.09","11.35","10.78","28.72M","8.93%"
"Mar 12, 2020","10.42","10.07","11.13","9.71","38.26M","-3.61%"
"Mar 11, 2020","10.81","11.57","11.67","10.57","37.35M","-9.84%"
"Mar 10, 2020","11.99","11.91","11.99","10.99","35.77M","4.72%"
