"Date","Price","Open","High","Low","Vol.","Change %"
"May 12, 2020","176.85","177.35","181.09","172.28","1.24M","0.14%"
"May 11, 2020","176.60","176.29","180.27","174.15","1.27M","0.23%"
"May 08, 2020","176.19","179.92","182.60","175.05","1.82M","-2.00%"
"May 07, 2020","179.78","174.85","180.63","174.66","2.26M","3.97%"
"May 06, 2020","172.92","171.36","176.14","169.03","2.01M","1.97%"
"May 05, 2020","169.58","164.72","173.82","164.49","3.37M","3.95%"
"May 04, 2020","163.13","152.33","163.68","152.33","3.26M","5.52%"
"May 01, 2020","154.59","150.00","157.25","146.06","2.34M","-0.58%"
"Apr 30, 2020","155.49","155.19","158.79","153.12","2.48M","1.81%"
"Apr 29, 2020","152.73","151.50","153.18","148.34","1.71M","2.77%"
"Apr 28, 2020","148.61","153.71","154.92","146.38","1.48M","-2.15%"
"Apr 27, 2020","151.87","154.32","158.76","150.88","1.59M","-0.30%"
"Apr 24, 2020","152.32","149.80","152.62","148.31","956.78K","1.96%"
"Apr 23, 2020","149.39","148.68","152.93","148.68","1.37M","0.13%"
"Apr 22, 2020","149.20","151.50","151.78","149.06","1.15M","0.67%"
"Apr 21, 2020","148.20","152.29","153.59","143.98","2.14M","-2.90%"
"Apr 20, 2020","152.63","151.63","155.71","151.63","1.56M","0.25%"
"Apr 17, 2020","152.25","149.01","153.04","147.45","1.73M","3.92%"
"Apr 16, 2020","146.51","146.22","152.10","145.78","2.14M","2.01%"
"Apr 15, 2020","143.63","142.96","146.86","139.56","1.80M","-0.65%"
"Apr 14, 2020","144.57","138.83","146.47","137.55","2.17M","6.85%"
"Apr 13, 2020","135.30","138.83","139.31","134.89","1.86M","-1.92%"
"Apr 09, 2020","137.95","143.92","143.92","135.81","2.20M","-1.94%"
"Apr 08, 2020","140.68","133.98","141.82","129.96","2.72M","6.16%"
"Apr 07, 2020","132.52","138.63","138.87","132.06","1.92M","-3.17%"
"Apr 06, 2020","136.86","133.29","137.46","131.02","1.51M","5.31%"
"Apr 03, 2020","129.96","128.50","132.39","128.50","2.32M","0.74%"
"Apr 02, 2020","129.01","132.84","134.64","126.70","1.47M","-3.76%"
"Apr 01, 2020","134.05","132.97","134.62","129.78","1.62M","-2.34%"
"Mar 31, 2020","137.26","141.02","142.92","137.19","1.52M","-2.76%"
"Mar 30, 2020","141.16","144.85","148.40","140.89","2.27M","-0.77%"
"Mar 27, 2020","142.25","145.76","147.50","141.64","1.55M","-4.01%"
"Mar 26, 2020","148.20","138.59","148.42","138.57","1.80M","6.50%"
"Mar 25, 2020","139.16","136.48","149.64","136.48","2.75M","0.69%"
"Mar 24, 2020","138.20","133.24","139.82","132.50","2.48M","7.89%"
"Mar 23, 2020","128.09","125.90","134.43","120.91","2.00M","1.74%"
"Mar 20, 2020","125.90","123.65","134.38","121.85","3.11M","3.57%"
"Mar 19, 2020","121.56","121.95","130.49","116.72","2.77M","-0.39%"
"Mar 18, 2020","122.03","116.01","124.74","112.05","1.81M","-1.89%"
"Mar 17, 2020","124.38","123.32","128.48","119.63","2.25M","3.16%"
"Mar 16, 2020","120.57","118.48","127.79","110.01","1.83M","-5.76%"
"Mar 13, 2020","127.94","129.26","130.39","120.03","2.87M","2.34%"
"Mar 12, 2020","125.01","117.67","130.48","117.23","2.24M","-4.24%"
"Mar 11, 2020","130.54","132.77","133.96","122.82","3.16M","-3.72%"
"Mar 10, 2020","135.59","136.66","137.33","130.87","2.01M","1.95%"
"Mar 09, 2020","133.00","134.58","136.00","128.53","3.12M","-7.87%"
"Mar 06, 2020","144.36","150.57","151.09","139.46","2.46M","-5.16%"
"Mar 05, 2020","152.21","151.99","155.30","149.53","1.44M","-0.82%"
"Mar 04, 2020","153.47","148.00","154.39","146.50","1.75M","5.32%"
"Mar 03, 2020","145.72","147.54","151.57","141.16","2.64M","-0.75%"
"Mar 02, 2020","146.82","147.57","149.83","142.53","2.05M","1.28%"
"Feb 28, 2020","144.96","137.23","145.00","137.22","2.22M","1.37%"
"Feb 27, 2020","143.00","140.68","147.00","137.34","2.23M","-2.39%"
"Feb 26, 2020","146.50","144.13","149.94","143.75","1.54M","1.40%"
"Feb 25, 2020","144.48","147.93","149.00","142.57","2.09M","-1.79%"
"Feb 24, 2020","147.11","138.52","147.75","136.00","2.17M","0.81%"
"Feb 21, 2020","145.93","147.62","148.38","143.28","986.61K","-2.05%"
"Feb 20, 2020","148.98","152.09","152.18","144.45","1.11M","-2.02%"
"Feb 19, 2020","152.05","153.93","156.12","151.30","2.00M","-1.19%"
"Feb 18, 2020","153.88","154.05","155.78","152.62","1.62M","-0.35%"
"Feb 14, 2020","154.42","153.24","154.49","151.65","1.04M","0.76%"
"Feb 13, 2020","153.25","150.53","155.00","149.94","2.07M","1.13%"
"Feb 12, 2020","151.54","149.46","151.59","146.61","1.62M","1.70%"
"Feb 11, 2020","149.00","152.48","153.00","147.19","942.54K","-1.51%"
"Feb 10, 2020","151.28","148.10","152.38","148.02","1.40M","2.22%"
"Feb 07, 2020","148.00","148.09","150.66","146.68","1.02M","0.04%"
"Feb 06, 2020","147.94","146.58","149.12","144.71","1.35M","0.93%"
"Feb 05, 2020","146.58","153.01","153.70","144.52","1.64M","-3.62%"
"Feb 04, 2020","152.09","149.71","152.69","148.55","1.52M","1.80%"
"Feb 03, 2020","149.40","146.90","149.48","144.72","918.99K","1.63%"
"Jan 31, 2020","147.00","149.52","149.79","146.27","991.72K","-1.72%"
"Jan 30, 2020","149.58","146.94","151.87","146.21","1.35M","0.29%"
"Jan 29, 2020","149.15","149.16","151.52","147.60","1.93M","-0.08%"
"Jan 28, 2020","149.27","145.02","150.00","143.71","2.38M","3.78%"
"Jan 27, 2020","143.83","143.50","146.49","141.99","2.57M","-2.02%"
"Jan 24, 2020","146.79","145.00","150.71","140.65","8.03M","10.67%"
"Jan 23, 2020","132.64","131.56","133.39","130.53","2.47M","0.90%"
"Jan 22, 2020","131.46","132.60","133.86","131.35","1.31M","0.11%"
"Jan 21, 2020","131.32","132.20","133.49","130.33","1.08M","-1.15%"
"Jan 17, 2020","132.85","135.11","135.54","132.42","2.00M","-1.39%"
"Jan 16, 2020","134.72","135.72","135.98","134.31","737.69K","-0.14%"
"Jan 15, 2020","134.91","134.31","137.22","134.31","994.86K","0.51%"
"Jan 14, 2020","134.22","135.46","136.50","134.01","1.15M","-1.36%"
"Jan 13, 2020","136.07","138.59","140.49","135.15","1.60M","1.62%"
"Jan 10, 2020","133.90","135.67","137.45","133.26","1.24M","-1.12%"
"Jan 09, 2020","135.41","131.82","135.60","131.70","2.03M","4.11%"
"Jan 08, 2020","130.06","128.32","131.81","127.33","1.57M","1.49%"
"Jan 07, 2020","128.15","128.23","129.20","127.33","1.56M","0.36%"
"Jan 06, 2020","127.69","122.56","128.03","122.05","3.58M","3.78%"
"Jan 03, 2020","123.04","121.02","123.63","120.82","1.22M","0.13%"
"Jan 02, 2020","122.88","121.15","123.84","119.84","2.06M","2.11%"
"Dec 31, 2019","120.34","118.75","120.43","117.81","675.96K","0.85%"
"Dec 30, 2019","119.33","121.12","121.44","117.21","707.16K","-1.48%"
"Dec 27, 2019","121.12","122.41","122.50","120.52","592.56K","-0.48%"
"Dec 26, 2019","121.70","120.20","123.34","120.02","568.89K","0.98%"
"Dec 24, 2019","120.52","121.34","121.38","119.38","265.22K","-0.19%"
"Dec 23, 2019","120.75","121.32","122.78","120.68","751.44K","-0.28%"
"Dec 20, 2019","121.09","120.94","123.30","120.40","1.63M","0.88%"
"Dec 19, 2019","120.03","118.66","120.90","117.79","1.43M","1.62%"
"Dec 18, 2019","118.12","119.61","120.70","117.84","1.23M","-1.30%"
"Dec 17, 2019","119.68","122.28","122.28","119.06","1.13M","-1.27%"
"Dec 16, 2019","121.22","120.00","122.16","119.17","1.24M","1.18%"
"Dec 13, 2019","119.81","116.38","120.81","115.58","2.08M","3.13%"
"Dec 12, 2019","116.17","118.11","118.18","114.98","1.75M","-1.74%"
"Dec 11, 2019","118.23","120.35","120.45","113.91","2.28M","-2.13%"
"Dec 10, 2019","120.80","122.70","124.75","120.34","916.57K","-1.63%"
"Dec 09, 2019","122.80","122.89","123.89","121.10","840.17K","-0.45%"
"Dec 06, 2019","123.36","123.24","124.55","122.25","874.39K","-0.48%"
"Dec 05, 2019","123.95","124.00","124.71","123.00","768.47K","0.39%"
"Dec 04, 2019","123.47","123.52","124.07","121.12","1.18M","-0.06%"
"Dec 03, 2019","123.55","117.80","123.91","116.09","2.11M","2.24%"
"Dec 02, 2019","120.84","126.75","126.86","118.18","2.31M","-4.93%"
"Nov 29, 2019","127.11","126.18","127.71","125.57","479.88K","-0.31%"
"Nov 27, 2019","127.50","129.57","129.80","127.06","963.88K","-1.70%"
"Nov 26, 2019","129.71","125.95","130.98","125.66","1.35M","2.53%"
"Nov 25, 2019","126.51","125.59","128.48","125.55","1.13M","0.42%"
"Nov 22, 2019","125.98","125.97","127.00","123.60","883.27K","0.01%"
"Nov 21, 2019","125.97","127.11","129.14","125.70","1.43M","-1.19%"
"Nov 20, 2019","127.49","125.88","129.71","125.11","1.83M","1.22%"
"Nov 19, 2019","125.95","124.03","126.36","122.89","1.51M","1.62%"
"Nov 18, 2019","123.94","122.00","125.86","121.64","1.39M","0.99%"
"Nov 15, 2019","122.73","121.39","122.80","119.89","830.05K","1.56%"
"Nov 14, 2019","120.84","121.47","122.00","118.80","895.23K","-0.54%"
"Nov 13, 2019","121.49","120.51","123.00","120.11","981.13K","1.34%"
