"Date","Price","Open","High","Low","Vol.","Change %"
"May 12, 2020","199.82","199.99","201.67","195.39","652.16K","1.09%"
"May 11, 2020","197.66","190.91","200.24","189.99","1.48M","2.77%"
"May 08, 2020","192.34","192.26","194.28","189.29","941.47K","0.57%"
"May 07, 2020","191.25","197.99","198.00","190.88","1.11M","-0.89%"
"May 06, 2020","192.96","194.02","197.37","191.88","595.75K","0.05%"
"May 05, 2020","192.86","193.67","195.68","190.16","810.18K","1.97%"
"May 04, 2020","189.14","186.65","190.80","185.54","922.03K","0.73%"
"May 01, 2020","187.77","189.41","189.98","182.79","1.06M","-1.59%"
"Apr 30, 2020","190.80","188.77","195.84","188.39","1.76M","1.19%"
"Apr 29, 2020","188.55","184.46","190.24","182.58","1.11M","3.18%"
"Apr 28, 2020","182.74","186.23","186.23","178.80","1.64M","-1.54%"
"Apr 27, 2020","185.59","189.99","191.76","185.43","1.19M","-1.09%"
"Apr 24, 2020","187.63","184.70","191.05","182.64","1.11M","1.59%"
"Apr 23, 2020","184.70","185.41","189.49","183.78","992.95K","0.41%"
"Apr 22, 2020","183.95","179.96","185.31","178.56","981.02K","4.37%"
"Apr 21, 2020","176.24","181.10","183.26","170.15","1.66M","-4.43%"
"Apr 20, 2020","184.40","179.41","187.77","178.52","1.30M","1.81%"
"Apr 17, 2020","181.12","177.37","181.17","173.65","1.42M","3.95%"
"Apr 16, 2020","174.23","177.99","179.97","173.22","1.63M","-0.26%"
"Apr 15, 2020","174.68","171.60","181.84","170.88","1.89M","0.63%"
"Apr 14, 2020","173.59","166.13","176.75","165.64","1.95M","6.60%"
"Apr 13, 2020","162.85","160.44","163.61","157.54","805.40K","0.46%"
"Apr 09, 2020","162.11","160.56","163.79","158.66","1.29M","1.01%"
"Apr 08, 2020","160.49","156.72","161.41","152.25","1.22M","4.04%"
"Apr 07, 2020","154.26","160.00","160.00","152.56","1.18M","-1.63%"
"Apr 06, 2020","156.81","154.08","157.52","153.26","1.09M","4.46%"
"Apr 03, 2020","150.11","154.22","157.25","148.55","1.59M","-3.87%"
