"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 03, 2020","465.80","465.00","490.00","463.20","2.83M","0.64%"
"Apr 01, 2020","462.85","489.00","503.80","458.40","2.39M","-4.49%"
"Mar 31, 2020","484.60","478.00","493.45","471.00","1.85M","3.70%"
"Mar 30, 2020","467.30","465.00","494.80","459.95","2.14M","-0.66%"
"Mar 27, 2020","470.40","504.00","506.00","467.00","1.36M","-4.13%"
"Mar 26, 2020","490.65","476.00","501.00","463.55","2.96M","5.39%"
"Mar 25, 2020","465.55","450.85","518.95","442.65","5.32M","3.07%"
"Mar 24, 2020","451.70","443.65","479.90","443.65","2.20M","0.80%"
"Mar 23, 2020","448.10","485.00","489.70","445.80","1.55M","-13.35%"
"Mar 20, 2020","517.15","500.00","529.95","499.10","1.77M","3.54%"
"Mar 19, 2020","499.45","490.50","520.55","476.45","1.73M","-1.12%"
"Mar 18, 2020","505.10","525.00","530.35","494.60","2.11M","-3.83%"
"Mar 17, 2020","525.20","527.15","541.30","518.60","2.24M","0.09%"
"Mar 16, 2020","524.75","539.90","561.00","521.80","2.21M","-7.11%"
"Mar 13, 2020","564.90","506.00","584.55","506.00","3.09M","3.97%"
"Mar 12, 2020","543.35","600.00","601.00","532.25","2.86M","-10.66%"
"Mar 11, 2020","608.20","623.00","631.80","605.30","1.47M","-1.88%"
"Mar 09, 2020","619.85","638.00","640.35","612.50","1.34M","-3.91%"
"Mar 06, 2020","645.10","643.00","651.15","629.95","1.59M","-2.57%"
"Mar 05, 2020","662.15","667.90","677.10","657.00","1.38M","-0.38%"
"Mar 04, 2020","664.70","673.80","677.00","646.60","1.63M","-0.41%"
"Mar 03, 2020","667.45","666.95","687.00","663.05","2.13M","1.52%"
"Mar 02, 2020","657.45","696.90","702.75","647.45","2.31M","-4.21%"
"Feb 28, 2020","686.35","680.00","693.75","657.05","4.25M","-0.01%"
"Feb 27, 2020","686.40","686.00","697.35","675.50","2.80M","-0.23%"
"Feb 26, 2020","687.95","700.00","701.30","684.00","1.91M","-2.18%"
"Feb 25, 2020","703.30","704.65","715.00","696.05","2.09M","0.06%"
"Feb 24, 2020","702.85","719.95","723.90","698.05","1.85M","-2.81%"
"Feb 20, 2020","723.15","726.00","742.70","720.70","1.95M","-0.95%"
"Feb 19, 2020","730.10","730.30","734.85","718.55","2.70M","1.11%"
"Feb 18, 2020","722.10","699.95","729.90","690.00","2.27M","3.13%"
"Feb 17, 2020","700.20","703.65","713.80","695.80","1.28M","-0.48%"
"Feb 14, 2020","703.55","711.90","715.45","699.00","1.48M","-0.96%"
"Feb 13, 2020","710.40","690.30","712.40","686.45","4.77M","2.61%"
"Feb 12, 2020","692.35","674.95","694.80","663.80","2.50M","3.14%"
"Feb 11, 2020","671.25","691.05","695.00","669.00","2.52M","-2.42%"
"Feb 10, 2020","687.90","672.10","690.50","671.25","2.60M","1.66%"
"Feb 07, 2020","676.65","655.20","691.90","650.05","6.92M","3.43%"
"Feb 06, 2020","654.20","657.00","661.70","646.05","2.12M","0.22%"
"Feb 05, 2020","652.75","650.90","657.00","643.00","3.43M","1.27%"
"Feb 04, 2020","644.55","623.90","647.40","619.30","3.52M","3.68%"
"Feb 03, 2020","621.70","624.00","627.45","611.65","2.35M","-0.18%"
"Feb 01, 2020","622.85","615.20","648.90","614.45","3.16M","0.62%"
"Jan 31, 2020","619.00","639.00","641.50","617.05","1.65M","-2.44%"
"Jan 30, 2020","634.50","633.95","647.85","630.85","3.68M","-0.05%"
"Jan 29, 2020","634.80","652.00","657.40","629.40","10.61M","-3.22%"
"Jan 28, 2020","655.90","599.00","663.30","593.00","25.85M","13.93%"
"Jan 27, 2020","575.70","575.00","582.90","572.65","1.60M","-0.42%"
"Jan 24, 2020","578.10","582.35","584.00","575.25","861.70K","-0.73%"
