"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 03, 2020","15,104.65","15,939.70","15,939.70","15,005.00","190.78K","-3.51%"
"Apr 01, 2020","15,654.55","16,300.25","16,456.00","15,500.00","127.51K","-3.96%"
"Mar 31, 2020","16,300.60","15,849.00","16,424.95","15,701.25","183.92K","4.10%"
"Mar 30, 2020","15,658.65","14,990.00","15,890.00","14,687.70","201.47K","3.64%"
"Mar 27, 2020","15,108.60","15,400.00","15,534.00","14,800.00","175.25K","1.27%"
"Mar 26, 2020","14,919.65","14,699.70","15,100.00","14,051.55","205.34K","3.29%"
"Mar 25, 2020","14,444.10","12,800.00","14,520.00","12,800.00","198.76K","7.17%"
"Mar 24, 2020","13,478.35","13,889.00","13,889.00","12,200.00","258.69K","4.12%"
"Mar 23, 2020","12,944.65","12,750.40","13,999.80","12,750.05","195.93K","-8.49%"
"Mar 20, 2020","14,145.50","13,198.00","14,433.10","13,150.00","204.93K","7.81%"
"Mar 19, 2020","13,120.30","13,000.50","13,448.40","12,577.05","214.71K","-3.08%"
"Mar 18, 2020","13,536.80","14,550.00","14,738.00","13,400.00","212.94K","-6.91%"
"Mar 17, 2020","14,541.00","14,500.00","14,777.00","14,250.00","176.98K","1.00%"
"Mar 16, 2020","14,397.20","14,800.00","14,931.05","13,492.65","221.23K","-3.97%"
"Mar 13, 2020","14,991.80","15,341.00","15,855.00","14,050.00","261.67K","-3.69%"
"Mar 12, 2020","15,565.55","15,869.45","15,882.75","15,045.00","222.87K","-3.01%"
"Mar 11, 2020","16,048.55","16,005.15","16,200.00","15,772.80","123.73K","0.11%"
"Mar 09, 2020","16,031.35","16,249.30","16,350.00","15,701.10","123.68K","-2.42%"
"Mar 06, 2020","16,429.30","16,358.10","16,565.55","16,200.10","86.21K","-0.89%"
"Mar 05, 2020","16,576.30","16,550.00","16,835.15","16,482.50","85.09K","0.21%"
"Mar 04, 2020","16,541.50","16,397.00","16,632.50","16,020.00","111.71K","1.11%"
"Mar 03, 2020","16,359.40","16,130.25","16,499.00","16,130.25","93.37K","1.55%"
"Mar 02, 2020","16,109.95","15,950.00","16,315.00","15,901.00","117.23K","2.10%"
"Feb 28, 2020","15,778.85","16,042.00","16,129.05","15,680.00","140.67K","-2.98%"
"Feb 27, 2020","16,263.75","16,300.00","16,340.85","16,057.50","90.20K","0.15%"
"Feb 26, 2020","16,240.15","16,545.00","16,545.00","16,150.05","116.84K","-0.86%"
"Feb 25, 2020","16,380.50","16,373.00","16,540.85","16,309.35","90.92K","0.26%"
"Feb 24, 2020","16,337.25","16,499.00","16,576.75","16,317.00","66.52K","-1.22%"
"Feb 20, 2020","16,539.50","16,740.00","16,740.00","16,525.40","65.73K","-1.46%"
"Feb 19, 2020","16,785.05","16,538.60","16,831.50","16,475.80","95.00K","2.32%"
"Feb 18, 2020","16,403.85","16,569.90","16,569.90","16,385.05","90.01K","-1.11%"
"Feb 17, 2020","16,588.45","16,413.00","16,615.00","16,373.00","139.79K","1.42%"
"Feb 14, 2020","16,356.45","16,500.00","16,782.40","16,250.00","165.71K","-0.34%"
"Feb 13, 2020","16,412.20","16,328.00","16,461.50","16,277.35","151.23K","0.70%"
"Feb 12, 2020","16,297.70","16,026.00","16,472.60","15,968.45","129.01K","1.88%"
"Feb 11, 2020","15,997.15","16,240.00","16,300.05","15,950.00","73.35K","-1.08%"
"Feb 10, 2020","16,172.20","16,300.00","16,373.10","16,112.00","61.27K","-0.95%"
"Feb 07, 2020","16,327.80","16,340.00","16,385.00","16,194.60","41.41K","0.26%"
"Feb 06, 2020","16,284.95","16,399.00","16,549.45","16,157.80","74.08K","-0.61%"
"Feb 05, 2020","16,384.85","16,476.00","16,481.90","16,256.05","57.51K","-0.43%"
"Feb 04, 2020","16,455.60","16,400.00","16,507.90","16,127.05","116.42K","0.95%"
"Feb 03, 2020","16,301.00","15,589.00","16,500.00","15,530.00","203.75K","5.00%"
"Feb 01, 2020","15,524.75","15,447.80","15,660.00","15,184.40","42.18K","1.08%"
"Jan 31, 2020","15,359.45","15,560.00","15,637.25","15,310.30","59.65K","-1.04%"
"Jan 30, 2020","15,520.80","15,802.00","15,810.85","15,471.25","47.25K","-2.18%"
"Jan 29, 2020","15,866.75","15,585.00","15,899.95","15,440.00","64.25K","2.92%"
"Jan 28, 2020","15,416.65","15,664.00","15,710.00","15,366.80","53.11K","-1.59%"
"Jan 27, 2020","15,666.05","15,700.00","15,845.00","15,559.95","31.36K","-0.57%"
"Jan 24, 2020","15,755.50","15,600.00","15,850.00","15,500.15","50.63K","1.33%"
"Jan 23, 2020","15,548.85","15,500.00","15,625.00","15,455.00","42.86K","0.00%"
"Jan 22, 2020","15,548.70","15,369.00","15,585.00","15,301.00","55.63K","1.75%"
"Jan 21, 2020","15,280.75","15,361.05","15,501.60","15,200.00","63.26K","-0.89%"
"Jan 20, 2020","15,417.25","15,230.15","15,479.40","15,230.15","68.77K","-0.14%"
"Jan 17, 2020","15,439.45","15,399.00","15,600.00","15,358.65","96.40K","0.55%"
"Jan 16, 2020","15,354.90","14,851.00","15,398.00","14,848.10","203.21K","3.33%"
"Jan 15, 2020","14,860.20","14,828.00","14,950.00","14,718.85","41.47K","-0.06%"
"Jan 14, 2020","14,868.60","14,657.90","14,895.00","14,607.00","50.38K","1.44%"
