"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 03, 2020","17,490.10","18,410.00","18,650.00","17,175.00","7.59K","-5.30%"
"Apr 01, 2020","18,469.55","19,080.05","19,080.05","18,100.00","2.82K","-1.90%"
"Mar 31, 2020","18,827.95","17,799.90","19,400.00","17,764.90","6.66K","7.98%"
"Mar 30, 2020","17,436.35","17,210.00","17,490.00","17,000.00","2.76K","-1.20%"
"Mar 27, 2020","17,648.60","18,500.00","18,500.00","17,416.05","13.81K","-1.62%"
"Mar 26, 2020","17,939.85","16,860.00","18,200.00","16,450.00","8.78K","6.40%"
"Mar 25, 2020","16,861.35","16,019.00","16,989.90","15,700.00","10.89K","5.27%"
"Mar 24, 2020","16,017.50","16,350.00","16,600.00","15,890.00","6.27K","0.82%"
"Mar 23, 2020","15,887.25","16,300.00","16,600.00","15,701.00","14.42K","-8.52%"
"Mar 20, 2020","17,366.30","17,000.00","17,500.00","16,900.00","6.45K","2.57%"
"Mar 19, 2020","16,931.15","17,000.00","17,546.85","16,317.95","12.13K","-3.47%"
"Mar 18, 2020","17,539.25","18,249.00","18,551.85","17,425.05","8.05K","-2.94%"
"Mar 17, 2020","18,070.95","19,100.00","19,100.00","18,000.00","5.77K","-3.13%"
"Mar 16, 2020","18,654.55","19,200.00","19,500.00","18,520.00","7.41K","-5.22%"
"Mar 13, 2020","19,682.35","18,000.00","20,050.00","17,800.00","14.99K","3.28%"
"Mar 12, 2020","19,057.80","20,000.00","20,000.00","18,550.00","28.30K","-7.86%"
"Mar 11, 2020","20,683.35","21,190.00","21,285.15","20,600.00","7.39K","-1.69%"
"Mar 09, 2020","21,038.45","22,000.00","22,749.00","20,975.00","20.65K","-6.92%"
"Mar 06, 2020","22,601.85","22,380.00","23,638.85","21,717.90","19.95K","-1.24%"
"Mar 05, 2020","22,885.45","22,777.00","24,349.90","22,500.00","51.97K","2.46%"
"Mar 04, 2020","22,335.75","20,790.00","22,599.00","20,430.15","39.99K","8.25%"
"Mar 03, 2020","20,632.95","20,470.00","20,995.00","20,312.00","7.11K","2.49%"
"Mar 02, 2020","20,131.65","20,805.00","20,995.00","20,000.00","3.96K","-2.16%"
"Feb 28, 2020","20,575.25","20,350.00","20,999.70","20,300.00","4.60K","0.05%"
"Feb 27, 2020","20,565.15","20,950.00","20,950.00","20,350.00","2.48K","-0.99%"
"Feb 26, 2020","20,771.60","20,815.00","21,100.00","20,700.00","3.21K","-0.53%"
"Feb 25, 2020","20,881.25","21,180.00","21,350.00","20,800.00","2.25K","-1.91%"
"Feb 24, 2020","21,287.50","21,744.00","21,744.25","20,902.00","5.74K","-1.83%"
"Feb 20, 2020","21,683.40","21,920.00","21,986.50","21,602.65","2.06K","-0.63%"
"Feb 19, 2020","21,821.00","22,100.00","22,299.90","21,740.10","3.24K","-1.24%"
"Feb 18, 2020","22,095.35","22,350.00","22,350.00","22,001.00","3.71K","-0.62%"
"Feb 17, 2020","22,233.10","22,305.00","22,749.00","22,200.00","2.13K","-0.30%"
"Feb 14, 2020","22,299.95","22,760.00","22,900.00","22,207.00","3.65K","-1.67%"
"Feb 13, 2020","22,678.40","22,519.75","22,882.00","22,427.10","2.84K","1.33%"
"Feb 12, 2020","22,379.95","23,333.00","23,333.00","22,200.00","12.60K","-3.11%"
"Feb 11, 2020","23,099.05","24,789.90","25,200.00","22,435.00","32.17K","-6.34%"
"Feb 10, 2020","24,662.45","24,064.95","24,769.00","24,000.00","9.06K","2.48%"
"Feb 07, 2020","24,064.95","23,500.00","24,219.60","23,125.05","6.16K","2.72%"
"Feb 06, 2020","23,427.70","23,340.00","23,900.00","23,105.00","3.66K","1.49%"
"Feb 05, 2020","23,082.70","23,485.00","24,100.00","22,900.65","13.06K","-0.03%"
"Feb 04, 2020","23,090.00","22,800.00","23,661.00","22,731.60","8.50K","2.00%"
"Feb 03, 2020","22,637.05","22,240.00","23,199.95","22,000.00","3.90K","1.69%"
"Feb 01, 2020","22,261.60","22,999.00","23,338.95","22,055.30","5.92K","-3.13%"
"Jan 31, 2020","22,981.25","22,290.20","24,139.90","21,888.00","27.24K","3.84%"
"Jan 30, 2020","22,132.30","22,350.00","22,498.85","22,100.00","0.74K","-0.24%"
"Jan 29, 2020","22,185.85","22,587.95","22,587.95","22,055.15","0.98K","-0.35%"
"Jan 28, 2020","22,264.65","22,480.00","22,484.95","22,215.00","1.48K","-0.19%"
"Jan 27, 2020","22,306.45","22,201.00","23,500.00","22,200.00","2.52K","-0.14%"
"Jan 24, 2020","22,338.45","22,495.00","22,600.00","22,078.00","2.03K","-0.32%"
"Jan 23, 2020","22,409.70","22,399.85","22,458.75","22,250.00","0.67K","0.68%"
"Jan 22, 2020","22,258.95","22,115.00","22,310.00","22,065.15","0.97K","0.63%"
"Jan 21, 2020","22,119.65","22,004.60","22,302.30","21,999.95","4.57K","-0.69%"
"Jan 20, 2020","22,273.90","22,500.00","22,600.00","22,026.00","2.27K","-0.33%"
"Jan 17, 2020","22,346.90","22,304.95","22,510.00","22,301.05","1.61K","0.12%"
