"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 03, 2020","813.85","843.00","844.00","810.00","17.50M","-1.90%"
"Apr 01, 2020","829.65","863.85","863.85","820.00","14.55M","-3.74%"
"Mar 31, 2020","861.90","853.80","873.60","838.00","17.61M","3.64%"
"Mar 30, 2020","831.65","880.00","887.00","828.00","19.63M","-8.05%"
"Mar 27, 2020","904.45","944.95","988.65","872.10","27.62M","0.37%"
"Mar 26, 2020","901.10","870.10","937.70","841.00","28.52M","5.18%"
"Mar 25, 2020","856.75","770.45","867.45","755.25","23.61M","11.60%"
"Mar 24, 2020","767.70","795.25","810.00","738.75","30.53M","-0.50%"
"Mar 23, 2020","771.55","794.60","838.75","765.00","25.14M","-12.61%"
"Mar 20, 2020","882.85","875.00","914.60","824.55","44.32M","-1.42%"
"Mar 19, 2020","895.55","847.00","919.95","795.00","33.61M","2.13%"
"Mar 18, 2020","876.90","985.00","993.00","865.00","30.59M","-10.07%"
"Mar 17, 2020","975.10","1,008.00","1,010.00","954.70","21.34M","-2.44%"
"Mar 16, 2020","999.50","1,035.00","1,037.00","995.00","15.99M","-6.57%"
"Mar 13, 2020","1,069.80","980.05","1,081.45","919.20","33.17M","4.75%"
"Mar 12, 2020","1,021.30","1,075.00","1,080.00","1,003.45","29.50M","-8.30%"
"Mar 11, 2020","1,113.80","1,105.00","1,120.00","1,092.00","17.77M","0.59%"
"Mar 09, 2020","1,107.30","1,110.00","1,118.40","1,065.00","17.21M","-2.43%"
"Mar 06, 2020","1,134.90","1,125.00","1,140.90","1,101.00","11.53M","-1.43%"
"Mar 05, 2020","1,151.35","1,153.00","1,165.00","1,142.75","9.77M","0.22%"
"Mar 04, 2020","1,148.85","1,178.35","1,180.00","1,133.10","17.14M","-2.79%"
"Mar 03, 2020","1,181.80","1,175.00","1,185.35","1,168.00","11.18M","0.19%"
"Mar 02, 2020","1,179.60","1,200.20","1,201.15","1,166.15","7.33M","0.17%"
"Feb 28, 2020","1,177.65","1,175.50","1,185.00","1,170.10","12.16M","-1.82%"
"Feb 27, 2020","1,199.45","1,195.00","1,202.50","1,181.00","10.33M","0.02%"
"Feb 26, 2020","1,199.25","1,197.50","1,204.70","1,185.65","6.91M","-0.09%"
"Feb 25, 2020","1,200.30","1,204.00","1,209.00","1,198.00","6.94M","-0.80%"
"Feb 24, 2020","1,209.95","1,208.95","1,214.75","1,200.00","8.28M","-0.59%"
"Feb 20, 2020","1,217.10","1,230.00","1,230.00","1,214.10","5.56M","-0.82%"
"Feb 19, 2020","1,227.20","1,222.50","1,230.00","1,213.90","5.01M","1.15%"
"Feb 18, 2020","1,213.25","1,216.90","1,218.50","1,203.50","5.26M","-0.32%"
"Feb 17, 2020","1,217.15","1,225.00","1,233.00","1,214.45","5.08M","-0.18%"
"Feb 14, 2020","1,219.35","1,243.20","1,248.40","1,215.00","7.34M","-1.78%"
"Feb 13, 2020","1,241.40","1,259.90","1,259.90","1,233.60","4.56M","-0.61%"
"Feb 12, 2020","1,249.00","1,245.20","1,252.90","1,244.05","3.15M","0.68%"
"Feb 11, 2020","1,240.60","1,243.30","1,255.00","1,238.05","5.81M","0.02%"
"Feb 10, 2020","1,240.30","1,242.95","1,242.95","1,226.05","4.61M","-0.15%"
"Feb 07, 2020","1,242.20","1,246.00","1,247.00","1,231.60","3.41M","0.19%"
"Feb 06, 2020","1,239.80","1,244.65","1,248.70","1,237.20","5.91M","-0.39%"
"Feb 05, 2020","1,244.65","1,234.90","1,248.00","1,227.30","9.01M","1.21%"
"Feb 04, 2020","1,229.80","1,198.00","1,234.00","1,198.00","10.45M","3.10%"
"Feb 03, 2020","1,192.80","1,197.00","1,197.95","1,177.70","6.54M","-0.49%"
"Feb 01, 2020","1,198.70","1,220.25","1,227.60","1,191.45","4.91M","-2.25%"
"Jan 31, 2020","1,226.30","1,231.45","1,237.80","1,220.25","5.59M","0.02%"
"Jan 30, 2020","1,226.05","1,238.95","1,238.95","1,217.20","6.06M","-0.79%"
"Jan 29, 2020","1,235.85","1,225.30","1,242.00","1,222.25","6.89M","1.03%"
"Jan 28, 2020","1,223.20","1,218.80","1,227.80","1,213.25","6.71M","0.82%"
"Jan 27, 2020","1,213.20","1,235.00","1,235.00","1,211.75","9.44M","-2.52%"
